prd_cd,prd_nm,prd_typ,verdict,prd_min,prd_max,prd_incr,strictest_band_min,loosest_band_min,max_band_start,frm_cd,trap_comps
PRD_000016,프리미엄엽서,PRD_TYPE.01,OK,15,10000,15,1,1,1000000,PRF_DGP_A,
PRD_000017,코팅엽서,PRD_TYPE.01,OK,15,10000,15,1,1,1000000,PRF_DGP_A,
PRD_000018,스탠다드엽서,PRD_TYPE.01,OK,15,10000,15,1,1,1000000,PRF_DGP_A,
PRD_000019,투명엽서,PRD_TYPE.01,OK,12,10000,12,1,1,1000000,PRF_DGP_A,
PRD_000020,화이트인쇄엽서,PRD_TYPE.01,OK,12,10000,12,1,1,1000000,PRF_DGP_A,
PRD_000024,포토카드,PRD_TYPE.01,OK,20,10000,20,20,20,3000,PRF_PHOTOCARD_NORMAL,
PRD_000025,투명포토카드,PRD_TYPE.01,INFO_MAX,20,10000,20,20,20,20,PRF_PHOTOCARD_CLEAR,
PRD_000026,종이슬로건,PRD_TYPE.01,OK,4,10000,4,1,1,1000000,PRF_DGP_A,
PRD_000027,2단접지카드,PRD_TYPE.01,TRAP_MIN,8,10000,8,10,1,1000000,PRF_DGP_E_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL;COMP_FOIL_PROC_LARGE_STD
PRD_000029,3단접지카드,PRD_TYPE.01,TRAP_MIN,8,10000,8,10,1,1000000,PRF_DGP_E_FOIL,COMP_FOIL_PROC_LARGE_SPECIAL;COMP_FOIL_PROC_LARGE_STD
PRD_000030,지그재그엽서,PRD_TYPE.01,OK,2,10000,2,1,1,1000000,PRF_DGP_C_6CR,
PRD_000031,프리미엄명함,PRD_TYPE.01,TRAP_MIN,100,10000,100,200,1,10000,PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL;COMP_FOIL_PROC_SMALL_STD
PRD_000032,코팅명함,PRD_TYPE.01,INFO_MAX,100,10000,100,100,100,100,PRF_NAMECARD_COAT,
PRD_000033,스탠다드명함,PRD_TYPE.01,INFO_MAX,100,10000,100,100,100,100,PRF_NAMECARD_FIXED,
PRD_000034,펄명함,PRD_TYPE.01,TRAP_MIN,100,10000,100,200,100,10000,PRF_NAMECARD_PEARL_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL;COMP_FOIL_PROC_SMALL_STD
PRD_000035,모양명함,PRD_TYPE.01,INFO_MAX,100,10000,100,100,100,100,PRF_NAMECARD_SHAPE,
PRD_000036,미니모양명함,PRD_TYPE.01,INFO_MAX,100,10000,100,100,100,100,PRF_NAMECARD_MINISHAPE,
PRD_000037,오리지널박명함,PRD_TYPE.01,OK,200,1000,100,200,200,1000,PRF_NAMECARD_FOIL,
PRD_000039,투명명함,PRD_TYPE.01,INFO_MAX,100,10000,100,100,100,100,PRF_NAMECARD_CLEAR,
PRD_000040,화이트인쇄명함,PRD_TYPE.01,INFO_MAX,100,10000,100,100,100,100,PRF_NAMECARD_WHITE,
PRD_000041,스탠다드 쿠폰/상품권,PRD_TYPE.01,OK,12,10000,12,1,1,1000000,PRF_DGP_A,
PRD_000042,프리미엄 쿠폰/상품권,PRD_TYPE.01,OK,12,10000,12,10,1,1000000,PRF_DGP_A_FOIL,
PRD_000043,인쇄배경지(OPP봉투타입),PRD_TYPE.01,OK,20,1000,20,1,1,1000000,PRF_DGP_C,
PRD_000044,인쇄배경지(투명케이스타입),PRD_TYPE.01,OK,20,1000,20,1,1,1000000,PRF_DGP_C,
PRD_000045,인쇄헤더택,PRD_TYPE.01,OK,20,1000,20,1,1,1000000,PRF_DGP_C,
PRD_000046,라벨/택,PRD_TYPE.01,OK,20,1000,20,1,1,1000000,PRF_DGP_B,
PRD_000047,소량전단지,PRD_TYPE.01,OK,2,100000,1,1,1,1000000,PRF_DGP_D,
PRD_000048,접지리플렛,PRD_TYPE.01,OK,2,100000,1,1,1,100000,PRF_FOLD_SUM,
PRD_000049,와이드 접지리플렛,PRD_TYPE.01,OK,2,100000,1,1,1,1000000,PRF_DGP_E,
PRD_000050,봉투제작,PRD_TYPE.01,OK,1000,5000,1000,1000,1000,5000,PRF_ENV_MAKING,
PRD_000052,반칼 자유형 스티커,PRD_TYPE.01,OK,8,10000,8,1,1,100000,PRF_STK_FIXED,
PRD_000053,반칼 자유형 투명스티커,PRD_TYPE.01,OK,8,10000,8,1,1,100000,PRF_STK_FIXED,
PRD_000054,반칼 자유형 홀로그램스티커,PRD_TYPE.01,OK,8,10000,8,1,1,100000,PRF_STK_FIXED,
PRD_000055,낱장 자유형 스티커,PRD_TYPE.01,OK,1,10000,1,1,1,100000,PRF_STK_FIXED,
PRD_000056,낱장 자유형 투명스티커,PRD_TYPE.01,OK,1,10000,1,1,1,100000,PRF_STK_FIXED,
PRD_000057,대형 자유형 스티커,PRD_TYPE.01,OK,1,10000,1,1,1,100000,PRF_STK_FIXED,
PRD_000058,반칼원형스티커,PRD_TYPE.01,OK,4,10000,4,1,1,100000,PRF_STK_FIXED,
PRD_000059,반칼정사각스티커,PRD_TYPE.01,OK,4,10000,4,1,1,100000,PRF_STK_FIXED,
PRD_000060,반칼직사각스티커,PRD_TYPE.01,OK,4,10000,4,1,1,100000,PRF_STK_FIXED,
PRD_000061,반칼띠지스티커,PRD_TYPE.01,OK,4,10000,4,1,1,100000,PRF_STK_FIXED,
PRD_000062,반칼팬시스티커,PRD_TYPE.01,OK,8,10000,8,1,1,100000,PRF_STK_FIXED,
PRD_000065,스티커팩,PRD_TYPE.01,TRAP_MIN,1,1000,1,54,54,54,PRF_STK_PACK,COMP_STK_PACK
PRD_000066,합판도무송스티커,PRD_TYPE.01,OK,1000,5000,1000,1000,1000,5000,PRF_GANGPAN_FIXED,
