prd_cd,siz_cd,siz_nm,min_qty,max_qty,qty_incr,dflt_yn
PRD_000001,SIZ_000078,70x200mm,,,,Y
PRD_000001,SIZ_000079,80x100mm,,,,Y
PRD_000001,SIZ_000080,80x120mm,,,,Y
PRD_000001,SIZ_000081,80x180mm,,,,Y
PRD_000001,SIZ_000082,90x120mm,,,,Y
PRD_000001,SIZ_000083,100x100mm,,,,Y
PRD_000001,SIZ_000084,100x200mm,,,,Y
PRD_000001,SIZ_000085,110x160mm,,,,Y
PRD_000001,SIZ_000086,130x200mm,,,,Y
PRD_000001,SIZ_000087,160x230mm,,,,Y
PRD_000001,SIZ_000088,230x350mm,,,,Y
PRD_000002,SIZ_000079,80x100mm,,,,Y
PRD_000002,SIZ_000080,80x120mm,,,,Y
PRD_000002,SIZ_000081,80x180mm,,,,Y
PRD_000002,SIZ_000085,110x160mm,,,,Y
PRD_000002,SIZ_000091,110x250mm,,,,Y
PRD_000002,SIZ_000092,140x180mm,,,,Y
PRD_000002,SIZ_000093,140x200mm,,,,Y
PRD_000002,SIZ_000094,150x150mm,,,,Y
PRD_000002,SIZ_000095,160x250mm,,,,Y
PRD_000002,SIZ_000372,60x90mm,,,,Y
PRD_000003,SIZ_000096,160x110mm,,,,Y
PRD_000003,SIZ_000097,160x110mm(40장),,,,Y
PRD_000003,SIZ_000098,160x110mm(100장),,,,Y
PRD_000003,SIZ_000099,100x100mm(20장),,,,Y
PRD_000003,SIZ_000100,100x100mm(40장),,,,Y
PRD_000003,SIZ_000101,100x100mm(100장),,,,Y
PRD_000003,SIZ_000102,70x100mm,,,,Y
PRD_000003,SIZ_000103,70x100mm(100장),,,,Y
PRD_000004,SIZ_000104,165x115mm,,,,Y
PRD_000005,SIZ_000106,240x230mm,,,,Y
PRD_000005,SIZ_000107,150x310mm,,,,Y
PRD_000009,SIZ_000108,42x57x20mm,,,,Y
PRD_000009,SIZ_000109,75x75x15mm,,,,Y
PRD_000009,SIZ_000110,75x110x15mm,,,,Y
PRD_000011,SIZ_000111,20x20(20개입),,,,Y
PRD_000012,SIZ_000528,120mm,,,,Y
PRD_000013,SIZ_000529,270mm,,,,N
PRD_000013,SIZ_000530,360mm,,,,N
PRD_000013,SIZ_000531,480mm,,,,N
PRD_000016,SIZ_000001,73x98,15,1000,15,Y
PRD_000016,SIZ_000002,98x98,12,1000,12,Y
PRD_000016,SIZ_000003,100x150,8,10000,8,Y
PRD_000016,SIZ_000004,135x135,6,10000,6,Y
PRD_000016,SIZ_000005,95x210,6,10000,6,Y
PRD_000016,SIZ_000006,110x170,4,10000,4,Y
PRD_000016,SIZ_000007,148x210,4,10000,4,Y
PRD_000017,SIZ_000001,73x98,,,,Y
PRD_000017,SIZ_000002,98x98,12,10000,12,Y
PRD_000017,SIZ_000003,100x150,8,10000,8,Y
PRD_000017,SIZ_000004,135x135,6,10000,6,Y
PRD_000017,SIZ_000005,95x210,6,10000,6,Y
PRD_000017,SIZ_000006,110x170,4,10000,4,Y
PRD_000017,SIZ_000007,148x210,4,10000,4,Y
PRD_000018,SIZ_000001,73x98,,,,Y
PRD_000018,SIZ_000002,98x98,12,10000,12,Y
PRD_000018,SIZ_000003,100x150,8,10000,8,Y
PRD_000018,SIZ_000004,135x135,6,10000,6,Y
PRD_000018,SIZ_000007,148x210,4,10000,4,Y
PRD_000019,SIZ_000002,98x98,,,,Y
PRD_000019,SIZ_000003,100x150,8,10000,8,Y
PRD_000019,SIZ_000004,135x135,6,10000,6,Y
PRD_000019,SIZ_000007,148x210,4,10000,4,Y
PRD_000020,SIZ_000002,98x98,,,,Y
PRD_000020,SIZ_000003,100x150,8,10000,8,Y
PRD_000020,SIZ_000004,135x135,6,10000,6,Y
PRD_000020,SIZ_000007,148x210,4,10000,4,Y
PRD_000021,SIZ_000002,98x98,,,,Y
PRD_000021,SIZ_000003,100x150,8,10000,8,Y
PRD_000021,SIZ_000004,135x135,6,10000,6,Y
PRD_000021,SIZ_000007,148x210,4,10000,4,Y
PRD_000022,SIZ_000002,98x98,,,,Y
PRD_000022,SIZ_000003,100x150,8,10000,8,Y
PRD_000022,SIZ_000004,135x135,6,10000,6,Y
PRD_000022,SIZ_000007,148x210,4,10000,4,Y
PRD_000023,SIZ_000119,90x90,,,,Y
PRD_000024,SIZ_000012,55x86,,,,Y
PRD_000025,SIZ_000012,55x86,,,,Y
PRD_000026,SIZ_000015,300x100,,,,Y
PRD_000026,SIZ_000016,400x145,2,10000,2,Y
PRD_000027,SIZ_000124,150x100,,,,Y
PRD_000027,SIZ_000129,170x110,,,,Y
PRD_000027,SIZ_000523,100x150,,,,Y
PRD_000027,SIZ_000524,135x135,,,,Y
PRD_000027,SIZ_000525,135x135,,,,N
PRD_000027,SIZ_000526,110x170,,,,Y
PRD_000028,SIZ_000008,90x50mm,,,,Y
PRD_000028,SIZ_000132,50x90,,,,Y
PRD_000028,SIZ_000133,86x52mm,,,,Y
PRD_000028,SIZ_000135,52x86,,,,Y
PRD_000029,SIZ_000004,135x135,,,,Y
PRD_000029,SIZ_000124,150x100,,,,Y
PRD_000029,SIZ_000523,100x150,,,,Y
PRD_000030,SIZ_000031,600x150,,,,Y
PRD_000030,SIZ_000032,150x600,,,,Y
PRD_000031,SIZ_000008,90x50mm,,,,Y
PRD_000031,SIZ_000009,90x55mm,,,,Y
PRD_000031,SIZ_000133,86x52mm,,,,Y
PRD_000032,SIZ_000008,90x50mm,,,,Y
PRD_000032,SIZ_000133,86x52mm,,,,Y
PRD_000033,SIZ_000008,90x50mm,,,,Y
