sheet,prd_nm,level,siz_label,min,max,incr
acrylic,아크릴키링,PRODUCT,,1,10000,1
acrylic,아크릴키링,SIZE,20 x 30 mm,1,10000,1
acrylic,아크릴마그넷,PRODUCT,,1,10000,1
acrylic,아크릴마그넷,SIZE,20 x 20 mm,1,10000,1
acrylic,아크릴뱃지,PRODUCT,,1,10000,1
acrylic,아크릴뱃지,SIZE,30 x 30 mm,1,10000,1
acrylic,아크릴집게,PRODUCT,,1,10000,1
acrylic,아크릴집게,SIZE,30 x 30 mm,1,10000,1
acrylic,아크릴스마트톡,PRODUCT,,1,10000,1
acrylic,아크릴스마트톡,SIZE,50 x 50 mm,1,10000,1
acrylic,맥세이프 스마트톡,PRODUCT,,1,10000,1
acrylic,맥세이프 스마트톡,SIZE,50 x 50 mm,1,10000,1
acrylic,아크릴명찰,PRODUCT,,1,10000,1
acrylic,아크릴명찰,SIZE,60 x 20 mm,1,10000,1
acrylic,아크릴명찰(골드실버),PRODUCT,,1,10000,1
acrylic,아크릴명찰(골드실버),SIZE,60 x 20 mm,1,10000,1
acrylic,아크릴 머리끈,PRODUCT,,1,10000,1
acrylic,아크릴 머리끈,SIZE,20 x 20 mm,1,10000,1
acrylic,아크릴볼펜,PRODUCT,,1,10000,1
acrylic,아크릴볼펜,SIZE,20 x 20 mm,1,10000,1
acrylic,아크릴지비츠,PRODUCT,,1,10000,1
acrylic,아크릴지비츠,SIZE,15 x 15 mm,1,10000,1
acrylic,아크릴네임택,PRODUCT,,1,10000,1
acrylic,아크릴네임택,SIZE,60 x 60 mm,1,10000,1
acrylic,아크릴 포카키링,PRODUCT,,1,10000,1
acrylic,아크릴 포카키링,SIZE,55 x 86 mm,1,10000,1
acrylic,아크릴 코스터,PRODUCT,,1,10000,1
acrylic,아크릴 코스터,SIZE,100 x 100 mm 원형,1,10000,1
acrylic,아크릴자유형스탠드,PRODUCT,,1,10000,1
acrylic,아크릴자유형스탠드,SIZE,120 x 60 mm,1,10000,1
acrylic,판아크릴,PRODUCT,,1,10000,1
acrylic,판아크릴,SIZE,120 x 120 mm,1,10000,1
acrylic,아크릴포카스탠드,PRODUCT,,1,10000,1
acrylic,아크릴포카스탠드,SIZE,68 x 103 mm,1,10000,1
acrylic,아크릴미니파츠,PRODUCT,,1,10000,1
acrylic,아크릴미니파츠,SIZE,120 x 50 mm,1,10000,1
acrylic,아크릴코롯토,PRODUCT,,1,10000,1
acrylic,아크릴코롯토,SIZE,30 x 30 mm,1,10000,1
acrylic,포카코롯토,PRODUCT,,1,10000,1
acrylic,포카코롯토,SIZE,55 x 86mm,1,10000,1
acrylic,아크릴카라비너,PRODUCT,,1,10000,1
acrylic,아크릴카라비너,SIZE,40 x 69 mm 자물쇠,1,10000,1
booklet,중철책자,PRODUCT,,2,1000,1
booklet,중철책자,SIZE,A5 (148 x 210 mm),2,1000,1
booklet,중철책자,SIZE,A4 (210 x 297 mm),2,1000,1
booklet,무선책자,PRODUCT,,2,1000,1
booklet,무선책자,SIZE,A5 (148 x 210 mm),2,1000,1
