prd_cd,prd_nm,siz_cd,siz_label,siz_nm_live,auth_min,auth_max,auth_incr,prod_min,prod_max,prod_incr,band_min,prop_min,prop_max,prop_incr,cur_min,cur_max,cur_incr,verdict,note
PRD_000146,아크릴키링,SIZ_000329,20 x 30 mm,20x30,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000147,아크릴마그넷,SIZ_000336,20 x 20 mm,20x20,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000148,아크릴뱃지,SIZ_000330,30 x 30 mm,30x30,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000149,아크릴집게,SIZ_000330,30 x 30 mm,30x30,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000150,아크릴스마트톡,SIZ_000011,50 x 50 mm,50x50,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000151,맥세이프 스마트톡,SIZ_000011,50 x 50 mm,50x50,1,10000,1,1,10000,1,,1,10000,1,,,,SKIP,
PRD_000152,아크릴명찰,SIZ_000346,60 x 20 mm,60x20,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000153,아크릴명찰(골드실버),SIZ_000346,60 x 20 mm,60x20,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000154,아크릴 머리끈,SIZ_000336,20 x 20 mm,20x20,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000155,아크릴볼펜,SIZ_000336,20 x 20 mm,20x20,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000156,아크릴지비츠,SIZ_000352,15 x 15 mm,15x15,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000157,아크릴네임택,SIZ_000148,60 x 60 mm,60x60,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000158,아크릴 포카키링,SIZ_000012,55 x 86 mm,55x86,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000159,아크릴 코스터,SIZ_000355,100 x 100 mm 원형,100x100mm원형,1,10000,1,1,10000,1,,1,10000,1,,,,SKIP,
PRD_000160,아크릴자유형스탠드,SIZ_000357,120 x 60 mm,120x60,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000161,판아크릴,SIZ_000359,120 x 120 mm,120x120,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000162,아크릴포카스탠드,SIZ_000364,68 x 103 mm,68x103,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000163,아크릴미니파츠,SIZ_000365,120 x 50 mm,120x50,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000164,아크릴코롯토,SIZ_000330,30 x 30 mm,30x30,1,10000,1,1,10000,1,,1,10000,1,,,,SKIP,
PRD_000165,포카코롯토,SIZ_000012,55 x 86mm,55x86,1,10000,1,1,10000,1,,1,10000,1,,,,SKIP,
PRD_000166,아크릴카라비너,SIZ_000366,40 x 69 mm 자물쇠,40x69mm자물쇠,1,10000,1,1,10000,1,1,1,10000,1,,,,SKIP,
PRD_000068,중철책자,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),2,1000,1,2,1000,1,1,2,1000,1,,,,SKIP,
PRD_000068,중철책자,SIZ_000172,A4 (210 x 297 mm),A4(210x297mm),2,1000,1,2,1000,1,1,2,1000,1,,,,SKIP,
PRD_000069,무선책자,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),2,1000,1,2,1000,1,10,10,1000,1,,,,SKIP,권위min 2 < 가격표최소구간 10
PRD_000069,무선책자,SIZ_000172,A4 (210 x 297 mm),A4(210x297mm),2,1000,1,2,1000,1,10,10,1000,1,,,,SKIP,권위min 2 < 가격표최소구간 10
PRD_000070,PUR책자,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),2,1000,1,2,1000,1,10,10,1000,1,,,,SKIP,권위min 2 < 가격표최소구간 10
PRD_000070,PUR책자,SIZ_000172,A4 (210 x 297 mm),A4(210x297mm),2,1000,1,2,1000,1,10,10,1000,1,,,,SKIP,권위min 2 < 가격표최소구간 10
PRD_000071,트윈링책자,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000071,트윈링책자,SIZ_000253,A5 (210 x 148 mm),A5(210x148mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000071,트윈링책자,SIZ_000255,A4 (210 x 297 mm),A4(297x210mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000071,트윈링책자,SIZ_000255,A4 (297 x 210 mm),A4(297x210mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000072,하드커버책자,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000072,하드커버책자,SIZ_000172,A4 (210 x 297 mm),A4(210x297mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000077,레더 하드커버책자,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000077,레더 하드커버책자,SIZ_000172,A4 (210 x 297 mm),A4(210x297mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
PRD_000082,하드커버 링책자,SIZ_000170,A5 (148 x 210 mm),A5(148x210mm),1,1000,1,1,1000,1,1,1,1000,1,,,,SKIP,
