prd_cd,prd_nm,siz_cd,siz_nm,eff_min,eff_min_src,verdict,trap_band_min,partial_band_min,trap_comps,partial_comps,cond_comps,auth_size_min,auth_size_max,auth_prod_min,status
PRD_000027,2단접지카드,SIZ_000124,150x100,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000027,2단접지카드,SIZ_000129,170x110,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000027,2단접지카드,SIZ_000523,100x150,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000027,2단접지카드,SIZ_000524,135x135,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000027,2단접지카드,SIZ_000525,135x135,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000027,2단접지카드,SIZ_000526,110x170,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000029,3단접지카드,SIZ_000004,135x135,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000029,3단접지카드,SIZ_000124,150x100,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000029,3단접지카드,SIZ_000523,100x150,8,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_LARGE_SPECIAL:10;COMP_FOIL_PROC_LARGE_STD:10,8,10000,8,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000031,프리미엄명함,SIZ_000008,90x50mm,100,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_SMALL_SPECIAL:200;COMP_FOIL_PROC_SMALL_STD:200,100,10000,100,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000031,프리미엄명함,SIZ_000009,90x55mm,100,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_SMALL_SPECIAL:200;COMP_FOIL_PROC_SMALL_STD:200,,,100,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
PRD_000031,프리미엄명함,SIZ_000133,86x52mm,100,PRODUCT,SIZE_TRAP_COND,,,,,COMP_FOIL_PROC_SMALL_SPECIAL:200;COMP_FOIL_PROC_SMALL_STD:200,,,100,보류(FOIL 박 — 제약규칙 트랙 위임 확정)
