prd_cd,siz_cd,size,qty,engine_price,engine_pansu,auth_pansu,n_comps,error
PRD_000052,SIZ_000170,a5,100,520000,,,1,
PRD_000052,SIZ_000520,a4,100,460000,,,1,
PRD_000053,SIZ_000170,a5,100,620000,,,1,
PRD_000053,SIZ_000520,a4,100,560000,,,1,
PRD_000054,SIZ_000170,a5,100,620000,,,1,
PRD_000054,SIZ_000520,a4,100,560000,,,1,
PRD_000055,SIZ_000172,a4,100,360000,,,1,
PRD_000055,SIZ_000174,a3,100,720000,,,1,
PRD_000055,SIZ_000197,a2,100,1440000,,,1,
PRD_000055,SIZ_000515,b4,100,540000,,,1,
PRD_000055,SIZ_000514,b3,100,1080000,,,1,
PRD_000056,SIZ_000172,a4,100,630000,,,1,
PRD_000056,SIZ_000174,a3,100,1260000,,,1,
PRD_000056,SIZ_000197,a2,100,2520000,,,1,
PRD_000056,SIZ_000515,b4,100,945000,,,1,
PRD_000056,SIZ_000514,b3,100,1890000,,,1,
PRD_000057,SIZ_000199,400x600,100,1440000,,,1,
PRD_000058,SIZ_000170,a5,100,520000,,,1,
PRD_000058,SIZ_000520,a4,100,460000,,,1,
PRD_000059,SIZ_000520,a4,100,460000,,,1,
PRD_000059,SIZ_000170,a5,100,520000,,,1,
PRD_000060,SIZ_000520,a4,100,460000,,,1,
PRD_000060,SIZ_000170,a5,100,520000,,,1,
PRD_000061,SIZ_000520,a4,100,460000,,,1,
PRD_000061,SIZ_000170,a5,100,520000,,,1,
PRD_000062,SIZ_000059,124x186,100,520000,,,1,
PRD_000062,SIZ_000060,90x190,100,520000,,,1,
PRD_000063,SIZ_000059,124x186,100,620000,,,1,
PRD_000063,SIZ_000060,90x190,100,620000,,,1,
PRD_000064,SIZ_000061,50x70,100,520000,,,1,
PRD_000064,SIZ_000062,70x50,100,520000,,,1,
PRD_000064,SIZ_000063,50x94,100,520000,,,1,
PRD_000064,SIZ_000064,94x50,100,520000,,,1,
PRD_000064,SIZ_000065,65x65,100,520000,,,1,
PRD_000064,SIZ_000043,80x80,100,520000,,,1,
PRD_000064,SIZ_000036,94x94,100,520000,,,1,
