comp_price_id,comp_cd,apply_ymd,siz_cd,clr_cd,mat_cd,coat_side_cnt,bdl_qty,min_qty,unit_price,note,reg_dt,upd_dt,proc_cd,opt_cd,dim_vals,print_opt_cd,plt_siz_cd,siz_width,siz_height
3354,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,200,24800.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 200 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3358,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,300,33200.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 300 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3362,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,400,41600.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 400 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3366,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,500,50000.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 500 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3370,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,600,54400.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 600 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3374,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,700,66800.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 700 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3378,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,800,75200.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 800 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3382,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,900,83600.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 900 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3386,COMP_NAMECARD_FOIL_S1_HOLO,2026-06-01,,,,,,1000,92000.00,오리지널박명함 종이+동판+박가공비 합가 단면/홀로그램 / 트윙클 제작수량 1000 이상 / 작업 1건 고정 금액(수량을 곱하지 않음),2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3353,COMP_NAMECARD_FOIL_S1_STD,2026-06-01,,,,,,200,19200.00,"오리지널박명함 종이+동판+박가공비 합가 단면/금유광, 은유광, 먹유광, 청박, 적박, 동박 제작수량 200 이상 / 작업 1건 고정 금액(수량을 곱하지 않음)",2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3357,COMP_NAMECARD_FOIL_S1_STD,2026-06-01,,,,,,300,24800.00,"오리지널박명함 종이+동판+박가공비 합가 단면/금유광, 은유광, 먹유광, 청박, 적박, 동박 제작수량 300 이상 / 작업 1건 고정 금액(수량을 곱하지 않음)",2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3361,COMP_NAMECARD_FOIL_S1_STD,2026-06-01,,,,,,400,30400.00,"오리지널박명함 종이+동판+박가공비 합가 단면/금유광, 은유광, 먹유광, 청박, 적박, 동박 제작수량 400 이상 / 작업 1건 고정 금액(수량을 곱하지 않음)",2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3365,COMP_NAMECARD_FOIL_S1_STD,2026-06-01,,,,,,500,36000.00,"오리지널박명함 종이+동판+박가공비 합가 단면/금유광, 은유광, 먹유광, 청박, 적박, 동박 제작수량 500 이상 / 작업 1건 고정 금액(수량을 곱하지 않음)",2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3369,COMP_NAMECARD_FOIL_S1_STD,2026-06-01,,,,,,600,41600.00,"오리지널박명함 종이+동판+박가공비 합가 단면/금유광, 은유광, 먹유광, 청박, 적박, 동박 제작수량 600 이상 / 작업 1건 고정 금액(수량을 곱하지 않음)",2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
3373,COMP_NAMECARD_FOIL_S1_STD,2026-06-01,,,,,,700,47200.00,"오리지널박명함 종이+동판+박가공비 합가 단면/금유광, 은유광, 먹유광, 청박, 적박, 동박 제작수량 700 이상 / 작업 1건 고정 금액(수량을 곱하지 않음)",2026-06-06 11:30:40.467045,2026-06-15 10:29:37.963398,,,,,,,
