snapshot_type,frm_cd,comp_cd,disp_seq,addtn_yn,prc_typ_cd,note
formula_component,PRF_DGP_A,COMP_PRINT_DIGITAL_S1,0,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,1,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_A,COMP_PAPER,2,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_A,COMP_PP_CORNER_RIGHT,3,,PRICE_TYPE.01,
formula_component,PRF_DGP_A,COMP_PP_CREASE_1L,4,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_A,COMP_PP_PERF_1L,5,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_A,COMP_PP_VARTEXT_1EA,6,Y,PRICE_TYPE.03,
formula_component,PRF_DGP_A,COMP_PP_VARIMG_1EA,7,Y,PRICE_TYPE.03,
formula_component,PRF_DGP_A,COMP_COAT_GLOSSY,,,PRICE_TYPE.01,
formula_component,PRF_DGP_A,COMP_COAT_MATTE,,,PRICE_TYPE.01,
formula_component,PRF_DGP_D,COMP_PRINT_DIGITAL_S1,0,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_D,COMP_COAT_GLOSSY,1,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_D,COMP_COAT_MATTE,2,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_D,COMP_PAPER,3,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_D,COMP_CUT_PERF_1H6,4,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_D,COMP_PP_CREASE_1L,5,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_D,COMP_PP_PERF_1L,6,Y,PRICE_TYPE.01,
formula_component,PRF_DGP_D,COMP_PP_VARTEXT_1EA,7,Y,PRICE_TYPE.03,
formula_component,PRF_DGP_D,COMP_PP_VARIMG_1EA,8,Y,PRICE_TYPE.03,
formula_component,PRF_DGP_D,COMP_PP_CORNER_RIGHT,9,Y,PRICE_TYPE.01,
formula_component,PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S1_MGA,1,Y,PRICE_TYPE.02,
formula_component,PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S1_MGB,2,Y,PRICE_TYPE.02,
formula_component,PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S2_MGA,3,Y,PRICE_TYPE.02,
formula_component,PRF_NAMECARD_PREMIUM,COMP_NAMECARD_PREMIUM_S2_MGB,4,Y,PRICE_TYPE.02,
formula_component,PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM_S1_MGA,1,Y,PRICE_TYPE.02,
formula_component,PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM_S1_MGB,2,Y,PRICE_TYPE.02,
formula_component,PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM_S2_MGA,3,Y,PRICE_TYPE.02,
formula_component,PRF_NAMECARD_PREMIUM_FOIL,COMP_NAMECARD_PREMIUM_S2_MGB,4,Y,PRICE_TYPE.02,
formula_component,PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_SETUP_SMALL,5,Y,PRICE_TYPE.03,
formula_component,PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_PROC_SMALL_STD,6,Y,PRICE_TYPE.03,
formula_component,PRF_NAMECARD_PREMIUM_FOIL,COMP_FOIL_PROC_SMALL_SPECIAL,7,Y,PRICE_TYPE.03,
formula_component,PRF_PHOTOCARD_CLEAR,COMP_PHOTOCARD_CLEAR_SET,1,Y,PRICE_TYPE.02,
formula_component,PRF_PHOTOCARD_NORMAL,COMP_PHOTOCARD_SET,1,Y,PRICE_TYPE.02,
formula_component,PRF_PHOTOCARD_NORMAL,COMP_PHOTOCARD_BULK,2,Y,PRICE_TYPE.02,
component_prctyp,,COMP_COAT_GLOSSY,,,PRICE_TYPE.01,"['proc_cd', 'plt_siz_cd', 'coat_side_cnt', 'min_qty', 'proc_grp:PROC_000013']"
component_prctyp,,COMP_COAT_MATTE,,,PRICE_TYPE.01,"['proc_cd', 'plt_siz_cd', 'coat_side_cnt', 'min_qty', 'proc_grp:PROC_000013']"
component_prctyp,,COMP_PP_CORNER_RIGHT,,,PRICE_TYPE.01,"['proc_cd', 'min_qty', 'proc_grp:PROC_000026']"
component_prctyp,,COMP_PP_VARIMG_1EA,,,PRICE_TYPE.03,"['proc_cd', 'min_qty', 'proc_grp:PROC_000085']"
component_prctyp,,COMP_PP_VARTEXT_1EA,,,PRICE_TYPE.03,"['proc_cd', 'min_qty', 'proc_grp:PROC_000085']"
