prd_cd,opt_grp_cd,opt_grp_nm,sel_typ_cd,min_sel_cnt,max_sel_cnt,mand_yn,use_yn,del_yn,upd_dt
PRD_000019,OPT-000021,인쇄,,,,N,Y,N,2026-07-01 13:02:40.352976
PRD_000019,OPT-000022,소재,,,,N,Y,N,2026-07-01 13:02:40.352976
PRD_000019,OPT-000023,화이트인쇄,,,,N,Y,N,2026-07-01 13:02:40.352976
PRD_000019,OPT-000024,모서리,,,,N,Y,N,
PRD_000021,OPT-000018,인쇄,,,,N,Y,N,2026-07-01 12:54:53.07063
PRD_000021,OPT-000020,핑크인쇄,,,,N,Y,N,
PRD_000030,OPT-000028,인쇄,,,,N,Y,N,2026-07-01 15:23:50.486764
PRD_000030,OPT-000029,종이,,,,N,Y,N,2026-07-01 15:23:50.486764
PRD_000030,OPT-000030,접지,,,,N,Y,N,
PRD_000055,OPT-000039,조각수,,,,N,Y,N,
PRD_000058,OPT-000035,인쇄,,,,N,Y,N,2026-07-01 16:01:43.008014
PRD_000058,OPT-000036,종이,,,,N,Y,N,2026-07-01 16:01:43.008014
PRD_000067,OPT-000042,용지,,,,N,Y,N,
PRD_000118,OPT-000043,소재,,,,Y,Y,N,2026-07-01 17:03:17.584204
PRD_000129,OPT-000044,코팅,,,,N,Y,N,2026-07-01 18:55:42.476176
PRD_000129,OPT-000045,보드칼라,,,,N,Y,N,
PRD_000143,OPT-000046,칼라,,,,N,Y,N,
