comp_cd,prc_typ_cd
COMP_NAMECARD_STD_S2,PRICE_TYPE.01
COMP_GANGPAN_PRINT,PRICE_TYPE.01
COMP_NAMECARD_CLEAR_S1,PRICE_TYPE.01
COMP_NAMECARD_COAT_S1,PRICE_TYPE.01
COMP_NAMECARD_COAT_S2,PRICE_TYPE.01
COMP_ENV_MAKING,PRICE_TYPE.01
COMP_NAMECARD_FOIL_S1_HOLO,PRICE_TYPE.01
COMP_NAMECARD_FOIL_S1_STD,PRICE_TYPE.01
COMP_NAMECARD_FOIL_S2_HOLO,PRICE_TYPE.01
COMP_NAMECARD_FOIL_S2_STD,PRICE_TYPE.01
COMP_NAMECARD_MINISHAPE_S1,PRICE_TYPE.01
COMP_NAMECARD_FOIL_SETUP_S2_STD,PRICE_TYPE.01
COMP_NAMECARD_MINISHAPE_S2,PRICE_TYPE.01
COMP_NAMECARD_PEARL_S1,PRICE_TYPE.01
COMP_NAMECARD_FOIL_SETUP_S1_STD,PRICE_TYPE.01
COMP_NAMECARD_PEARL_S2,PRICE_TYPE.01
COMP_NAMECARD_PREMIUM_S1_MGA,PRICE_TYPE.01
COMP_NAMECARD_PREMIUM_S1_MGB,PRICE_TYPE.01
COMP_NAMECARD_PREMIUM_S2_MGA,PRICE_TYPE.01
COMP_NAMECARD_PREMIUM_S2_MGB,PRICE_TYPE.01
COMP_NAMECARD_SHAPE_S1,PRICE_TYPE.01
COMP_NAMECARD_SHAPE_S2,PRICE_TYPE.01
COMP_NAMECARD_STD_S1,PRICE_TYPE.01
COMP_NAMECARD_WHITE_S1W_CL,PRICE_TYPE.01
COMP_NAMECARD_WHITE_S1W_NOCL,PRICE_TYPE.01
COMP_NAMECARD_WHITE_S2W_CL,PRICE_TYPE.01
COMP_NAMECARD_WHITE_S2W_NOCL,PRICE_TYPE.01
