code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
CAT_000001,엽서/카드,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 4, ""disp_seq"": ""1"", ""use_yn"": ""Y""}",,엽서/카드,14,N,live,
CAT_000002,스티커,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 4, ""disp_seq"": ""2"", ""use_yn"": ""Y""}",,스티커,16,N,live,
CAT_000003,인쇄홍보물,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 4, ""disp_seq"": ""3"", ""use_yn"": ""Y""}",,인쇄홍보물,17,N,live,
CAT_000004,포스터,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 4, ""disp_seq"": ""4"", ""use_yn"": ""Y""}",,포스터,15,N,live,
CAT_000005,사인,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 3, ""disp_seq"": ""5"", ""use_yn"": ""Y""}",,사인,10,N,live,
CAT_000006,책자,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 3, ""disp_seq"": ""6"", ""use_yn"": ""Y""}",,책자,4,N,live,
CAT_000007,캘린더,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 4, ""disp_seq"": ""7"", ""use_yn"": ""Y""}",,캘린더,3,N,live,
CAT_000008,문구,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 4, ""disp_seq"": ""8"", ""use_yn"": ""Y""}",,문구,20,N,live,
CAT_000009,아크릴,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 4, ""disp_seq"": ""9"", ""use_yn"": ""Y""}",,아크릴,15,N,live,
CAT_000010,라이프,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 6, ""disp_seq"": ""10"", ""use_yn"": ""Y""}",,라이프,41,N,live,
CAT_000011,에코백,"{""upr_cat_cd"": null, ""parent_nm"": null, ""cat_lvl"": ""1"", ""child_cnt_del_n"": 11, ""disp_seq"": ""11"", ""use_yn"": ""Y""}",,에코백,49,N,live,
