cat_cd,cat_nm,upr_cat_cd,cat_lvl,disp_seq,use_yn,del_yn,active,reg_dt,upd_dt,del_dt
CAT_000001,엽서/카드,,1,1,Y,N,Y,2026-06-03 12:46:02.974607,2026-06-16 19:31:02.403972,
CAT_000002,스티커,,1,2,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000003,인쇄홍보물,,1,3,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000004,포스터,,1,4,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000005,사인,,1,5,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000006,책자,,1,6,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000007,캘린더,,1,7,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000008,문구,,1,8,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000009,아크릴,,1,9,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000010,라이프,,1,10,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000011,에코백,,1,11,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000012,포장,,1,12,Y,N,Y,2026-06-03 12:46:02.974607,,
CAT_000112,탁상형캘린더,CAT_000007,2,0,Y,N,Y,2026-06-03 12:46:02.974607,2026-06-19 01:11:29.706169,
CAT_000307,엽서,CAT_000001,2,0,Y,N,Y,2026-06-16 19:31:27.956247,2026-06-19 01:03:32.35968,
CAT_000309,자유형스티커,CAT_000002,2,0,Y,N,Y,2026-06-19 01:01:43.823061,2026-06-19 01:05:16.531837,
CAT_000324,레더파우치,CAT_000011,2,0,Y,N,Y,2026-06-19 01:15:29.999917,2026-06-19 01:17:06.606435,
CAT_000021,접지카드,CAT_000001,2,1,Y,N,Y,2026-06-03 12:46:02.974607,2026-06-19 01:03:18.407831,
CAT_000037,규격 스티커,CAT_000002,2,1,Y,N,Y,2026-06-03 12:46:02.974607,2026-06-19 01:05:27.278344,
CAT_000115,벽걸이캘린더,CAT_000007,2,1,Y,N,Y,2026-06-03 12:46:02.974607,2026-06-19 01:11:40.044539,
CAT_000222,패브릭파우치,CAT_000011,2,1,Y,N,Y,2026-06-03 12:46:02.974607,2026-06-19 01:17:27.221398,
CAT_000313,명함,CAT_000003,2,1,Y,N,Y,2026-06-19 01:05:54.115908,,
CAT_000314,아트포스터,CAT_000004,2,1,Y,N,Y,2026-06-19 01:06:48.889436,,
CAT_000315,배너/현수막,CAT_000005,2,1,Y,N,Y,2026-06-19 01:07:31.045468,,
CAT_000316,일반책자,CAT_000006,2,1,Y,N,Y,2026-06-19 01:08:14.303865,,
CAT_000317,캘린더액세서리,CAT_000007,2,1,Y,N,Y,2026-06-19 01:11:18.721803,,
CAT_000321,플래너,CAT_000008,2,1,Y,N,Y,2026-06-19 01:13:28.694687,,
CAT_000322,단품형,CAT_000009,2,1,Y,N,Y,2026-06-19 01:14:01.069483,,
CAT_000323,소품,CAT_000010,2,1,Y,N,Y,2026-06-19 01:15:00.511896,,
CAT_000327,인쇄포장재,CAT_000012,2,1,Y,N,Y,2026-06-19 01:21:02.354695,,
CAT_000308,엽서북,CAT_000001,2,2,Y,N,Y,2026-06-16 19:33:23.245759,,
