code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
MAT_000001,화이트면지,"{""mat_typ_cd"": ""MAT_TYPE.02"", ""upr_mat_cd"": null, ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,링제본부자재,4,N,both,
MAT_000002,블랙면지,"{""mat_typ_cd"": ""MAT_TYPE.02"", ""upr_mat_cd"": null, ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,링제본부자재,4,N,both,
MAT_000003,그레이면지,"{""mat_typ_cd"": ""MAT_TYPE.02"", ""upr_mat_cd"": null, ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,링제본부자재,4,N,both,
MAT_000004,인쇄면지,"{""mat_typ_cd"": ""MAT_TYPE.01"", ""upr_mat_cd"": null, ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,디지털인쇄용지,2,N,both,
MAT_000010,투명커버 유광,"{""mat_typ_cd"": ""MAT_TYPE.02"", ""upr_mat_cd"": ""MAT_000009"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,링제본부자재,0,N,live,
MAT_000011,투명커버 무광,"{""mat_typ_cd"": ""MAT_TYPE.02"", ""upr_mat_cd"": ""MAT_000009"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,링제본부자재,0,N,live,
MAT_000012,링,"{""mat_typ_cd"": ""MAT_TYPE.04"", ""upr_mat_cd"": null, ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,하드커버부자재,0,N,live,
MAT_000013,링 화이트링,"{""mat_typ_cd"": ""MAT_TYPE.04"", ""upr_mat_cd"": ""MAT_000012"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,하드커버부자재,2,N,both,
MAT_000014,링 블랙링,"{""mat_typ_cd"": ""MAT_TYPE.04"", ""upr_mat_cd"": ""MAT_000012"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,하드커버부자재,2,N,both,
MAT_000015,링 메탈링,"{""mat_typ_cd"": ""MAT_TYPE.04"", ""upr_mat_cd"": ""MAT_000012"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,하드커버부자재,2,N,both,
MAT_000016,링 실버링,"{""mat_typ_cd"": ""MAT_TYPE.04"", ""upr_mat_cd"": ""MAT_000012"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,하드커버부자재,0,N,live,
MAT_000018,D링 31mm,"{""mat_typ_cd"": ""MAT_TYPE.04"", ""upr_mat_cd"": ""MAT_000017"", ""width"": null, ""height"": null, ""depth"": null, ""bdl_qty"": null}",,하드커버부자재,0,N,live,
