mat_cd	mat_nm	mat_typ_cd	upr_mat_cd	sel_typ_cd	max_sel_cnt	width	height	depth	weight	bdl_qty	use_yn	note	reg_dt	upd_dt	del_yn	del_dt
MAT_000001	화이트면지	MAT_TYPE.02		SEL_TYPE.01							Y	D-29 위치 unaware	2026-06-03 12:46:02.974607	2026-06-16 18:51:44.852609	N	
MAT_000002	블랙면지	MAT_TYPE.02		SEL_TYPE.01							Y	D-29	2026-06-03 12:46:02.974607	2026-06-16 18:51:56.656779	N	
MAT_000003	그레이면지	MAT_TYPE.02		SEL_TYPE.01							Y	D-29	2026-06-03 12:46:02.974607	2026-06-16 18:52:05.824202	N	
MAT_000004	인쇄면지	MAT_TYPE.01		SEL_TYPE.01							Y	D-29 — 하드커버링/레더링바인더 전용	2026-06-03 12:46:02.974607		N	
MAT_000005	하드커버	MAT_TYPE.01		SEL_TYPE.01							Y	포토북 표지 자재	2026-06-03 12:46:02.974607	2026-06-16 19:03:56.083613	Y	2026-06-16 19:03:56.081624
MAT_000006	레더하드커버	MAT_TYPE.06		SEL_TYPE.01							Y	포토북 표지 자재	2026-06-03 12:46:02.974607	2026-06-16 19:08:31.836766	Y	2026-06-16 19:08:31.83487
MAT_000007	소프트커버	MAT_TYPE.01		SEL_TYPE.01							Y	포토북 표지 자재	2026-06-03 12:46:02.974607	2026-06-16 19:03:56.079931	Y	2026-06-16 19:03:56.077917
MAT_000008	레더	MAT_TYPE.06		SEL_TYPE.01							Y	책자 표지 자재	2026-06-03 12:46:02.974607	2026-06-16 18:52:26.909969	Y	2026-06-16 18:52:26.907225
MAT_000009	투명커버	MAT_TYPE.02		SEL_TYPE.01							Y	D-17 v1.0 폐기 → 자재 이전	2026-06-03 12:46:02.974607	2026-06-16 18:52:36.636515	Y	2026-06-16 18:52:36.633852
MAT_000010	투명커버 유광	MAT_TYPE.02	MAT_000009								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000011	투명커버 무광	MAT_TYPE.02	MAT_000009								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000012	링	MAT_TYPE.04		SEL_TYPE.01							Y	캘린더링/책자링	2026-06-03 12:46:02.974607		N	
MAT_000013	링 화이트링	MAT_TYPE.04	MAT_000012								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000014	링 블랙링	MAT_TYPE.04	MAT_000012								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000015	링 메탈링	MAT_TYPE.04	MAT_000012								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
MAT_000016	링 실버링	MAT_TYPE.04	MAT_000012								Y		2026-06-03 12:46:02.974607	2026-06-03 12:46:02.974607	N	
