code,display_name,raw_value_json,unit,semantic_axis,product_bindings,price_dependent,source,note
PROC_000001,인쇄,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": null, ""disp_seq"": ""1""}",,인쇄/표면,0,N,live,
PROC_000002,UV,"{""prcs_dtl_opt"": {""inputs"": [{""key"": ""변형"", ""type"": ""enum"", ""values"": [""일반"", ""배면양면"", ""풀빼다"", ""투명테두리"", ""단면""]}]}, ""upr_proc_cd"": null, ""disp_seq"": ""23""}",,인쇄/표면,14,N,live,
PROC_000003,옵셋,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000001"", ""disp_seq"": ""2""}",,후가공/기타,0,N,live,upr=PROC_000001
PROC_000004,디지털,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000001"", ""disp_seq"": ""3""}",,후가공/기타,0,Y,live,upr=PROC_000001; price_cp=424
PROC_000005,실크,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000001"", ""disp_seq"": ""4""}",,후가공/기타,0,N,live,upr=PROC_000001
PROC_000006,실사,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000001"", ""disp_seq"": ""5""}",,후가공/기타,0,N,live,upr=PROC_000001
PROC_000007,별색인쇄,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": null, ""disp_seq"": ""2""}",,후가공/기타,0,N,live,
PROC_000008,화이트,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000007"", ""disp_seq"": ""1""}",,후가공/기타,5,Y,live,upr=PROC_000007; price_cp=159
PROC_000009,클리어,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000007"", ""disp_seq"": ""2""}",,후가공/기타,0,Y,live,upr=PROC_000007; price_cp=212
PROC_000010,핑크,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000007"", ""disp_seq"": ""3""}",,인쇄/표면,0,Y,live,upr=PROC_000007; price_cp=212
PROC_000011,금색,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000007"", ""disp_seq"": ""4""}",,후가공/기타,0,Y,live,upr=PROC_000007; price_cp=212
PROC_000012,은색,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000007"", ""disp_seq"": ""5""}",,후가공/기타,0,Y,live,upr=PROC_000007; price_cp=212
PROC_000013,코팅,"{""prcs_dtl_opt"": {""inputs"": [{""key"": ""면"", ""type"": ""enum"", ""values"": [""단면"", ""양면""]}]}, ""upr_proc_cd"": null, ""disp_seq"": ""3""}",,후가공/기타,0,N,live,
PROC_000014,유광,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000013"", ""disp_seq"": ""1""}",,후가공/기타,21,N,live,upr=PROC_000013
PROC_000015,무광,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000013"", ""disp_seq"": ""2""}",,후가공/기타,30,N,live,upr=PROC_000013
PROC_000016,UV,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000013"", ""disp_seq"": ""3""}",,인쇄/표면,0,N,live,upr=PROC_000013
PROC_000017,제본,"{""prcs_dtl_opt"": {""inputs"": [{""key"": ""방향"", ""help"": ""좌철/상철"", ""type"": ""string""}, {""key"": ""묶음단위"", ""help"": ""50장1권/100장1권 — 떡제본"", ""type"": ""string""}, {""key"": ""책등"", ""type"": ""number"", ""unit"": ""mm""}, {""key"": ""고리형"", ""help"": ""트윈링 고리 변형"", ""type"": ""boolean"", ""default"": false}]}, ""upr_proc_cd"": null, ""disp_seq"": ""4""}",,후가공/기타,0,N,live,
PROC_000018,중철제본,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000017"", ""disp_seq"": ""1""}",,후가공/기타,2,Y,live,upr=PROC_000017; price_cp=16
PROC_000019,무선제본,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000017"", ""disp_seq"": ""2""}",,후가공/기타,1,Y,live,upr=PROC_000017; price_cp=16
PROC_000020,PUR제본,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000017"", ""disp_seq"": ""3""}",,후가공/기타,2,Y,live,upr=PROC_000017; price_cp=16
PROC_000021,트윈링제본,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000017"", ""disp_seq"": ""4""}",,후가공/기타,5,Y,live,upr=PROC_000017; price_cp=8
PROC_000022,떡제본,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000017"", ""disp_seq"": ""5""}",,후가공/기타,3,N,live,upr=PROC_000017
PROC_000023,하드커버무선제본,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000017"", ""disp_seq"": ""6""}",,후가공/기타,4,Y,live,upr=PROC_000017; price_cp=12
PROC_000024,하드커버트윈링제본,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000017"", ""disp_seq"": ""7""}",,후가공/기타,1,Y,live,upr=PROC_000017; price_cp=12
PROC_000025,레이플랫제본,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000017"", ""disp_seq"": ""8""}",,후가공/기타,0,N,live,upr=PROC_000017; del
PROC_000026,귀돌이,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": null, ""disp_seq"": ""5""}",,후가공/기타,0,N,live,
PROC_000027,직각,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000026"", ""disp_seq"": ""1""}",,후가공/기타,13,Y,live,upr=PROC_000026; price_cp=9
PROC_000028,둥근,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000026"", ""disp_seq"": ""2""}",,후가공/기타,13,Y,live,upr=PROC_000026; price_cp=18
PROC_000029,오시,"{""prcs_dtl_opt"": {""inputs"": [{""key"": ""줄수"", ""max"": 3, ""min"": 0, ""type"": ""integer"", ""unit"": ""줄""}]}, ""upr_proc_cd"": null, ""disp_seq"": ""6""}",,후가공/접지절취,4,N,live,
PROC_000030,미싱,"{""prcs_dtl_opt"": {""inputs"": [{""key"": ""줄수"", ""max"": 3, ""min"": 0, ""type"": ""integer"", ""unit"": ""줄""}]}, ""upr_proc_cd"": null, ""disp_seq"": ""7""}",,후가공/접지절취,4,N,live,
PROC_000031,가변텍스트,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000085"", ""disp_seq"": ""1""}",,후가공/기타,11,Y,live,upr=PROC_000085; price_cp=115
PROC_000032,가변이미지,"{""prcs_dtl_opt"": null, ""upr_proc_cd"": ""PROC_000085"", ""disp_seq"": ""2""}",,후가공/기타,11,Y,live,upr=PROC_000085; price_cp=115
PROC_000033,박,"{""prcs_dtl_opt"": {""inputs"": [{""key"": ""크기"", ""type"": ""number"", ""unit"": ""mm""}]}, ""upr_proc_cd"": null, ""disp_seq"": ""10""}",,후가공/기타,0,N,live,
