source,sheet,product,display_size,work_dims,cut_dims,garo,sero
master,디지털인쇄,프리미엄엽서,73 x 98 mm,75 x 100,73 x 98,,
master,디지털인쇄,,98 x 98 mm,100 x 100,98 x 98,,
master,디지털인쇄,,100 x 150 mm,102 x 152,100 x 150,,
master,디지털인쇄,,135 x 135 mm,137 x 137,135 x 135,,
master,디지털인쇄,,95 x 210 mm,97 x 212,95 x 210,,
master,디지털인쇄,,110 x 170 mm,112 x 172,110 x 170,,
master,디지털인쇄,,148 x 210 mm,150 x 212,148 x 210,,
master,디지털인쇄,코팅엽서,73 x 98 mm,75 x 100,73 x 98,,
master,디지털인쇄,,98 x 98 mm,100 x 100,98 x 98,,
master,디지털인쇄,,100 x 150 mm,102 x 152,100 x 150,,
master,디지털인쇄,,135 x 135 mm,137 x 137,135 x 135,,
master,디지털인쇄,,95 x 210 mm,97 x 212,95 x 210,,
master,디지털인쇄,,110 x 170 mm,112 x 172,110 x 170,,
master,디지털인쇄,,148 x 210 mm,150 x 212,148 x 210,,
master,디지털인쇄,스탠다드엽서,73 x 98 mm,75 x 100,73 x 98,,
master,디지털인쇄,,98 x 98 mm,100 x 100,98 x 98,,
master,디지털인쇄,,100 x 150 mm,102 x 152,100 x 150,,
master,디지털인쇄,,135 x 135 mm,137 x 137,135 x 135,,
master,디지털인쇄,,148 x 210 mm,150 x 212,148 x 210,,
master,디지털인쇄,투명엽서,98 x 98 mm,100 x 100,98 x 98,,
master,디지털인쇄,,100 x 150 mm,102 x 152,100 x 150,,
master,디지털인쇄,,135 x 135 mm,137 x 137,135 x 135,,
master,디지털인쇄,,148 x 210 mm,150 x 212,148 x 210,,
master,디지털인쇄,화이트인쇄엽서,98 x 98 mm,100 x 100,98 x 98,,
master,디지털인쇄,,100 x 150 mm,102 x 152,100 x 150,,
master,디지털인쇄,,135 x 135 mm,137 x 137,135 x 135,,
master,디지털인쇄,,148 x 210 mm,150 x 212,148 x 210,,
master,디지털인쇄,핑크별색엽서,98 x 98 mm,100 x 100,98 x 98,,
master,디지털인쇄,,100 x 150 mm,102 x 152,100 x 150,,
master,디지털인쇄,,135 x 135 mm,137 x 137,135 x 135,,
master,디지털인쇄,,148 x 210 mm,150 x 212,148 x 210,,
master,디지털인쇄,금은별색엽서,98 x 98 mm,100 x 100,98 x 98,,
master,디지털인쇄,,100 x 150 mm,102 x 152,100 x 150,,
master,디지털인쇄,,135 x 135 mm,137 x 137,135 x 135,,
