source,sheet,context,size_label,semantic_axis_guess
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(가로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(가로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1000mm,면적매트릭스(가로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1200mm,면적매트릭스(가로축)
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),3000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),3000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),3000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),3000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),3000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),3000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),1800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2200mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2400mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),2800mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),3000mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),600mm,면적매트릭스(세로축)
pricetable,포스터사인,아트프린트포스터 (인화지),800mm,면적매트릭스(세로축)
