siz_cd,n_prd
SIZ_000004,1
SIZ_000007,9
SIZ_000008,1
SIZ_000011,1
SIZ_000012,2
SIZ_000017,4
SIZ_000028,1
SIZ_000036,2
SIZ_000043,2
SIZ_000050,13
SIZ_000052,19
SIZ_000054,1
SIZ_000057,3
SIZ_000060,1
SIZ_000061,1
SIZ_000062,1
SIZ_000063,1
SIZ_000064,1
SIZ_000065,2
SIZ_000068,1
SIZ_000113,5
SIZ_000114,2
SIZ_000115,2
SIZ_000118,1
SIZ_000120,1
SIZ_000142,1
SIZ_000143,1
SIZ_000144,1
SIZ_000147,1
SIZ_000148,2
SIZ_000157,1
SIZ_000171,1
SIZ_000173,2
SIZ_000175,2
SIZ_000179,1
SIZ_000180,1
SIZ_000181,2
SIZ_000186,1
SIZ_000188,1
SIZ_000190,1
SIZ_000191,1
SIZ_000192,1
SIZ_000193,1
SIZ_000194,1
SIZ_000195,1
SIZ_000198,18
SIZ_000199,1
SIZ_000200,2
SIZ_000201,2
SIZ_000202,2
SIZ_000203,1
SIZ_000204,1
SIZ_000205,1
SIZ_000206,1
SIZ_000207,1
SIZ_000208,1
SIZ_000209,1
SIZ_000210,1
SIZ_000211,1
SIZ_000225,1
SIZ_000227,1
SIZ_000229,1
SIZ_000231,1
SIZ_000233,1
SIZ_000235,1
SIZ_000237,1
SIZ_000239,1
SIZ_000241,1
SIZ_000243,1
SIZ_000246,2
SIZ_000248,1
SIZ_000250,8
SIZ_000251,2
SIZ_000252,7
SIZ_000254,2
SIZ_000256,1
SIZ_000257,1
SIZ_000259,1
SIZ_000260,1
SIZ_000261,1
SIZ_000262,1
SIZ_000263,1
SIZ_000264,1
SIZ_000265,1
SIZ_000267,1
SIZ_000270,1
SIZ_000272,1
SIZ_000273,1
SIZ_000275,1
SIZ_000277,1
SIZ_000278,1
SIZ_000279,1
SIZ_000280,1
SIZ_000281,1
SIZ_000292,1
SIZ_000294,12
SIZ_000299,1
SIZ_000302,1
SIZ_000303,2
SIZ_000305,1
SIZ_000307,1
SIZ_000309,1
SIZ_000311,1
SIZ_000312,1
SIZ_000313,1
SIZ_000314,1
SIZ_000316,1
SIZ_000318,1
SIZ_000319,1
SIZ_000320,2
SIZ_000321,2
SIZ_000322,2
SIZ_000323,1
SIZ_000324,2
SIZ_000325,2
SIZ_000326,2
SIZ_000327,2
SIZ_000328,1
SIZ_000329,1
SIZ_000330,1
SIZ_000331,1
SIZ_000332,1
SIZ_000333,1
SIZ_000334,1
SIZ_000335,1
SIZ_000337,3
SIZ_000338,5
SIZ_000339,1
SIZ_000340,5
SIZ_000341,1
SIZ_000342,5
SIZ_000343,3
SIZ_000345,2
SIZ_000347,2
SIZ_000349,2
SIZ_000351,2
SIZ_000357,1
SIZ_000358,1
SIZ_000359,1
SIZ_000360,1
SIZ_000361,1
SIZ_000362,1
SIZ_000363,1
SIZ_000365,1
SIZ_000376,1
SIZ_000378,1
SIZ_000381,1
SIZ_000382,1
SIZ_000383,1
SIZ_000385,2
SIZ_000387,2
SIZ_000389,2
SIZ_000390,1
SIZ_000391,1
SIZ_000392,1
SIZ_000393,1
SIZ_000394,1
SIZ_000395,1
SIZ_000397,1
SIZ_000398,1
SIZ_000400,1
SIZ_000401,2
SIZ_000403,1
SIZ_000404,1
SIZ_000405,1
SIZ_000407,1
SIZ_000408,2
SIZ_000409,1
SIZ_000410,1
SIZ_000411,1
SIZ_000412,1
SIZ_000414,1
SIZ_000416,1
SIZ_000417,1
SIZ_000418,1
SIZ_000427,1
SIZ_000428,1
SIZ_000429,1
SIZ_000430,1
SIZ_000431,1
SIZ_000432,1
SIZ_000433,4
SIZ_000434,2
SIZ_000435,3
SIZ_000436,3
SIZ_000437,1
SIZ_000438,1
SIZ_000439,1
SIZ_000440,1
SIZ_000441,1
SIZ_000442,2
SIZ_000443,1
SIZ_000444,1
SIZ_000445,1
SIZ_000446,1
SIZ_000447,1
SIZ_000448,1
SIZ_000449,1
SIZ_000450,1
SIZ_000451,1
SIZ_000452,1
SIZ_000453,1
SIZ_000454,1
SIZ_000455,1
SIZ_000456,1
SIZ_000457,1
SIZ_000458,1
SIZ_000459,1
SIZ_000460,1
SIZ_000461,1
SIZ_000462,1
SIZ_000463,1
SIZ_000464,1
SIZ_000465,1
SIZ_000466,1
SIZ_000467,1
SIZ_000468,1
SIZ_000469,2
SIZ_000470,1
SIZ_000471,1
SIZ_000472,1
SIZ_000473,1
SIZ_000474,1
SIZ_000475,1
SIZ_000476,2
SIZ_000477,1
SIZ_000478,1
SIZ_000479,1
SIZ_000480,1
SIZ_000481,1
SIZ_000482,1
SIZ_000483,1
SIZ_000484,1
SIZ_000485,1
SIZ_000486,1
SIZ_000487,1
SIZ_000488,1
SIZ_000489,2
SIZ_000490,1
SIZ_000491,1
SIZ_000493,1
SIZ_000495,1
SIZ_000497,1
SIZ_000499,32
