siz_cd,cp_rows
SIZ_000003,156
SIZ_000004,156
SIZ_000008,2
SIZ_000011,2
SIZ_000012,2
SIZ_000028,5
SIZ_000036,180
SIZ_000043,180
SIZ_000059,252
SIZ_000060,253
SIZ_000061,180
SIZ_000062,180
SIZ_000063,180
SIZ_000064,180
SIZ_000065,180
SIZ_000068,1
SIZ_000077,152
SIZ_000119,56
SIZ_000124,156
SIZ_000170,180
SIZ_000172,12
SIZ_000174,12
SIZ_000191,10
SIZ_000192,10
SIZ_000193,10
SIZ_000194,10
SIZ_000197,12
SIZ_000199,6
SIZ_000212,10
SIZ_000213,10
SIZ_000214,10
SIZ_000215,10
SIZ_000216,10
SIZ_000217,10
SIZ_000218,10
SIZ_000219,10
SIZ_000220,10
SIZ_000221,10
SIZ_000222,10
SIZ_000223,10
SIZ_000224,10
SIZ_000226,10
SIZ_000228,10
SIZ_000230,10
SIZ_000232,10
SIZ_000234,10
SIZ_000236,10
SIZ_000238,10
SIZ_000240,10
SIZ_000242,10
SIZ_000244,10
SIZ_000245,10
SIZ_000247,10
SIZ_000249,10
SIZ_000258,12
SIZ_000266,56
SIZ_000315,18
SIZ_000317,12
SIZ_000319,1
SIZ_000320,1
SIZ_000321,2
SIZ_000324,2
SIZ_000325,2
SIZ_000326,2
SIZ_000327,2
SIZ_000328,5
SIZ_000422,10
SIZ_000426,5
SIZ_000499,244
SIZ_000501,10
SIZ_000502,10
SIZ_000503,10
SIZ_000504,10
SIZ_000505,10
SIZ_000506,10
SIZ_000507,10
SIZ_000508,10
SIZ_000509,10
SIZ_000510,10
SIZ_000514,12
SIZ_000515,12
SIZ_000518,252
SIZ_000519,252
SIZ_000520,180
