prd_cd,prd_nm,group,frm_cd,binding_status,wiring_status,use_dims,discriminator_charge,verdict,money_impact,repro_sql
PRD_000052,반칼 자유형 스티커,sticker,PRF_STK_FIXED,BOUND,WIRED(1 comp COMP_STK_PRINT),"[siz_cd,mat_cd,min_qty]",FULL(siz/mat/qty charged; proc/print_opt N/A 단면),MATCH,none,"SELECT * FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PRINT'"
PRD_000053,반칼 자유형 투명스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000054,반칼 자유형 홀로그램스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000055,낱장 자유형 스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000056,낱장 자유형 투명스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000057,대형 자유형 스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000058,반칼원형스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000059,반칼정사각스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000060,반칼직사각스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000061,반칼띠지스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000062,반칼팬시스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000063,반칼팬시투명스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000064,소량자유형스티커,sticker,PRF_STK_FIXED,BOUND,WIRED,"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000065,스티커팩,sticker,PRF_STK_PACK,BOUND,WIRED(COMP_STK_PACK 합가형 PRICE_TYPE.02),"[siz_cd,min_qty]",FULL(min_qty=54 단일밴드),MATCH,none,"SELECT * FROM t_prc_component_prices WHERE comp_cd='COMP_STK_PACK'"
PRD_000066,합판도무송스티커,sticker,PRF_GANGPAN_FIXED,BOUND,WIRED(COMP_GANGPAN_PRINT),"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000067,타투스티커,sticker,PRF_STK_TATTOO,BOUND,WIRED(COMP_STK_TATTOO 합가형),"[siz_cd,mat_cd,min_qty]",FULL,MATCH,none,
PRD_000118,아트프린트포스터,silsa,PRF_POSTER_ARTPRINT,BOUND,WIRED(공유 COMP_POSTER_ARTPRINT_PHOTO),"[siz_width,siz_height,min_qty]",FULL(area discriminator; mat NULL=의도·소재무관 동일가),MATCH,none,"SELECT unit_price FROM t_prc_component_prices WHERE comp_cd='COMP_POSTER_ARTPRINT_PHOTO'"
PRD_000119,아트페이퍼포스터,silsa,PRF_POSTER_ARTPAPER,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000120,방수포스터,silsa,PRF_POSTER_WATERPROOF,BOUND,WIRED(공유 COMP_POSTER_ARTPRINT_PHOTO),"[siz_width,siz_height,min_qty]",FULL(공유공식·권위가 4소재 동일=MATCH),MATCH,none,
PRD_000121,접착방수포스터,silsa,PRF_POSTER_ADH_WP,BOUND,WIRED(공유 COMP_POSTER_ARTPRINT_PHOTO),"[siz_width,siz_height,min_qty]",FULL(공유공식·권위가 동일=MATCH),MATCH,none,
PRD_000122,접착투명포스터,silsa,PRF_POSTER_ADH_CLEAR,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000123,아트패브릭포스터,silsa,PRF_POSTER_ARTFABRIC,BOUND,WIRED(공유 COMP_POSTER_ARTPRINT_PHOTO),"[siz_width,siz_height,min_qty]",FULL(공유공식·권위가 동일=MATCH),MATCH,none,
PRD_000124,린넨패브릭포스터,silsa,PRF_POSTER_LINEN,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000125,캔버스패브릭포스터,silsa,PRF_POSTER_CANVAS,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000126,레더아트프린트,silsa,PRF_POSTER_LEATHER_AP,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000127,타이벡프린트,silsa,PRF_POSTER_TYVEK,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000128,메쉬프린트,silsa,PRF_POSTER_MESH,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000129,폼보드,silsa,PRF_POSTER_FOAMBOARD,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000130,포맥스보드,silsa,PRF_POSTER_FOMEXBOARD,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000131,프레임리스우드액자,silsa,PRF_POSTER_FRAMELESS,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000132,레더아트액자,silsa,PRF_POSTER_LEATHER_FRAME,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000133,캔버스 행잉포스터,silsa,PRF_POSTER_CANVAS_HANGING,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000134,린넨 우드봉 족자,silsa,PRF_POSTER_LINEN_WOODBONG,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000135,족자포스터,silsa,PRF_POSTER_JOKJA,BOUND,WIRED(1 comp),"[siz_width,siz_height,min_qty]",FULL,MATCH,none,
PRD_000136,PET배너,silsa,PRF_POSTER_PET_BANNER,BOUND,WIRED(1 comp),"[siz_cd,min_qty]",FULL(사이즈티어형),MATCH,none,
