prd_cd,prd_nm,axis,owner,live_formula_bind,live_product_prices,live_discount_table,verdict,money_impact,repro_sql,note
PRD_000183,틴거울,가격엔진,price-engine,0,0,DSC_GOODSB_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000183') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000183') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000184,컴팩트거울,가격엔진,price-engine,0,0,DSC_GOODSB_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000184') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000184') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000185,카드거울,가격엔진,price-engine,0,0,DSC_GOODSB_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000185') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000185') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000186,사각손거울,가격엔진,price-engine,0,0,DSC_GOODSA_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000186') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000186') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000187,블랙사각손거울,가격엔진,price-engine,0,0,DSC_GOODSA_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000187') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000187') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000188,레더코스터,가격엔진,price-engine,0,0,DSC_GOODSA_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000188') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000188') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000189,코르크코스터,가격엔진,price-engine,0,0,DSC_GOODSA_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000189') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000189') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000190,우드코스터,가격엔진,price-engine,0,0,DSC_GOODSA_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000190') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000190') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000191,린넨패브릭코스터,가격엔진,price-engine,0,0,DSC_GOODSA_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000191') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000191') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
PRD_000192,규조토코스터,가격엔진,price-engine,0,0,DSC_GOODSA_QTY,MISSING_BIND,차단(가격산출불가=견적0·source=NONE),"SELECT (SELECT count(*) FROM t_prd_product_price_formulas WHERE prd_cd='PRD_000192') frm,(SELECT count(*) FROM t_prd_product_prices WHERE prd_cd='PRD_000192') pp;","가격권위 보유하나 formula0+pp0 전건 미바인딩. §18 design 처방 미적재"
