prd_cd,prd_nm,unit_price,class,apply_ymd,source,note
PRD_000185,카드거울,2500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000196,레더여권케이스,5000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000205,양말,3000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000210,초슬림마우스패드,5000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000211,장패드,18000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000212,극세사클리너,2500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000219,밴드톡,4500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000223,말랑포카홀더,14000,GP-ADD,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base. addon=별SKU(R-GP4-8 별도)
PRD_000224,말랑네임택,12000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000225,말랑여권케이스,14500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000235,레더 스트링 원형파우치,16500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000236,레더 플랫 클러치,18000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000237,레더 삼각 클러치,20000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000248,타이벡 플랫 클러치,12500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000251,레더 플랫 미니파우치,6500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000253,레더 삼각 미니파우치,7200,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000256,레더 플랫 필통,7500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000257,레더 슬림 필통,8500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000258,레더 삼각 필통,8500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000259,레더 볼륨 필통,9500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000260,레더 원형 필통,10500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000263,레더토트백,31000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000265,린넨 미니에코백,16500,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000266,린넨 토트백,24000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000272,캔버스 포켓숄더백,58000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
PRD_000275,타이벡 보냉 미니백,25000,GP-1,2026-06-10,goods-pouch-l1.csv:상품마스터260610 가격(C열),단일고정가 base
