prd_cd,상품명,CN유형,대상축(var),근거,기존제약유무,우선순위
PRD_000001,OPP접착봉투,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000002,OPP비접착봉투,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000004,카드봉투,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000005,캘린더봉투,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000006,볼체인,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000007,와이어링,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000008,천정고리,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000009,투명케이스,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000010,행택끈,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000011,자석고정용고무판,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000012,우드거치대,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000013,우드봉,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000014,우드행거,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000015,만년스탬프 리필잉크,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
PRD_000016,프리미엄엽서,CN-3,sel_opts/sel_opt_grps,R_DEMO_VIS(RULE_TYPE.01) 양면 선택시 가변텍스트 노출(옵션연동 호환),"Y(R_DEMO_EXC,R_DEMO_VIS)",확정(등록됨)
PRD_000016,프리미엄엽서,CN-4,sel_opt_grps,R_DEMO_EXC(RULE_TYPE.02) 오시(OPT-000005)·미싱(OPT-000006) 동시 불가. 도메인=접지선/절취선 상호배제,"Y(R_DEMO_EXC,R_DEMO_VIS)",확정(등록됨)
PRD_000017,코팅엽서,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000018,스탠다드엽서,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000019,투명엽서,NONE,-,자재명 규격내장 리드 있었으나 component_prices 상품제공 mat×siz 누락셀 0=CN-2 아님(가격이 mat×siz 미교차). 기타 CN 근거 없음,N,-
PRD_000020,화이트인쇄엽서,NONE,-,자재x사이즈 격자단순·자유치수없음·옵션그룹오용없음·기존제약없음,N,-
