# 유도 시점: 2026-07-02 17:04:07  원천: 라이브 t_prd_product_options/option_items (읽기전용)  임계: 180g
"# 코팅선택집합(유광/무광): OPV_000280(유광), OPV_000281(무광)"
# 코팅없음(미선택): OPV_000279(코팅없음)
opt_cd,opt_nm,gram,ref_dim,mat_key,verdict
OPV_000232,백색모조지 100g,100,OPT_REF_DIM.03,MAT_000072__USAGE.07,BLOCK(<180)
OPV_000233,백색모조지 120g,120,OPT_REF_DIM.03,MAT_000073__USAGE.07,BLOCK(<180)
OPV_000234,백색모조지 220g,220,OPT_REF_DIM.03,MAT_000074__USAGE.07,ALLOW(>=180)
OPV_000235,아트지 100g,100,OPT_REF_DIM.03,MAT_000076__USAGE.07,BLOCK(<180)
OPV_000236,아트지 120g,120,OPT_REF_DIM.03,MAT_000077__USAGE.07,BLOCK(<180)
OPV_000237,아트지 150g,150,OPT_REF_DIM.03,MAT_000078__USAGE.07,BLOCK(<180)
OPV_000238,아트지 180g,180,OPT_REF_DIM.03,MAT_000079__USAGE.07,ALLOW(>=180)
OPV_000239,아트지 200g,200,OPT_REF_DIM.03,MAT_000080__USAGE.07,ALLOW(>=180)
OPV_000240,아트지 250g,250,OPT_REF_DIM.03,MAT_000081__USAGE.07,ALLOW(>=180)
OPV_000241,아트지 300g,300,OPT_REF_DIM.03,MAT_000082__USAGE.07,ALLOW(>=180)
OPV_000242,스노우지 100g,100,OPT_REF_DIM.03,MAT_000086__USAGE.07,BLOCK(<180)
OPV_000243,스노우지 120g,120,OPT_REF_DIM.03,MAT_000087__USAGE.07,BLOCK(<180)
OPV_000244,스노우지 150g,150,OPT_REF_DIM.03,MAT_000088__USAGE.07,BLOCK(<180)
OPV_000245,스노우지 180g,180,OPT_REF_DIM.03,MAT_000089__USAGE.07,ALLOW(>=180)
OPV_000246,스노우지 200g,200,OPT_REF_DIM.03,MAT_000090__USAGE.07,ALLOW(>=180)
OPV_000247,스노우지 250g,250,OPT_REF_DIM.03,MAT_000091__USAGE.07,ALLOW(>=180)
OPV_000248,스노우지 300g,300,OPT_REF_DIM.03,MAT_000092__USAGE.07,ALLOW(>=180)
OPV_000249,앙상블 100g,100,OPT_REF_DIM.03,MAT_000095__USAGE.07,BLOCK(<180)
OPV_000250,앙상블 130g,130,OPT_REF_DIM.03,MAT_000096__USAGE.07,BLOCK(<180)
OPV_000251,앙상블 160g,160,OPT_REF_DIM.03,MAT_000097__USAGE.07,BLOCK(<180)
OPV_000252,앙상블 190g,190,OPT_REF_DIM.03,MAT_000098__USAGE.07,ALLOW(>=180)
OPV_000253,앙상블 210g,210,OPT_REF_DIM.03,MAT_000099__USAGE.07,ALLOW(>=180)
OPV_000254,랑데뷰 WH 240g,240,OPT_REF_DIM.03,MAT_000101__USAGE.07,ALLOW(>=180)
OPV_000255,랑데뷰 WH 310g,310,OPT_REF_DIM.03,MAT_000102__USAGE.07,ALLOW(>=180)
OPV_000256,몽블랑 100g,100,OPT_REF_DIM.03,MAT_000104__USAGE.07,BLOCK(<180)
OPV_000257,몽블랑 130g,130,OPT_REF_DIM.03,MAT_000105__USAGE.07,BLOCK(<180)
OPV_000258,몽블랑 160g,160,OPT_REF_DIM.03,MAT_000106__USAGE.07,BLOCK(<180)
OPV_000259,몽블랑 190g,190,OPT_REF_DIM.03,MAT_000107__USAGE.07,ALLOW(>=180)
OPV_000260,몽블랑 210g,210,OPT_REF_DIM.03,MAT_000108__USAGE.07,ALLOW(>=180)
OPV_000261,몽블랑 240g,240,OPT_REF_DIM.03,MAT_000109__USAGE.07,ALLOW(>=180)
OPV_000262,아코팩(웜화이트) 250g,250,OPT_REF_DIM.03,MAT_000113__USAGE.07,ALLOW(>=180)
OPV_000263,리사이클러스 240g,240,OPT_REF_DIM.03,MAT_000114__USAGE.07,ALLOW(>=180)
OPV_000264,매쉬멜로우 233g,233,OPT_REF_DIM.03,MAT_000115__USAGE.07,ALLOW(>=180)
OPV_000265,린넨커버 216g,216,OPT_REF_DIM.03,MAT_000116__USAGE.07,ALLOW(>=180)
OPV_000266,스타화이트(하이테크) 238g,238,OPT_REF_DIM.03,MAT_000117__USAGE.07,ALLOW(>=180)
OPV_000267,클래식 크래스트 스티플 270g,270,OPT_REF_DIM.03,MAT_000118__USAGE.07,ALLOW(>=180)
OPV_000268,리브스디자인 250g,250,OPT_REF_DIM.03,MAT_000119__USAGE.07,ALLOW(>=180)
OPV_000269,매직터치(백색) 250g,250,OPT_REF_DIM.03,MAT_000120__USAGE.07,ALLOW(>=180)
OPV_000270,켄도 250g,250,OPT_REF_DIM.03,MAT_000121__USAGE.07,ALLOW(>=180)
OPV_000271,띤또레또 200g,200,OPT_REF_DIM.03,MAT_000123__USAGE.07,ALLOW(>=180)
OPV_000272,띤또레또 250g,250,OPT_REF_DIM.03,MAT_000124__USAGE.07,ALLOW(>=180)
OPV_000273,한지 170g,170,OPT_REF_DIM.03,MAT_000125__USAGE.07,BLOCK(<180)
OPV_000274,스코트랜드 220g,220,OPT_REF_DIM.03,MAT_000126__USAGE.07,ALLOW(>=180)
OPV_000275,스타드림(다이아몬드) 240g,240,OPT_REF_DIM.03,MAT_000127__USAGE.07,ALLOW(>=180)
OPV_000276,스타드림(실버) 240g,240,OPT_REF_DIM.03,MAT_000128__USAGE.07,ALLOW(>=180)
OPV_000277,스타드림(골드) 240g,240,OPT_REF_DIM.03,MAT_000129__USAGE.07,ALLOW(>=180)
OPV_000278,스타드림(로즈쿼츠) 240g,240,OPT_REF_DIM.03,MAT_000130__USAGE.07,ALLOW(>=180)
