mat_cd,mat_nm,mat_typ_cd,upr_mat_cd
MAT_000001,화이트면지,MAT_TYPE.01,
MAT_000002,블랙면지,MAT_TYPE.01,
MAT_000003,그레이면지,MAT_TYPE.01,
MAT_000004,인쇄면지,MAT_TYPE.01,
MAT_000005,하드커버,MAT_TYPE.01,
MAT_000006,레더하드커버,MAT_TYPE.01,
MAT_000007,소프트커버,MAT_TYPE.01,
MAT_000008,레더,MAT_TYPE.06,
MAT_000009,투명커버,MAT_TYPE.02,
MAT_000010,투명커버 유광,MAT_TYPE.02,MAT_000009
MAT_000011,투명커버 무광,MAT_TYPE.02,MAT_000009
MAT_000012,링,MAT_TYPE.04,
MAT_000013,링 화이트링,MAT_TYPE.04,MAT_000012
MAT_000014,링 블랙링,MAT_TYPE.04,MAT_000012
MAT_000015,링 메탈링,MAT_TYPE.04,MAT_000012
MAT_000016,링 실버링,MAT_TYPE.04,MAT_000012
MAT_000017,D링,MAT_TYPE.04,
MAT_000018,D링 31mm,MAT_TYPE.04,MAT_000017
MAT_000019,D링 42mm,MAT_TYPE.04,MAT_000017
MAT_000020,D링 56mm,MAT_TYPE.04,MAT_000017
MAT_000021,캘린더링,MAT_TYPE.04,
MAT_000022,캘린더링 화이트,MAT_TYPE.04,MAT_000021
MAT_000023,캘린더링 블랙,MAT_TYPE.04,MAT_000021
MAT_000024,볼체인,MAT_TYPE.04,
MAT_000025,볼체인 빨강,MAT_TYPE.04,MAT_000024
MAT_000026,볼체인 주황,MAT_TYPE.04,MAT_000024
MAT_000027,볼체인 노랑,MAT_TYPE.04,MAT_000024
MAT_000028,볼체인 초록,MAT_TYPE.04,MAT_000024
MAT_000029,볼체인 파랑,MAT_TYPE.04,MAT_000024
MAT_000030,볼체인 검정,MAT_TYPE.04,MAT_000024
MAT_000031,캘린더부자재,MAT_TYPE.07,
MAT_000032,캘린더부자재 삼각대그레이,MAT_TYPE.07,MAT_000031
MAT_000033,캘린더부자재 삼각대블랙,MAT_TYPE.07,MAT_000031
MAT_000034,캘린더부자재 우드거치대,MAT_TYPE.07,MAT_000031
MAT_000035,캘린더부자재 끈,MAT_TYPE.07,MAT_000031
MAT_000036,아크릴,MAT_TYPE.03,
MAT_000037,아크릴 투명,MAT_TYPE.03,MAT_000036
MAT_000038,아크릴 화이트,MAT_TYPE.03,MAT_000036
MAT_000039,아크릴 블랙,MAT_TYPE.03,MAT_000036
MAT_000040,아크릴 골드,MAT_TYPE.03,MAT_000036
MAT_000041,아크릴 실버,MAT_TYPE.03,MAT_000036
MAT_000042,아크릴 투명 1.5mm,MAT_TYPE.03,MAT_000036
MAT_000043,아크릴 투명 3mm,MAT_TYPE.03,MAT_000036
MAT_000044,아크릴 투명 8mm,MAT_TYPE.03,MAT_000036
MAT_000045,아크릴부속,MAT_TYPE.07,
MAT_000046,아크릴부속 일자핀,MAT_TYPE.07,MAT_000045
MAT_000047,아크릴부속 원형핀,MAT_TYPE.07,MAT_000045
MAT_000048,아크릴부속 1구자석,MAT_TYPE.07,MAT_000045
MAT_000049,아크릴부속 2구자석,MAT_TYPE.07,MAT_000045
MAT_000050,아크릴부속 자석부착,MAT_TYPE.07,MAT_000045
MAT_000051,아크릴부속 은색고리,MAT_TYPE.07,MAT_000045
MAT_000052,아크릴부속 금색고리,MAT_TYPE.07,MAT_000045
MAT_000053,아크릴부속 투명바디,MAT_TYPE.07,MAT_000045
MAT_000054,아크릴부속 화이트바디,MAT_TYPE.07,MAT_000045
MAT_000055,아크릴부속 맥세이프스마트톡,MAT_TYPE.07,MAT_000045
MAT_000056,아크릴부속 투명집게,MAT_TYPE.07,MAT_000045
MAT_000057,아크릴부속 블랙헤어끈,MAT_TYPE.07,MAT_000045
MAT_000058,굿즈부속,MAT_TYPE.07,
MAT_000059,굿즈부속 라벨,MAT_TYPE.07,MAT_000058
MAT_000060,굿즈부속 맥세이프,MAT_TYPE.07,MAT_000058
MAT_000061,파우치,MAT_TYPE.05,
MAT_000062,파우치 블랙,MAT_TYPE.05,MAT_000061
MAT_000063,파우치 화이트,MAT_TYPE.05,MAT_000061
MAT_000064,파우치 반투명,MAT_TYPE.05,MAT_000061
MAT_000065,파우치 투명,MAT_TYPE.05,MAT_000061
MAT_000066,파우치 멜란지,MAT_TYPE.05,MAT_000061
MAT_000067,파우치 청보라,MAT_TYPE.05,MAT_000061
MAT_000068,실사소재,MAT_TYPE.08,
MAT_000069,양면테입,MAT_TYPE.07,
MAT_000070,끈,MAT_TYPE.07,
MAT_000071,백모조,MAT_TYPE.01,
MAT_000072,백색모조지 100g,MAT_TYPE.01,MAT_000071
MAT_000073,백색모조지 120g,MAT_TYPE.01,MAT_000071
MAT_000074,백색모조지 220g,MAT_TYPE.01,MAT_000071
MAT_000075,아트,MAT_TYPE.01,
MAT_000076,아트지 100g,MAT_TYPE.01,MAT_000075
MAT_000077,아트지 120g,MAT_TYPE.01,MAT_000075
MAT_000078,아트지 150g,MAT_TYPE.01,MAT_000075
MAT_000079,아트지 180g,MAT_TYPE.01,MAT_000075
MAT_000080,아트지 200g,MAT_TYPE.01,MAT_000075
MAT_000081,아트지 250g,MAT_TYPE.01,MAT_000075
MAT_000082,아트지 300g,MAT_TYPE.01,MAT_000075
MAT_000083,아트지 150g (3절),MAT_TYPE.01,MAT_000075
MAT_000084,비코팅스티커,MAT_TYPE.01,MAT_000075
MAT_000085,스노우,MAT_TYPE.01,
MAT_000086,스노우지 100g,MAT_TYPE.01,MAT_000085
MAT_000087,스노우지 120g,MAT_TYPE.01,MAT_000085
MAT_000088,스노우지 150g,MAT_TYPE.01,MAT_000085
MAT_000089,스노우지 180g,MAT_TYPE.01,MAT_000085
MAT_000090,스노우지 200g,MAT_TYPE.01,MAT_000085
MAT_000091,스노우지 250g,MAT_TYPE.01,MAT_000085
MAT_000092,스노우지 300g,MAT_TYPE.01,MAT_000085
MAT_000093,스노우지 250g (3절),MAT_TYPE.01,MAT_000085
MAT_000094,앙상블,MAT_TYPE.01,
MAT_000095,앙상블 100g,MAT_TYPE.01,MAT_000094
MAT_000096,앙상블 130g,MAT_TYPE.01,MAT_000094
MAT_000097,앙상블 160g,MAT_TYPE.01,MAT_000094
MAT_000098,앙상블 190g,MAT_TYPE.01,MAT_000094
MAT_000099,앙상블 210g,MAT_TYPE.01,MAT_000094
MAT_000100,랑데뷰,MAT_TYPE.01,
MAT_000101,랑데뷰 WH 240g,MAT_TYPE.01,MAT_000100
MAT_000102,랑데뷰 WH 310g,MAT_TYPE.01,MAT_000100
MAT_000103,몽블랑,MAT_TYPE.01,
MAT_000104,몽블랑 100g,MAT_TYPE.01,MAT_000103
MAT_000105,몽블랑 130g,MAT_TYPE.01,MAT_000103
MAT_000106,몽블랑 160g,MAT_TYPE.01,MAT_000103
MAT_000107,몽블랑 190g,MAT_TYPE.01,MAT_000103
MAT_000108,몽블랑 210g,MAT_TYPE.01,MAT_000103
MAT_000109,몽블랑 240g,MAT_TYPE.01,MAT_000103
MAT_000110,몽블랑 130g (3절),MAT_TYPE.01,MAT_000103
MAT_000111,몽블랑 190g (3절),MAT_TYPE.01,MAT_000103
MAT_000112,몽블랑 240g (3절),MAT_TYPE.01,MAT_000103
MAT_000113,아코팩(웜화이트) 250g,MAT_TYPE.01,
MAT_000114,리사이클러스 240g,MAT_TYPE.01,
MAT_000115,매쉬멜로우 233g,MAT_TYPE.01,
MAT_000116,린넨커버 216g,MAT_TYPE.01,
MAT_000117,스타화이트(하이테크) 238g,MAT_TYPE.01,
MAT_000118,클래식 크래스트 스티플 270g,MAT_TYPE.01,
MAT_000119,리브스디자인 250g,MAT_TYPE.01,
MAT_000120,매직터치(백색) 250g,MAT_TYPE.01,
MAT_000121,켄도 250g,MAT_TYPE.01,
MAT_000122,띤또,MAT_TYPE.01,
MAT_000123,띤또레또 200g,MAT_TYPE.01,MAT_000122
MAT_000124,띤또레또 250g,MAT_TYPE.01,MAT_000122
MAT_000125,한지 170g,MAT_TYPE.01,
MAT_000126,스코트랜드 220g,MAT_TYPE.01,
MAT_000127,스타드림(다이아몬드) 240g,MAT_TYPE.01,
MAT_000128,스타드림(실버) 240g,MAT_TYPE.01,
MAT_000129,스타드림(골드) 240g,MAT_TYPE.01,
MAT_000130,스타드림(로즈쿼츠) 240g,MAT_TYPE.01,
MAT_000131,인바이런먼트 아이론 352g,MAT_TYPE.01,
MAT_000132,그문드컬러매트 블루300,MAT_TYPE.01,
MAT_000133,마테리카 클레이 360g,MAT_TYPE.01,
MAT_000134,마테리카테라로사360,MAT_TYPE.01,
MAT_000135,리메이크스카이380,MAT_TYPE.01,
MAT_000136,뉴에코블랙 400g,MAT_TYPE.01,
MAT_000137,큐리어스스킨 화이트 270g,MAT_TYPE.01,
MAT_000138,큐리어스스킨 레드 270g,MAT_TYPE.01,
MAT_000139,큐리어스스킨 다크블루 270g,MAT_TYPE.01,
MAT_000140,큐리어스스킨 바이올렛 270g,MAT_TYPE.01,
MAT_000141,큐리어스스킨 블랙 270g,MAT_TYPE.01,
MAT_000142,유니크라프트 260g,MAT_TYPE.01,
MAT_000143,투명,MAT_TYPE.01,
MAT_000144,투명 PET 260g,MAT_TYPE.01,MAT_000143
MAT_000145,투명 PET 350g,MAT_TYPE.01,MAT_000143
MAT_000146,반투명,MAT_TYPE.01,
MAT_000147,반투명 PET 260g,MAT_TYPE.01,MAT_000146
MAT_000148,반투명 PET 350g,MAT_TYPE.01,MAT_000146
MAT_000149,아이보리 300g,MAT_TYPE.01,
MAT_000150,뉴크라프트 250g,MAT_TYPE.01,
MAT_000151,팬시크라프트 120g,MAT_TYPE.01,
MAT_000152,유포,MAT_TYPE.11,
MAT_000153,유포스티커,MAT_TYPE.11,MAT_000152
MAT_000154,유포지,MAT_TYPE.11,MAT_000152
MAT_000155,무광코팅스티커,MAT_TYPE.11,
MAT_000156,유광코팅스티커,MAT_TYPE.11,
MAT_000157,모조,MAT_TYPE.01,
MAT_000158,미색매트지,MAT_TYPE.01,MAT_000157
MAT_000159,모조 120g,MAT_TYPE.01,MAT_000157
MAT_000160,리무벌아트지 90g,MAT_TYPE.01,
MAT_000161,수분리스티커,MAT_TYPE.11,
MAT_000162,투명스티커,MAT_TYPE.11,
MAT_000163,홀로그램스티커,MAT_TYPE.11,
MAT_000164,크라프트 스티커,MAT_TYPE.11,
MAT_000165,유포지 + 엠보코팅,MAT_TYPE.01,
MAT_000166,투명접착 PVC,MAT_TYPE.01,
MAT_000167,타투전용지,MAT_TYPE.01,
MAT_000168,레자크체크백색 110g,MAT_TYPE.01,
MAT_000169,레자크줄무늬백색 110g,MAT_TYPE.01,
MAT_000170,투명데드롱스티커,MAT_TYPE.11,
MAT_000171,은데드롱스티커,MAT_TYPE.11,
MAT_000172,하드커버전용지+무광코팅,MAT_TYPE.01,
MAT_000173,레더하드커버 A,MAT_TYPE.06,
MAT_000174,레더하드커버 A5,MAT_TYPE.06,MAT_000173
MAT_000175,레더하드커버 A4,MAT_TYPE.06,MAT_000173
MAT_000176,인화지,MAT_TYPE.08,
MAT_000177,매트지,MAT_TYPE.08,
MAT_000178,PET,MAT_TYPE.08,
MAT_000179,PVC,MAT_TYPE.08,
MAT_000180,투명PVC,MAT_TYPE.08,
MAT_000181,그래픽천,MAT_TYPE.08,
MAT_000182,현수막천,MAT_TYPE.08,
MAT_000183,메쉬,MAT_TYPE.08,
MAT_000184,린넨,MAT_TYPE.08,
MAT_000185,캔버스(옥스포드),MAT_TYPE.08,
MAT_000186,레더(화이트),MAT_TYPE.08,
MAT_000187,타이벡(하드),MAT_TYPE.08,
MAT_000188,타이벡(소프트),MAT_TYPE.08,
MAT_000189,화이트시트,MAT_TYPE.08,
MAT_000190,블랙시트,MAT_TYPE.08,
MAT_000191,홀로그램시트,MAT_TYPE.08,
MAT_000192,투명아크릴,MAT_TYPE.03,
MAT_000193,화이트아크릴,MAT_TYPE.03,
MAT_000194,블랙아크릴,MAT_TYPE.03,
MAT_000195,골드아크릴,MAT_TYPE.03,
MAT_000196,실버아크릴,MAT_TYPE.03,
MAT_000197,OPP접착봉투,MAT_TYPE.10,
MAT_000198,OPP비접착봉투,MAT_TYPE.10,
MAT_000199,트래싱지 카드봉투,MAT_TYPE.10,
MAT_000200,카드봉투,MAT_TYPE.10,
MAT_000201,캘린더봉투,MAT_TYPE.10,
MAT_000202,오렌지 (3개1팩),MAT_TYPE.10,
MAT_000203,핑크 (3개1팩),MAT_TYPE.10,
MAT_000204,핫핑크 (3개1팩),MAT_TYPE.10,
MAT_000205,민트그린 (3개1팩),MAT_TYPE.10,
MAT_000206,블루 (3개1팩),MAT_TYPE.10,
MAT_000207,바이올렛 (3개1팩),MAT_TYPE.10,
MAT_000208,블랙 (3개1팩),MAT_TYPE.10,
MAT_000209,화이트 (3개1팩),MAT_TYPE.10,
MAT_000210,실버,MAT_TYPE.10,
MAT_000211,와이어링,MAT_TYPE.10,
MAT_000212,화이트,MAT_TYPE.10,
MAT_000213,블랙,MAT_TYPE.10,
MAT_000214,2개1세트,MAT_TYPE.10,
MAT_000215,천정고리,MAT_TYPE.10,
MAT_000216,투명케이스,MAT_TYPE.10,
MAT_000217,사각검정 (100개),MAT_TYPE.10,
MAT_000218,행택끈,MAT_TYPE.10,
MAT_000219,사각백색 (100개),MAT_TYPE.10,
MAT_000220,사각마사 (100개),MAT_TYPE.10,
MAT_000221,자석고정용고무판,MAT_TYPE.10,
MAT_000222,120mm (4mm홈) 내추럴,MAT_TYPE.10,
MAT_000223,우드거치대,MAT_TYPE.10,
MAT_000224,270mm + 면끈,MAT_TYPE.10,
MAT_000225,우드봉,MAT_TYPE.10,
MAT_000226,360mm + 면끈,MAT_TYPE.10,
MAT_000227,480mm + 면끈,MAT_TYPE.10,
MAT_000228,230mm + 면끈,MAT_TYPE.10,
MAT_000229,우드행거,MAT_TYPE.10,
MAT_000230,320mm + 면끈,MAT_TYPE.10,
MAT_000231,440mm + 면끈,MAT_TYPE.10,
MAT_000232,청보라 (5cc),MAT_TYPE.10,
MAT_000233,만년스탬프 리필잉크,MAT_TYPE.10,
MAT_000234,빨강 (5cc),MAT_TYPE.10,
MAT_000235,검정 (5cc),MAT_TYPE.10,
MAT_000236,파랑 (5cc),MAT_TYPE.10,
MAT_000237,초록 (5cc),MAT_TYPE.10,
MAT_000238,핑크 (5cc),MAT_TYPE.10,
MAT_000239,노랑 (5cc),MAT_TYPE.10,
MAT_000240,스타드림(다이아) 240g,MAT_TYPE.01,
