prd_cd,page_min,page_max,page_incr,note,reg_dt,upd_dt
PRD_000068,4,28,4,,2026-06-03 12:46:02.974607,
PRD_000069,24,300,2,,2026-06-03 12:46:02.974607,
PRD_000070,24,300,2,,2026-06-03 12:46:02.974607,
PRD_000071,8,100,2,,2026-06-03 12:46:02.974607,
PRD_000072,24,300,2,,2026-06-03 12:46:02.974607,
PRD_000077,24,300,2,,2026-06-03 12:46:02.974607,
PRD_000082,8,100,2,,2026-06-03 12:46:02.974607,
PRD_000094,20,30,10,,2026-06-03 12:46:02.974607,
PRD_000100,24,150,2,,2026-06-03 12:46:02.974607,
PRD_000176,28,28,0,,2026-06-03 12:46:02.974607,
PRD_000182,3,3,3,,2026-06-03 12:46:02.974607,
