prd_cd,opt_id,print_side,front_colrcnt_cd,back_colrcnt_cd,dflt_yn,disp_seq,reg_dt,upd_dt
PRD_000016,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000016,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000018,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000018,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000019,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000023,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000023,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000024,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000024,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000025,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000026,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000026,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000027,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000028,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000029,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000030,1,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000031,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000031,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000032,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000032,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000033,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000034,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000034,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000035,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000035,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000036,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000036,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000038,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000038,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000039,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000041,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000041,2,양면,CLR_000005,CLR_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000042,1,단면,CLR_000005,CLR_000001,Y,1,2026-06-03 12:46:02.974607,
