prd_cd,proc_cd,excl_grp_cd,mand_proc_yn,disp_seq,reg_dt,upd_dt
PRD_000016,PROC_000027,,N,1,2026-06-03 12:46:02.974607,
PRD_000016,PROC_000028,,N,1,2026-06-03 12:46:02.974607,
PRD_000017,PROC_000014,,N,1,2026-06-03 12:46:02.974607,
PRD_000017,PROC_000015,,N,1,2026-06-03 12:46:02.974607,
PRD_000017,PROC_000027,,N,1,2026-06-03 12:46:02.974607,
PRD_000017,PROC_000028,,N,1,2026-06-03 12:46:02.974607,
PRD_000018,PROC_000027,,N,1,2026-06-03 12:46:02.974607,
PRD_000018,PROC_000028,,N,1,2026-06-03 12:46:02.974607,
PRD_000019,PROC_000027,,N,1,2026-06-03 12:46:02.974607,
PRD_000019,PROC_000028,,N,1,2026-06-03 12:46:02.974607,
PRD_000024,PROC_000014,,N,1,2026-06-03 12:46:02.974607,
PRD_000024,PROC_000015,,N,1,2026-06-03 12:46:02.974607,
PRD_000024,PROC_000027,,N,1,2026-06-03 12:46:02.974607,
PRD_000024,PROC_000028,,N,1,2026-06-03 12:46:02.974607,
PRD_000025,PROC_000027,,N,1,2026-06-03 12:46:02.974607,
PRD_000025,PROC_000028,,N,1,2026-06-03 12:46:02.974607,
PRD_000026,PROC_000014,,N,1,2026-06-03 12:46:02.974607,
PRD_000026,PROC_000015,,N,1,2026-06-03 12:46:02.974607,
PRD_000027,PROC_000037,,N,1,2026-06-03 12:46:02.974607,
PRD_000027,PROC_000038,,N,1,2026-06-03 12:46:02.974607,
PRD_000027,PROC_000039,,N,1,2026-06-03 12:46:02.974607,
PRD_000027,PROC_000040,,N,1,2026-06-03 12:46:02.974607,
PRD_000027,PROC_000041,,N,1,2026-06-03 12:46:02.974607,
PRD_000027,PROC_000042,,N,1,2026-06-03 12:46:02.974607,
PRD_000027,PROC_000043,,N,1,2026-06-03 12:46:02.974607,
PRD_000027,PROC_000044,,N,1,2026-06-03 12:46:02.974607,
PRD_000029,PROC_000037,,N,1,2026-06-03 12:46:02.974607,
PRD_000029,PROC_000038,,N,1,2026-06-03 12:46:02.974607,
PRD_000029,PROC_000039,,N,1,2026-06-03 12:46:02.974607,
