prd_cd,siz_cd,dflt_yn,disp_seq,reg_dt,upd_dt
PRD_000001,SIZ_000078,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000079,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000080,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000081,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000082,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000083,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000084,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000085,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000086,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000087,Y,1,2026-06-03 12:46:02.974607,
PRD_000001,SIZ_000088,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000079,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000080,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000081,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000085,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000089,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000090,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000091,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000092,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000093,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000094,Y,1,2026-06-03 12:46:02.974607,
PRD_000002,SIZ_000095,Y,1,2026-06-03 12:46:02.974607,
PRD_000003,SIZ_000096,Y,1,2026-06-03 12:46:02.974607,
PRD_000003,SIZ_000097,Y,1,2026-06-03 12:46:02.974607,
PRD_000003,SIZ_000098,Y,1,2026-06-03 12:46:02.974607,
PRD_000003,SIZ_000099,Y,1,2026-06-03 12:46:02.974607,
PRD_000003,SIZ_000100,Y,1,2026-06-03 12:46:02.974607,
PRD_000003,SIZ_000101,Y,1,2026-06-03 12:46:02.974607,
PRD_000003,SIZ_000102,Y,1,2026-06-03 12:46:02.974607,
PRD_000003,SIZ_000103,Y,1,2026-06-03 12:46:02.974607,
PRD_000004,SIZ_000104,Y,1,2026-06-03 12:46:02.974607,
PRD_000004,SIZ_000105,Y,1,2026-06-03 12:46:02.974607,
PRD_000005,SIZ_000106,Y,1,2026-06-03 12:46:02.974607,
PRD_000005,SIZ_000107,Y,1,2026-06-03 12:46:02.974607,
PRD_000009,SIZ_000108,Y,1,2026-06-03 12:46:02.974607,
PRD_000009,SIZ_000109,Y,1,2026-06-03 12:46:02.974607,
PRD_000009,SIZ_000110,Y,1,2026-06-03 12:46:02.974607,
PRD_000011,SIZ_000111,Y,1,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000002,Y,1,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000006,Y,1,2026-06-03 12:46:02.974607,
PRD_000016,SIZ_000007,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000002,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000005,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000006,Y,1,2026-06-03 12:46:02.974607,
PRD_000017,SIZ_000007,Y,1,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000001,Y,1,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000002,Y,1,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000018,SIZ_000007,Y,1,2026-06-03 12:46:02.974607,
PRD_000019,SIZ_000002,Y,1,2026-06-03 12:46:02.974607,
PRD_000019,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000019,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000019,SIZ_000007,Y,1,2026-06-03 12:46:02.974607,
PRD_000020,SIZ_000002,Y,1,2026-06-03 12:46:02.974607,
PRD_000020,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000020,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000020,SIZ_000007,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,SIZ_000002,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000021,SIZ_000007,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,SIZ_000002,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,SIZ_000003,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,SIZ_000004,Y,1,2026-06-03 12:46:02.974607,
PRD_000022,SIZ_000007,Y,1,2026-06-03 12:46:02.974607,
PRD_000023,SIZ_000119,Y,1,2026-06-03 12:46:02.974607,
PRD_000024,SIZ_000012,Y,1,2026-06-03 12:46:02.974607,
PRD_000025,SIZ_000012,Y,1,2026-06-03 12:46:02.974607,
