source_sheet,source_range,discount_group,min_qty,max_qty,rate_raw,rate_pct,apply_scope_text
아크릴,A51:B51,acrylic_general,1,49,0.0,0.0,아크릴 카테고리 전체 (수량별 구간할인)
아크릴,A52:B52,acrylic_general,50,99,0.1,10.0,아크릴 카테고리 전체 (수량별 구간할인)
아크릴,A53:B53,acrylic_general,100,299,0.2,20.0,아크릴 카테고리 전체 (수량별 구간할인)
아크릴,A54:B54,acrylic_general,300,499,0.3,30.0,아크릴 카테고리 전체 (수량별 구간할인)
아크릴,A55:B55,acrylic_general,500,999,0.4,40.0,아크릴 카테고리 전체 (수량별 구간할인)
아크릴,A56:B56,acrylic_general,1000,,0.5,50.0,아크릴 카테고리 전체 (수량별 구간할인)
아크릴,D104:E104,acrylic_carabiner,1,49,0.0,0.0,아크릴카라비너 (별도 구간할인)
아크릴,D105:E105,acrylic_carabiner,50,99,0.1,10.0,아크릴카라비너 (별도 구간할인)
아크릴,D106:E106,acrylic_carabiner,100,,0.2,20.0,아크릴카라비너 (별도 구간할인)
굿즈파우치(구간할인),A3:B3,pouch_eco,1,49,0.0,0.0,패브릭 관련 상품 전체 (파우치/에코백/필통, 에코백부자재 제외)
굿즈파우치(구간할인),A4:B4,pouch_eco,50,99,0.05,5.0,패브릭 관련 상품 전체 (파우치/에코백/필통, 에코백부자재 제외)
굿즈파우치(구간할인),A5:B5,pouch_eco,100,499,0.1,10.0,패브릭 관련 상품 전체 (파우치/에코백/필통, 에코백부자재 제외)
굿즈파우치(구간할인),A6:B6,pouch_eco,500,999,0.15,15.0,패브릭 관련 상품 전체 (파우치/에코백/필통, 에코백부자재 제외)
굿즈파우치(구간할인),A7:B7,pouch_eco,1000,,0.2,20.0,패브릭 관련 상품 전체 (파우치/에코백/필통, 에코백부자재 제외)
굿즈파우치(구간할인),A12:B12,stationery,1,49,0.0,0.0,문구상품 수량별 구간할인
굿즈파우치(구간할인),A13:B13,stationery,50,99,0.05,5.0,문구상품 수량별 구간할인
굿즈파우치(구간할인),A14:B14,stationery,100,499,0.1,10.0,문구상품 수량별 구간할인
굿즈파우치(구간할인),A15:B15,stationery,500,999,0.15,15.0,문구상품 수량별 구간할인
굿즈파우치(구간할인),A16:B16,stationery,1000,,0.2,20.0,문구상품 수량별 구간할인
굿즈파우치(구간할인),A21:B21,goods_a,1,49,0.0,0.0,굿즈상품 A타입 수량별 구간할인
굿즈파우치(구간할인),A22:B22,goods_a,50,99,0.05,5.0,굿즈상품 A타입 수량별 구간할인
굿즈파우치(구간할인),A23:B23,goods_a,100,499,0.1,10.0,굿즈상품 A타입 수량별 구간할인
굿즈파우치(구간할인),A24:B24,goods_a,500,999,0.15,15.0,굿즈상품 A타입 수량별 구간할인
굿즈파우치(구간할인),A25:B25,goods_a,1000,,0.2,20.0,굿즈상품 A타입 수량별 구간할인
굿즈파우치(구간할인),A30:B30,goods_b,1,99,0.0,0.0,굿즈상품 B타입 (핀버튼/틴거울/컴팩트거울/머그컵/카드거울/틴케이스/극세사클리너/반팔티셔츠/초슬림마우스패드)
굿즈파우치(구간할인),A31:B31,goods_b,100,499,0.05,5.0,굿즈상품 B타입 (핀버튼/틴거울/컴팩트거울/머그컵/카드거울/틴케이스/극세사클리너/반팔티셔츠/초슬림마우스패드)
굿즈파우치(구간할인),A32:B32,goods_b,500,,0.1,10.0,굿즈상품 B타입 (핀버튼/틴거울/컴팩트거울/머그컵/카드거울/틴케이스/극세사클리너/반팔티셔츠/초슬림마우스패드)
굿즈파우치(구간할인),A37:B37,squishy,1,1,0.0,0.0,말랑상품 (말랑키링/말랑포카홀더/말랑네임택/말랑여권케이스)
굿즈파우치(구간할인),A38:B38,squishy,2,9,0.1,10.0,말랑상품 (말랑키링/말랑포카홀더/말랑네임택/말랑여권케이스)
굿즈파우치(구간할인),A39:B39,squishy,10,29,0.15,15.0,말랑상품 (말랑키링/말랑포카홀더/말랑네임택/말랑여권케이스)
굿즈파우치(구간할인),A40:B40,squishy,30,49,0.2,20.0,말랑상품 (말랑키링/말랑포카홀더/말랑네임택/말랑여권케이스)
굿즈파우치(구간할인),A41:B41,squishy,50,99,0.25,25.0,말랑상품 (말랑키링/말랑포카홀더/말랑네임택/말랑여권케이스)
굿즈파우치(구간할인),A42:B42,squishy,100,499,0.3,30.0,말랑상품 (말랑키링/말랑포카홀더/말랑네임택/말랑여권케이스)
굿즈파우치(구간할인),A43:B43,squishy,500,999,0.4,40.0,말랑상품 (말랑키링/말랑포카홀더/말랑네임택/말랑여권케이스)
굿즈파우치(구간할인),A44:B44,squishy,1000,,0.5,50.0,말랑상품 (말랑키링/말랑포카홀더/말랑네임택/말랑여권케이스)
