comp_cd,mat_cd,paper_name,종이사이즈,unit_price,excel_source,mat_match,siz_check
COMP_PAPER,MAT_000072,백색모조지 100g,316x467,30.73,import-paper-l1 가격(국4절)열,백색모조지 100g → live mat_cd MAT_000072 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000073,백색모조지 120g,316x467,36.875,import-paper-l1 가격(국4절)열,백색모조지 120g → live mat_cd MAT_000073 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000074,백색모조지 220g,316x467,70.64,import-paper-l1 가격(국4절)열,백색모조지 220g → live mat_cd MAT_000074 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000076,아트지 100g,316x467,30.565,import-paper-l1 가격(국4절)열,아트지 100g → live mat_cd MAT_000076 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000077,아트지 120g,316x467,36.675,import-paper-l1 가격(국4절)열,아트지 120g → live mat_cd MAT_000077 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000078,아트지 150g,316x467,46.65,import-paper-l1 가격(국4절)열,아트지 150g → live mat_cd MAT_000078 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000079,아트지 180g,316x467,55.98,import-paper-l1 가격(국4절)열,아트지 180g → live mat_cd MAT_000079 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000080,아트지 200g,316x467,62.195,import-paper-l1 가격(국4절)열,아트지 200g → live mat_cd MAT_000080 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000081,아트지 250g,316x467,77.745,import-paper-l1 가격(국4절)열,아트지 250g → live mat_cd MAT_000081 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000082,아트지 300g,316x467,93.3,import-paper-l1 가격(국4절)열,아트지 300g → live mat_cd MAT_000082 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000086,스노우지 100g,316x467,30.565,import-paper-l1 가격(국4절)열,스노우지 100g → live mat_cd MAT_000086 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000087,스노우지 120g,316x467,36.675,import-paper-l1 가격(국4절)열,스노우지 120g → live mat_cd MAT_000087 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000088,스노우지 150g,316x467,46.65,import-paper-l1 가격(국4절)열,스노우지 150g → live mat_cd MAT_000088 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000089,스노우지 180g,316x467,55.98,import-paper-l1 가격(국4절)열,스노우지 180g → live mat_cd MAT_000089 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000090,스노우지 200g,316x467,62.195,import-paper-l1 가격(국4절)열,스노우지 200g → live mat_cd MAT_000090 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000091,스노우지 250g,316x467,77.745,import-paper-l1 가격(국4절)열,스노우지 250g → live mat_cd MAT_000091 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000092,스노우지 300g,316x467,93.3,import-paper-l1 가격(국4절)열,스노우지 300g → live mat_cd MAT_000092 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000095,앙상블 100g,316x467,54.865,import-paper-l1 가격(국4절)열,앙상블 100g → live mat_cd MAT_000095 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000101,랑데뷰 WH 240g,316x467,71.33,import-paper-l1 가격(국4절)열,랑데뷰 WH 240g → live mat_cd MAT_000101 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000102,랑데뷰 WH 310g,316x467,87.795,import-paper-l1 가격(국4절)열,랑데뷰 WH 310g → live mat_cd MAT_000102 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000104,몽블랑 100g,316x467,59.25,import-paper-l1 가격(국4절)열,몽블랑 100g → live mat_cd MAT_000104 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000105,몽블랑 130g,316x467,77.025,import-paper-l1 가격(국4절)열,몽블랑 130g → live mat_cd MAT_000105 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000106,몽블랑 160g,316x467,94.8,import-paper-l1 가격(국4절)열,몽블랑 160g → live mat_cd MAT_000106 (name match),SIZ_000499 live OK
COMP_PAPER,MAT_000107,몽블랑 190g,316x467,112.575,import-paper-l1 가격(국4절)열,몽블랑 190g → live mat_cd MAT_000107 (name match),SIZ_000499 live OK
