frm_cd,comp_cd,calc_formula_row,comp_reuse_status
PRF_DGP_A,COMP_PRINT_DIGITAL_S1,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_DIGITAL_S2,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S1,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_WHITE_S2,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_CLEAR_S1,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_CLEAR_S2,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_PINK_S1,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_PINK_S2,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_GOLD_S1,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_GOLD_S2,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_SILVER_S1,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PRINT_SPOT_SILVER_S2,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_COAT_GLOSSY,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_COAT_MATTE,r4-r12,live 재사용 (round-2 적재됨)
PRF_DGP_A,COMP_PAPER,r4-r12,신규 mint (COMP_PAPER)
PRF_DGP_A,COMP_PP_CREASE_1L,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_CREASE_2L,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_CREASE_3L,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_PERF_1L,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_PERF_2L,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_PERF_3L,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_VARTEXT_1EA,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_VARTEXT_2EA,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_VARTEXT_3EA,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_VARIMG_1EA,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_VARIMG_2EA,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_VARIMG_3EA,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_CORNER_RIGHT,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_A,COMP_PP_CORNER_ROUND,r4-r12,live 재사용 후가공비(.04) — D-1 보정 추가
PRF_DGP_B,COMP_PRINT_DIGITAL_S1,r15-r16,live 재사용 (round-2 적재됨)
