frm_cd,comp_cd,disp_seq,addtn_yn
PRF_POSTER_ARTPRINT_PHOTO,COMP_POSTER_ARTPRINT_PHOTO,1,Y
PRF_POSTER_ARTPAPER_MATTE,COMP_POSTER_ARTPAPER_MATTE,1,Y
PRF_POSTER_WATERPROOF_PET,COMP_POSTER_WATERPROOF_PET,1,Y
PRF_POSTER_ADH_WATERPROOF_PVC,COMP_POSTER_ADH_WATERPROOF_PVC,1,Y
PRF_POSTER_ADH_CLEAR_PVC,COMP_POSTER_ADH_CLEAR_PVC,1,Y
PRF_POSTER_ARTFABRIC_GRAPHIC,COMP_POSTER_ARTFABRIC_GRAPHIC,1,Y
PRF_POSTER_LINEN_FABRIC,COMP_POSTER_LINEN_FABRIC,1,Y
PRF_POSTER_CANVAS_FABRIC,COMP_POSTER_CANVAS_FABRIC,1,Y
PRF_POSTER_LEATHER_ARTPRINT,COMP_POSTER_LEATHER_ARTPRINT,1,Y
PRF_POSTER_TYVEK_PRINT,COMP_POSTER_TYVEK_PRINT,1,Y
PRF_POSTER_MESH_PRINT,COMP_POSTER_MESH_PRINT,1,Y
PRF_POSTER_FOAMBOARD,COMP_POSTER_FOAMBOARD_WHITE,1,N
PRF_POSTER_FOAMBOARD,COMP_POSTER_FOAMBOARD_BLACK,2,N
PRF_POSTER_FOMEXBOARD,COMP_POSTER_FOMEXBOARD_WHITE3MM,1,N
PRF_POSTER_FOMEXBOARD,COMP_POSTER_FOMEXBOARD_WHITE5MM,2,N
PRF_POSTER_FRAMELESS_WOOD,COMP_POSTER_FRAMELESS_WOOD,1,Y
PRF_POSTER_LEATHER_FRAME,COMP_POSTER_LEATHER_FRAME,1,Y
PRF_POSTER_CANVAS_HANGING,COMP_POSTER_CANVAS_HANGING,1,Y
PRF_POSTER_LINEN_WOODBONG,COMP_POSTER_LINEN_WOODBONG,1,Y
PRF_POSTER_JOKJA,COMP_POSTER_JOKJA,1,Y
PRF_POSTER_PET_BANNER,COMP_POSTER_PET_BANNER,1,Y
PRF_POSTER_MESH_BANNER,COMP_POSTER_MESH_BANNER,1,Y
PRF_POSTER_BANNER_NORMAL,COMP_POSTER_BANNER_NORMAL,1,Y
PRF_POSTER_BANNER_MESH,COMP_POSTER_BANNER_MESH,1,Y
PRF_POSTER_SHEETCUT_MATTE,COMP_POSTER_SHEETCUT_MATTE,1,Y
PRF_POSTER_SHEETCUT_HOLO,COMP_POSTER_SHEETCUT_HOLO,1,Y
PRF_POSTER_ACRYLSTK_GLOSS,COMP_POSTER_ACRYLSTK_GLOSS,1,Y
PRF_POSTER_ACRYLSTK_MIRROR,COMP_POSTER_ACRYLSTK_MIRROR,1,Y
PRF_POSTER_MINI_STANDBOARD,COMP_POSTER_MINI_STANDBOARD,1,Y
PRF_POSTER_MINI_BANNER,COMP_POSTER_MINI_BANNER,1,Y
