prd_cd,frm_cd,apply_bgn_ymd,note
PRD_000118,PRF_POSTER_ARTPRINT_PHOTO,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_ARTPRINT_PHOTO (아트프린트포스터)"
PRD_000119,PRF_POSTER_ARTPAPER_MATTE,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_ARTPAPER_MATTE (아트페이퍼포스터)"
PRD_000120,PRF_POSTER_WATERPROOF_PET,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_WATERPROOF_PET (방수포스터)"
PRD_000121,PRF_POSTER_ADH_WATERPROOF_PVC,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_ADH_WATERPROOF_PVC (접착방수포스터)"
PRD_000122,PRF_POSTER_ADH_CLEAR_PVC,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_ADH_CLEAR_PVC (접착투명포스터)"
PRD_000123,PRF_POSTER_ARTFABRIC_GRAPHIC,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_ARTFABRIC_GRAPHIC (아트패브릭포스터)"
PRD_000124,PRF_POSTER_LINEN_FABRIC,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_LINEN_FABRIC (린넨패브릭포스터)"
PRD_000125,PRF_POSTER_CANVAS_FABRIC,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_CANVAS_FABRIC (캔버스패브릭포스터)"
PRD_000126,PRF_POSTER_LEATHER_ARTPRINT,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_LEATHER_ARTPRINT (레더아트프린트)"
PRD_000127,PRF_POSTER_TYVEK_PRINT,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_TYVEK_PRINT (타이벡프린트)"
PRD_000128,PRF_POSTER_MESH_PRINT,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_MESH_PRINT (메쉬프린트)"
PRD_000129,PRF_POSTER_FOAMBOARD,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_FOAMBOARD (폼보드)"
PRD_000130,PRF_POSTER_FOMEXBOARD,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_FOMEXBOARD (포맥스보드)"
PRD_000131,PRF_POSTER_FRAMELESS_WOOD,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_FRAMELESS_WOOD (프레임리스우드액자)"
PRD_000132,PRF_POSTER_LEATHER_FRAME,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_LEATHER_FRAME (레더아트액자)"
PRD_000133,PRF_POSTER_CANVAS_HANGING,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_CANVAS_HANGING (캔버스 행잉포스터)"
PRD_000134,PRF_POSTER_LINEN_WOODBONG,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_LINEN_WOODBONG (린넨 우드봉 족자)"
PRD_000135,PRF_POSTER_JOKJA,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_JOKJA (족자포스터)"
PRD_000136,PRF_POSTER_PET_BANNER,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_PET_BANNER (PET배너)"
PRD_000137,PRF_POSTER_MESH_BANNER,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_MESH_BANNER (메쉬배너)"
PRD_000138,PRF_POSTER_BANNER_NORMAL,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_BANNER_NORMAL (일반현수막)"
PRD_000139,PRF_POSTER_BANNER_MESH,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_BANNER_MESH (메쉬현수막)"
PRD_000140,PRF_POSTER_SHEETCUT_MATTE,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_SHEETCUT_MATTE (무광시트커팅)"
PRD_000141,PRF_POSTER_SHEETCUT_HOLO,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_SHEETCUT_HOLO (홀로그램 시트커팅)"
PRD_000142,PRF_POSTER_ACRYLSTK_GLOSS,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_ACRYLSTK_GLOSS (유광아크릴스티커)"
PRD_000143,PRF_POSTER_ACRYLSTK_MIRROR,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_ACRYLSTK_MIRROR (미러아크릴스티커)"
PRD_000144,PRF_POSTER_MINI_STANDBOARD,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_MINI_STANDBOARD (미니보드스탠딩)"
PRD_000145,PRF_POSTER_MINI_BANNER,2026-06-01,"D-WIRE 재바인딩: PRF_POSTER_FIXED→PRF_POSTER_MINI_BANNER (미니배너)"
