acryl_w,acryl_h,match,live_siz_cd,live_siz_nm,live_usage,decision
20,20,DIRECT,SIZ_000336,20x20,,실코드교체
20,30,DIRECT,SIZ_000329,20x30,,실코드교체
20,40,NONE,,,,SIZ_PENDING 등록대기
20,50,NONE,,,,SIZ_PENDING 등록대기
20,60,REVERSED,SIZ_000346,60x20,,에스컬레이션(의미축 HxW)
20,70,NONE,,,,SIZ_PENDING 등록대기
20,80,NONE,,,,SIZ_PENDING 등록대기
20,90,NONE,,,,SIZ_PENDING 등록대기
20,100,NONE,,,,SIZ_PENDING 등록대기
20,120,NONE,,,,SIZ_PENDING 등록대기
20,140,NONE,,,,SIZ_PENDING 등록대기
20,160,NONE,,,,SIZ_PENDING 등록대기
20,180,NONE,,,,SIZ_PENDING 등록대기
20,200,NONE,,,,SIZ_PENDING 등록대기
30,20,REVERSED,SIZ_000329,20x30,,에스컬레이션(의미축 HxW)
30,30,DIRECT,SIZ_000330,30x30,,실코드교체
30,40,DIRECT,SIZ_000331,30x40,,실코드교체
30,50,REVERSED,SIZ_000493,50x30,,에스컬레이션(의미축 HxW)
30,60,NONE,,,,SIZ_PENDING 등록대기
30,70,DIRECT,SIZ_000332,30x70,,실코드교체
30,80,REVERSED,SIZ_000350,80x30,,에스컬레이션(의미축 HxW)
30,90,NONE,,,,SIZ_PENDING 등록대기
30,100,NONE,,,,SIZ_PENDING 등록대기
30,120,NONE,,,,SIZ_PENDING 등록대기
30,140,NONE,,,,SIZ_PENDING 등록대기
30,160,NONE,,,,SIZ_PENDING 등록대기
30,180,NONE,,,,SIZ_PENDING 등록대기
30,200,NONE,,,,SIZ_PENDING 등록대기
40,20,NONE,,,,SIZ_PENDING 등록대기
40,30,REVERSED,SIZ_000331,30x40,,에스컬레이션(의미축 HxW)
40,40,DIRECT,SIZ_000333,40x40,,실코드교체
40,50,DIRECT,SIZ_000334,40x50,,실코드교체
40,60,DIRECT,SIZ_000335,40x60,,실코드교체
40,70,NONE,,,,SIZ_PENDING 등록대기
40,80,DIRECT,SIZ_000047,40x80,라벨택,실코드교체
