comp_price_id,comp_cd,placeholder_siz,W,H,target_siz_cd,status
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x20,30,20,SIZ_000329,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x20,40,20,SIZ_000494,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x20,50,20,SIZ_000230,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x20,70,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x20,80,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x20,90,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_100x20,100,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x20,120,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x20,140,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x20,160,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x20,180,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x20,200,20,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x30,40,30,SIZ_000226,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x30,60,30,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x30,70,30,SIZ_000332,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x30,90,30,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_100x30,100,30,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x30,120,30,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x30,140,30,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x30,160,30,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x30,180,30,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x30,200,30,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x40,20,40,SIZ_000494,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x40,50,40,SIZ_000334,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x40,70,40,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x40,80,40,SIZ_000047,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x40,90,40,SIZ_000242,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x40,120,40,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x40,140,40,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x40,160,40,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x40,180,40,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x40,200,40,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x50,20,50,SIZ_000230,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x50,30,50,SIZ_000496,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x50,60,50,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x50,140,50,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x50,160,50,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x50,180,50,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x50,200,50,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x60,20,60,SIZ_000346,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x60,30,60,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x60,50,60,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x60,80,60,SIZ_000371,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x60,90,60,SIZ_000245,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x60,140,60,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x60,160,60,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x60,180,60,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x60,200,60,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x70,20,70,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x70,40,70,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x70,80,70,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x70,90,70,SIZ_000247,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x70,120,70,SIZ_000266,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x70,140,70,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x70,160,70,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x70,180,70,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x70,200,70,SIZ_000078,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x80,20,80,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x80,30,80,SIZ_000350,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x80,50,80,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x80,70,80,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x80,90,80,SIZ_000249,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x80,120,80,SIZ_000080,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x80,180,80,SIZ_000081,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x80,200,80,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x90,20,90,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x90,30,90,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x90,40,90,SIZ_000242,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x90,70,90,SIZ_000247,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x90,80,90,SIZ_000249,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x90,140,90,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x90,160,90,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x90,180,90,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x90,200,90,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x100,20,100,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x100,30,100,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x100,40,100,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x100,50,100,SIZ_000243,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x100,80,100,SIZ_000079,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_120x100,120,100,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x100,160,100,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x100,180,100,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x100,200,100,SIZ_000084,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x120,20,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x120,30,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x120,40,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x120,50,120,SIZ_000365,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x120,60,120,SIZ_000357,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_80x120,80,120,SIZ_000080,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_90x120,90,120,SIZ_000082,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_100x120,100,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_140x120,140,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_160x120,160,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_180x120,180,120,SIZ_000361,REUSE
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_200x120,200,120,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_20x140,20,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_30x140,30,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_40x140,40,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_50x140,50,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_60x140,60,140,,NEW
,COMP_ACRYL_CLEAR3T,SIZ_PENDING_ACRYL_70x140,70,140,,NEW
