frm_cd,comp_cd,disp_seq,addtn_yn
PRF_ENV_MAKING,COMP_ENV_MAKING,1,Y
PRF_STK_FIXED,COMP_STK_PRINT,1,Y
PRF_GANGPAN_FIXED,COMP_GANGPAN_PRINT,1,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_STD_S1,1,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_STD_S2,2,Y
PRF_PCB_FIXED,COMP_PCB_S1_20P,1,Y
PRF_PCB_FIXED,COMP_PCB_S2_20P,2,Y
PRF_FOLD_SUM,COMP_FOLD_CARD_2H,1,Y
PRF_BIND_SUM,COMP_BIND_JUNGCHEOL,1,Y
PRF_TTEOKME_FIXED,COMP_TTEOKME,1,Y
PRF_PHOTOCARD_FIXED,COMP_PHOTOCARD_SET,1,Y
PRF_PHOTOCARD_FIXED,COMP_PHOTOCARD_CLEAR_SET,2,Y
PRF_POSTER_FIXED,COMP_POSTER_ARTPRINT_PHOTO,1,Y
