group,width_mm,height_mm,wxh,match_status,existing_siz_cd,products
ACRYL,20,20,20x20,EXACT,SIZ_000111,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,30,20x30,EXACT,SIZ_000329,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,40,20x40,EXACT,SIZ_000494,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,50,20x50,REVERSED,SIZ_000230,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,60,20x60,REVERSED,SIZ_000346,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,70,20x70,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,80,20x80,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,90,20x90,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,100,20x100,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,20,120,20x120,NONE,,투명아크릴3T
ACRYL,20,140,20x140,NONE,,투명아크릴3T
ACRYL,20,160,20x160,NONE,,투명아크릴3T
ACRYL,20,180,20x180,NONE,,투명아크릴3T
ACRYL,20,200,20x200,NONE,,투명아크릴3T
ACRYL,30,20,30x20,REVERSED,SIZ_000329,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,30,30x30,EXACT,SIZ_000216,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,40,30x40,EXACT,SIZ_000331,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,50,30x50,EXACT,SIZ_000496,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,60,30x60,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,70,30x70,EXACT,SIZ_000332,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,80,30x80,REVERSED,SIZ_000350,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,90,30x90,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,100,30x100,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,30,120,30x120,NONE,,투명아크릴3T
ACRYL,30,140,30x140,NONE,,투명아크릴3T
ACRYL,30,160,30x160,NONE,,투명아크릴3T
ACRYL,30,180,30x180,NONE,,투명아크릴3T
ACRYL,30,200,30x200,NONE,,투명아크릴3T
ACRYL,40,20,40x20,REVERSED,SIZ_000494,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,30,40x30,EXACT,SIZ_000226,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,40,40x40,EXACT,SIZ_000218,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,50,40x50,EXACT,SIZ_000334,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,60,40x60,EXACT,SIZ_000335,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,70,40x70,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,80,40x80,EXACT,SIZ_000047,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,90,40x90,REVERSED,SIZ_000242,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,100,40x100,REVERSED,SIZ_000449,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,40,120,40x120,NONE,,투명아크릴3T
ACRYL,40,140,40x140,NONE,,투명아크릴3T
ACRYL,40,160,40x160,NONE,,투명아크릴3T
ACRYL,40,180,40x180,NONE,,투명아크릴3T
ACRYL,40,200,40x200,NONE,,투명아크릴3T
ACRYL,50,20,50x20,EXACT,SIZ_000230,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,30,50x30,EXACT,SIZ_000232,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,40,50x40,REVERSED,SIZ_000334,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,50,50x50,EXACT,SIZ_000011,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,60,50x60,NONE,,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,70,50x70,EXACT,SIZ_000061,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,80,50x80,REVERSED,SIZ_000497,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,90,50x90,EXACT,SIZ_000047,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,100,50x100,REVERSED,SIZ_000243,미러아크릴3T;투명아크릴1.5T;투명아크릴3T
ACRYL,50,120,50x120,REVERSED,SIZ_000365,투명아크릴3T
ACRYL,50,140,50x140,NONE,,투명아크릴3T
ACRYL,50,160,50x160,NONE,,투명아크릴3T
ACRYL,50,180,50x180,NONE,,투명아크릴3T
ACRYL,50,200,50x200,NONE,,투명아크릴3T
