frm_cd,comp_cd,disp_seq,addtn_yn
PRF_NAMECARD_FIXED,COMP_NAMECARD_PEARL_S1,3,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_PEARL_S2,4,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_SHAPE_S1,5,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_SHAPE_S2,6,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_MINISHAPE_S1,7,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_MINISHAPE_S2,8,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_CLEAR_S1,9,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_WHITE_S1W_NOCL,10,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_WHITE_S1W_CL,11,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_WHITE_S2W_NOCL,12,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_WHITE_S2W_CL,13,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_FOIL_S1_STD,14,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_FOIL_S1_HOLO,15,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_FOIL_S2_STD,16,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_FOIL_S2_HOLO,17,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_FOIL_SETUP_S1_STD,18,Y
PRF_NAMECARD_FIXED,COMP_NAMECARD_FOIL_SETUP_S2_STD,19,Y
PRF_STK_PACK_FIXED,COMP_STK_PACK,1,Y
