prd_cd,frm_cd,apply_bgn_ymd,note
PRD_000058,PRF_STK_FIXED,2026-06-01,반칼원형스티커 — 반칼규격 매트릭스(B01) 공유
PRD_000059,PRF_STK_FIXED,2026-06-01,반칼정사각스티커 — B01
PRD_000060,PRF_STK_FIXED,2026-06-01,반칼직사각스티커 — B01
PRD_000061,PRF_STK_FIXED,2026-06-01,반칼띠지스티커 — B01
PRD_000062,PRF_STK_FIXED,2026-06-01,반칼팬시스티커 — B01
PRD_000063,PRF_STK_FIXED,2026-06-01,반칼팬시투명스티커 — B01 투명/홀로그램 그룹가
PRD_000054,PRF_STK_FIXED,2026-06-01,반칼 자유형 홀로그램스티커 — B01 투명/홀로그램 그룹가
PRD_000057,PRF_STK_FIXED,2026-06-01,대형 자유형 스티커 — B04 대형완칼(400x600) 재사용
PRD_000056,PRF_STK_FIXED,2026-06-01,낱장 자유형 투명스티커 — B03 낱장완칼 투명 재사용
PRD_000065,PRF_STK_PACK_FIXED,2026-06-01,스티커팩 — B07 세트가(COMP_STK_PACK)
PRD_000034,PRF_NAMECARD_FIXED,2026-06-01,펄명함 — PEARL S1/S2(B04)
PRD_000035,PRF_NAMECARD_FIXED,2026-06-01,모양명함 — SHAPE S1/S2(B07·90x50)
PRD_000036,PRF_NAMECARD_FIXED,2026-06-01,미니모양명함 — MINISHAPE S1/S2(B08·50x50)
PRD_000039,PRF_NAMECARD_FIXED,2026-06-01,투명명함 — CLEAR S1(B05·단면)
PRD_000040,PRF_NAMECARD_FIXED,2026-06-01,화이트인쇄명함 — WHITE 4종(B06·큐리어스스킨)
PRD_000037,PRF_NAMECARD_FIXED,2026-06-01,오리지널박명함 — FOIL base(.06)+SETUP(.05) 합산(B09)
