proposed_siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,impos_yn,note
SIZ_000511,600x600,600.00,600.00,600.00,600.00,N,"포스터사인 면적매트릭스 치수 600x600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000512,600x800,600.00,800.00,600.00,800.00,N,"포스터사인 면적매트릭스 치수 600x800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000513,600x1000,600.00,1000.00,600.00,1000.00,N,"포스터사인 면적매트릭스 치수 600x1000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000514,600x1200,600.00,1200.00,600.00,1200.00,N,"포스터사인 면적매트릭스 치수 600x1200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000515,600x1400,600.00,1400.00,600.00,1400.00,N,"포스터사인 면적매트릭스 치수 600x1400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000516,600x1600,600.00,1600.00,600.00,1600.00,N,"포스터사인 면적매트릭스 치수 600x1600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000517,600x2000,600.00,2000.00,600.00,2000.00,N,"포스터사인 면적매트릭스 치수 600x2000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000518,600x2200,600.00,2200.00,600.00,2200.00,N,"포스터사인 면적매트릭스 치수 600x2200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000519,600x2400,600.00,2400.00,600.00,2400.00,N,"포스터사인 면적매트릭스 치수 600x2400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000520,600x2600,600.00,2600.00,600.00,2600.00,N,"포스터사인 면적매트릭스 치수 600x2600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000521,600x2800,600.00,2800.00,600.00,2800.00,N,"포스터사인 면적매트릭스 치수 600x2800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000522,600x3000,600.00,3000.00,600.00,3000.00,N,"포스터사인 면적매트릭스 치수 600x3000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000523,800x600,800.00,600.00,800.00,600.00,N,"포스터사인 면적매트릭스 치수 800x600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000524,800x800,800.00,800.00,800.00,800.00,N,"포스터사인 면적매트릭스 치수 800x800mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000525,800x1000,800.00,1000.00,800.00,1000.00,N,"포스터사인 면적매트릭스 치수 800x1000mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000526,800x1200,800.00,1200.00,800.00,1200.00,N,"포스터사인 면적매트릭스 치수 800x1200mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000527,800x1400,800.00,1400.00,800.00,1400.00,N,"포스터사인 면적매트릭스 치수 800x1400mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
SIZ_000528,800x1600,800.00,1600.00,800.00,1600.00,N,"포스터사인 면적매트릭스 치수 800x1600mm (가로x세로) — 선적재 후보, 후니 siz 등록 인간승인 필요"
