종류,prd_nm,엑셀값,DB값,정정값,비고
bundle_qty,프리미엄명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,코팅명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,스탠다드명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,펄명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,모양명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,미니모양명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,오리지널박명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,형압명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,투명명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,화이트인쇄명함,Y,(DB 미적재),,"MISSING/플래그모호; 정정X; [디지털인쇄] 명함 묶음여부 Y플래그(수량아님) — bdl_qty 적재 부적합, 확인필요"
bundle_qty,반칼 자유형 스티커,*최대20조각 | *최대40조각,(DB 미적재),,"MISSING; 정정X; [스티커] 조각수, DB 미적재. 조각=QTY_UNIT 직접없음(확인필요). *최대/최소 안내값 분리필요"
bundle_qty,낱장 자유형 스티커,5조각 | 6조각 | 7조각 | 8조각 | 9조각 | 10조각 | *최소크기 30x30 / 10조각이내,(DB 미적재),,"MISSING; 정정X; [스티커] 조각수, DB 미적재. 조각=QTY_UNIT 직접없음(확인필요). *최대/최소 안내값 분리필요"
