sheet,prd_nm,qty_min,qty_max,qty_inc
디지털인쇄,프리미엄엽서,15.0 | 12.0 | 8.0 | 6.0 | 6.0 | 4.0 | 4.0,10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0,15.0 | 12.0 | 8.0 | 6.0 | 6.0 | 4.0 | 4.0
디지털인쇄,코팅엽서,15.0 | 12.0 | 8.0 | 6.0 | 6.0 | 4.0 | 4.0,10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0,15.0 | 12.0 | 8.0 | 6.0 | 6.0 | 4.0 | 4.0
디지털인쇄,스탠다드엽서,15.0 | 12.0 | 8.0 | 6.0 | 4.0,10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0,15.0 | 12.0 | 8.0 | 6.0 | 4.0
디지털인쇄,투명엽서,12.0 | 8.0 | 6.0 | 4.0,10000.0 | 10000.0 | 10000.0 | 10000.0,12.0 | 8.0 | 6.0 | 4.0
디지털인쇄,화이트인쇄엽서,12.0 | 8.0 | 6.0 | 4.0,10000.0 | 10000.0 | 10000.0 | 10000.0,12.0 | 8.0 | 6.0 | 4.0
디지털인쇄,핑크별색엽서,12.0 | 8.0 | 6.0 | 4.0,10000.0 | 10000.0 | 10000.0 | 10000.0,12.0 | 8.0 | 6.0 | 4.0
디지털인쇄,금은별색엽서,12.0 | 8.0 | 6.0 | 4.0,10000.0 | 10000.0 | 10000.0 | 10000.0,12.0 | 8.0 | 6.0 | 4.0
디지털인쇄,모양엽서,12.0,10000.0,12.0
디지털인쇄,포토카드,20.0,10000.0,20.0
디지털인쇄,투명포토카드,20.0,10000.0,20.0
디지털인쇄,종이슬로건,4.0 | 2.0,10000.0 | 10000.0,4.0 | 2.0
디지털인쇄,2단접지카드,8.0 | 8.0 | 8.0 | 8.0 | 8.0 | 8.0,10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0,8.0 | 8.0 | 8.0 | 8.0 | 8.0 | 8.0
디지털인쇄,미니접지카드,30.0,10000.0,30.0
디지털인쇄,3단접지카드,8.0 | 8.0 | 8.0 | 8.0,10000.0 | 10000.0 | 10000.0 | 10000.0,8.0 | 8.0 | 8.0 | 8.0
디지털인쇄,지그재그엽서,2.0,10000.0,2.0
디지털인쇄,프리미엄명함,100.0,10000.0,100.0
디지털인쇄,코팅명함,100.0,10000.0,100.0
디지털인쇄,스탠다드명함,100.0,10000.0,100.0
디지털인쇄,펄명함,100.0,10000.0,100.0
디지털인쇄,모양명함,100.0,10000.0,100.0
디지털인쇄,미니모양명함,100.0,10000.0,100.0
디지털인쇄,오리지널박명함,200.0,1000.0,100.0
디지털인쇄,형압명함,100.0,10000.0,100.0
디지털인쇄,투명명함,100.0,10000.0,100.0
디지털인쇄,화이트인쇄명함,100.0,10000.0,100.0
디지털인쇄,스탠다드 쿠폰/상품권,12.0 | 10.0,10000.0 | 10000.0,12.0 | 10.0
디지털인쇄,프리미엄 쿠폰/상품권,12.0 | 10.0,10000.0 | 10000.0,12.0 | 10.0
디지털인쇄,인쇄배경지(OPP봉투타입),20.0 | 20.0 | 20.0 | 20.0 | 20.0 | 20.0,1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0,20.0 | 20.0 | 20.0 | 20.0 | 20.0 | 20.0
디지털인쇄,인쇄배경지(투명케이스타입),20.0,1000.0,20.0
디지털인쇄,인쇄헤더택,20.0,1000.0,20.0
디지털인쇄,라벨/택,20.0 | 20.0 | 20.0,1000.0 | 1000.0 | 1000.0,20.0 | 20.0 | 20.0
디지털인쇄,소량전단지,2.0,100000.0,1.0
디지털인쇄,접지리플렛,2.0,100000.0,1.0
디지털인쇄,와이드 접지리플렛,2.0,100000.0,1.0
디지털인쇄,봉투제작,1000.0,5000.0,1000.0
디지털인쇄,썬캡,10.0,1000.0,10.0
스티커,반칼 자유형 스티커,8.0 | 4.0 | 2.0,10000.0 | 10000.0 | 10000.0,8.0 | 4.0 | 2.0
스티커,반칼 자유형 투명스티커,8.0 | 4.0 | 2.0,10000.0 | 10000.0 | 10000.0,8.0 | 4.0 | 2.0
스티커,반칼 자유형 홀로그램스티커,8.0 | 4.0 | 2.0,10000.0 | 10000.0 | 10000.0,8.0 | 4.0 | 2.0
스티커,낱장 자유형 스티커,1.0,10000.0,1.0
스티커,낱장 자유형 투명스티커,1.0,10000.0,1.0
스티커,대형 자유형 스티커,1.0,10000.0,1.0
스티커,반칼원형스티커,4.0 | 2.0,10000.0 | 10000.0,4.0 | 2.0
스티커,반칼정사각스티커,4.0 | 2.0,10000.0 | 10000.0,4.0 | 2.0
스티커,반칼직사각스티커,4.0 | 2.0,10000.0 | 10000.0,4.0 | 2.0
스티커,반칼띠지스티커,4.0 | 2.0,10000.0 | 10000.0,4.0 | 2.0
스티커,반칼팬시스티커,8.0 | 4.0 | 6.0,10000.0 | 10000.0 | 10000.0,8.0 | 4.0 | 6.0
스티커,반칼팬시투명스티커,8.0 | 4.0 | 6.0,10000.0 | 10000.0 | 10000.0,8.0 | 4.0 | 6.0
스티커,소량자유형스티커,32.0 | 32.0 | 24.0 | 24.0 | 24.0 | 15.0 | 12.0,1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0,32.0 | 32.0 | 24.0 | 24.0 | 24.0 | 15.0 | 12.0
스티커,스티커팩,1.0,1000.0,1.0
스티커,합판도무송스티커,1000.0,5000.0,1000.0
스티커,타투스티커,3.0,1000.0,3.0
책자,중철책자,2.0 | 2.0,1000.0 | 1000.0,1.0 | 1.0
책자,무선책자,2.0 | 2.0,1000.0 | 1000.0,1.0 | 1.0
책자,PUR책자,2.0 | 2.0,1000.0 | 1000.0,1.0 | 1.0
책자,트윈링책자,1.0 | 1.0 | 1.0 | 1.0,1000.0 | 1000.0 | 1000.0 | 1000.0,1.0 | 1.0 | 1.0 | 1.0
책자,하드커버책자,1.0 | 1.0,1000.0 | 1000.0,1.0 | 1.0
책자,레더 하드커버책자,1.0 | 1.0,1000.0 | 1000.0,1.0 | 1.0
책자,하드커버 링책자,1.0 | 1.0,1000.0 | 1000.0,1.0 | 1.0
책자,링바인더 (보류중),,,
책자,레더 링바인더,1.0,1000.0,1.0
책자,엽서북,1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0
책자,떡메모지,3.0 | 3.0,1000.0 | 1000.0,3.0 | 3.0
책자,https://www.redprinting.co.kr/ko/guide2/view/4/116,,,
포토북(가격포함),포토북 [디자인명],1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0 | 1000.0,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
캘린더,탁상형캘린더,1.0,10000.0,1.0
캘린더,미니탁상형캘린더,1.0,10000.0,1.0
캘린더,엽서캘린더,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
캘린더,벽걸이캘린더,1.0,10000.0,1.0
캘린더,와이드벽걸이캘린더,1.0,10000.0,1.0
디자인캘린더(가격포함),탁상형캘린더,1.0,10000.0,1.0
디자인캘린더(가격포함),미니탁상형캘린더,1.0,10000.0,1.0
디자인캘린더(가격포함),엽서캘린더,1.0,10000.0,1.0
디자인캘린더(가격포함),벽걸이캘린더,1.0,10000.0,1.0
디자인캘린더(가격포함),와이드벽걸이캘린더,1.0,10000.0,1.0
실사,아트프린트포스터,1.0,1000.0,1.0
실사,아트페이퍼포스터,1.0,1000.0,1.0
실사,방수포스터,1.0,1000.0,1.0
실사,투명포스터★,,,
실사,접착방수포스터,1.0,1000.0,1.0
실사,접착투명포스터,1.0,1000.0,1.0
실사,아트패브릭포스터,1.0,1000.0,1.0
실사,린넨패브릭포스터,1.0,10000.0,1.0
실사,캔버스패브릭포스터,1.0,10000.0,1.0
실사,레더아트프린트,1.0,10000.0,1.0
실사,타이벡프린트,1.0,10000.0,1.0
실사,메쉬프린트,1.0,10000.0,1.0
실사,폼보드,1.0,10000.0,1.0
실사,포맥스보드,1.0,10000.0,1.0
실사,프레임리스우드액자,1.0,1000.0,1.0
실사,레더아트액자,1.0,1000.0,1.0
실사,캔버스 행잉포스터,1.0,10000.0,1.0
실사,린넨 우드봉 족자,1.0,10000.0,1.0
실사,족자포스터,1.0,10000.0,1.0
실사,PET배너,1.0,10000.0,1.0
실사,메쉬배너,1.0,10000.0,1.0
실사,일반현수막,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
실사,메쉬현수막,,,
실사,무광시트커팅,1.0,10000.0,1.0
실사,홀로그램 시트커팅,1.0,10000.0,1.0
실사,유광아크릴스티커,1.0,10000.0,1.0
실사,미러아크릴스티커,1.0,10000.0,1.0
실사,미니보드스탠딩,1.0,10000.0,1.0
실사,미니배너,1.0,10000.0,1.0
아크릴,아크릴키링,1.0,10000.0,1.0
아크릴,아크릴마그넷,1.0,10000.0,1.0
아크릴,아크릴뱃지,1.0,10000.0,1.0
아크릴,아크릴집게,1.0,10000.0,1.0
아크릴,아크릴스마트톡,1.0,10000.0,1.0
아크릴,맥세이프 스마트톡,1.0,10000.0,1.0
아크릴,아크릴명찰,1.0,10000.0,1.0
아크릴,아크릴명찰(골드실버),1.0,10000.0,1.0
아크릴,아크릴 머리끈,1.0,10000.0,1.0
아크릴,아크릴볼펜,1.0,10000.0,1.0
아크릴,아크릴지비츠,1.0,10000.0,1.0
아크릴,아크릴네임택,1.0,10000.0,1.0
아크릴,아크릴 포카키링,1.0,10000.0,1.0
아크릴,아크릴 코스터,1.0,10000.0,1.0
아크릴,아크릴자유형스탠드,1.0,10000.0,1.0
아크릴,판아크릴,1.0,10000.0,1.0
아크릴,아크릴포카스탠드,1.0,10000.0,1.0
아크릴,아크릴미니파츠,1.0,10000.0,1.0
아크릴,아크릴코롯토,1.0,10000.0,1.0
아크릴,포카코롯토,1.0,10000.0,1.0
아크릴,아크릴카라비너,1.0,10000.0,1.0
아크릴,아크릴코롯토,,,
아크릴,아크릴입체코롯토,,,
아크릴,아크릴입체블럭,,,
아크릴,아크릴쉐이커★,●,,
아크릴,지비츠★,●,,● | ● | ● | ●
문구(가격포함),만년다이어리(소프트커버),1.0,500.0,1.0
문구(가격포함),만년다이어리(하드커버),1.0,500.0,1.0
문구(가격포함),만년다이어리(레더하드커버),1.0,500.0,1.0
문구(가격포함),만년다이어리(레더소프트커버),1.0,500.0,1.0
문구(가격포함),먼슬리플래너,1.0,500.0,1.0
문구(가격포함),스프링노트,1.0,1000.0,1.0
문구(가격포함),스프링수첩,4.0,500.0,4.0
문구(가격포함),메모패드,1.0 | 1.0,1000.0 | 1000.0,1.0 | 1.0
문구(가격포함),메모패드(내지커스텀) 준비중,,,
문구(가격포함),중철노트,4.0,500.0,4.0
문구(가격포함),떡메모지,3.0 | 3.0,1000.0 | 1000.0,3.0 | 3.0
문구(가격포함),"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요",,,
굿즈파우치(가격포함),틴거울,1.0,10000.0,1.0
굿즈파우치(가격포함),컴팩트거울,1.0,10000.0,1.0
굿즈파우치(가격포함),카드거울,3.0,10000.0,3.0
굿즈파우치(가격포함),사각손거울,1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0
굿즈파우치(가격포함),블랙사각손거울,1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0
굿즈파우치(가격포함),레더코스터,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),코르크코스터,1.0,10000.0,1.0
굿즈파우치(가격포함),우드코스터,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),린넨패브릭코스터,1.0,10000.0,1.0
굿즈파우치(가격포함),규조토코스터,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),머그컵,1.0,10000.0,1.0
굿즈파우치(가격포함),워터북보틀,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),벨벳쿠션,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),레더여권케이스,1.0,10000.0,1.0
굿즈파우치(가격포함),미니매트,1.0,10000.0,1.0
굿즈파우치(가격포함),피크닉매트,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),투명부채,1.0,10000.0,1.0
굿즈파우치(가격포함),핀버튼,4.0 | 4.0,10000.0 | 10000.0,4.0 | 4.0
굿즈파우치(가격포함),레더스트랩키링,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),키캡키링,1.0,10000.0,1.0
굿즈파우치(가격포함),LED투명키캡키링,1.0,10000.0,1.0
굿즈파우치(가격포함),미니CD앨범,1.0,10000.0,1.0
굿즈파우치(가격포함),양말,1.0,10000.0,1.0
굿즈파우치(가격포함),반팔티셔츠,1.0,10000.0,1.0
굿즈파우치(가격포함),극세사타월,,,
굿즈파우치(가격포함),슬로건,1.0,10000.0,1.0
굿즈파우치(가격포함),후드티셔츠,1.0,10000.0,1.0
굿즈파우치(가격포함),초슬림마우스패드,1.0,10000.0,1.0
굿즈파우치(가격포함),장패드,,,
굿즈파우치(가격포함),극세사클리너,1.0,10000.0,1.0
굿즈파우치(가격포함),틴케이스,1.0,10000.0,1.0
굿즈파우치(가격포함),자석북마크,1.0,10000.0,1.0
굿즈파우치(가격포함),클립보드,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),투명클립보드,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),만년스탬프,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0
굿즈파우치(가격포함),타이벡북커버,,,
굿즈파우치(가격포함),밴드톡,1.0,10000.0,1.0
굿즈파우치(가격포함),폰스트랩,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),말랑키링,1.0 | 1.0 | 1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0 | 1.0 | 1.0
굿즈파우치(가격포함),말랑증사홀더,1.0,10000.0,1.0
굿즈파우치(가격포함),말랑포카홀더,1.0,10000.0,1.0
굿즈파우치(가격포함),말랑네임택,1.0,10000.0,1.0
굿즈파우치(가격포함),말랑여권케이스,1.0,10000.0,1.0
굿즈파우치(가격포함),아크릴쉐이커코롯토,1.0,10000.0,1.0
굿즈파우치(가격포함),미니우치와키링,1.0,10000.0,1.0
굿즈파우치(가격포함),하트 이미지피켓,1.0,10000.0,1.0
굿즈파우치(가격포함),이미지피켓,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 플랫 파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),레더 슬림 파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),레더 삼각 파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),레더 볼륨 파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),레더 스트링 파우치,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 스트링 원형파우치,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 플랫 클러치,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 삼각 클러치,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 아이패드/노트북 파우치,1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0
굿즈파우치(가격포함),캔버스 플랫 파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),캔버스 삼각 파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),캔버스 스트랩 라벨파우치,1.0,10000.0,1.0
굿즈파우치(가격포함),광목 스트링 라벨파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),린넨 스트링 파우치,1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0
굿즈파우치(가격포함),타이벡 플랫 파우치,1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0
굿즈파우치(가격포함),타이벡 슬림 파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),타이벡 삼각 파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),타이벡 스트링 파우치,1.0 | 1.0 | 1.0,10000.0 | 10000.0 | 10000.0,1.0 | 1.0 | 1.0
굿즈파우치(가격포함),타이벡 플랫 클러치,1.0,10000.0,1.0
굿즈파우치(가격포함),메쉬슬림파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),메쉬볼륨파우치,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 플랫 미니파우치,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 슬림 미니파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),레더 삼각 미니파우치,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 볼륨 미니파우치,1.0 | 1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),레더 원형 미니파우치,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 플랫 필통,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 슬림 필통,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 삼각 필통,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 볼륨 필통,1.0,10000.0,1.0
굿즈파우치(가격포함),레더 원형 필통,1.0,10000.0,1.0
굿즈파우치(가격포함),캔버스 플랫 필통,1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),캔버스 삼각 필통,1.0,10000.0 | 10000.0,1.0 | 1.0
굿즈파우치(가격포함),레더토트백,1.0,10000.0,1.0
굿즈파우치(가격포함),레더숄더백,1.0,10000.0,1.0
굿즈파우치(가격포함),린넨 미니에코백,1.0,10000.0,1.0
굿즈파우치(가격포함),린넨 토트백,1.0,10000.0,1.0
