sheet,gubun,prd_nm,mes_item_cd,source_values
디지털인쇄,엽서,프리미엄엽서,001-0001,73 x 98 mm | 98 x 98 mm | 100 x 150 mm | 135 x 135 mm | 95 x 210 mm | 110 x 170 mm | 148 x 210 mm
디지털인쇄,,코팅엽서,001-0002,73 x 98 mm | 98 x 98 mm | 100 x 150 mm | 135 x 135 mm | 95 x 210 mm | 110 x 170 mm | 148 x 210 mm
디지털인쇄,,스탠다드엽서,001-0003,73 x 98 mm | 98 x 98 mm | 100 x 150 mm | 135 x 135 mm | 148 x 210 mm
디지털인쇄,,투명엽서,001-0004,98 x 98 mm | 100 x 150 mm | 135 x 135 mm | 148 x 210 mm
디지털인쇄,,화이트인쇄엽서,001-0006,98 x 98 mm | 100 x 150 mm | 135 x 135 mm | 148 x 210 mm
디지털인쇄,,핑크별색엽서,,98 x 98 mm | 100 x 150 mm | 135 x 135 mm | 148 x 210 mm
디지털인쇄,,금은별색엽서,,98 x 98 mm | 100 x 150 mm | 135 x 135 mm | 148 x 210 mm
디지털인쇄,,모양엽서,,90 x 90 mm
디지털인쇄,포토카드,포토카드,001-0012,55 x 86 mm
디지털인쇄,,투명포토카드,001-0013,55 x 86 mm
디지털인쇄,,종이슬로건,001-0014,300 x 100 mm | 400 x 145 mm
디지털인쇄,접지카드,2단접지카드,001-0014,100 x 150 mm | 150 x 100 mm | 135 x 135 mm | 110 x 170 mm | 170 x 110 mm
디지털인쇄,,미니접지카드,,90 x 50 mm | 50 x 90 mm | 86 x 52 mm | 52 x  86 mm
디지털인쇄,,3단접지카드,001-0009,100 x 150 mm | 150 x 100 mm | 135 x 135 mm | 135 x 135 mm
디지털인쇄,,지그재그엽서,001-0010,600 x 150 mm | 150 x 600 mm
디지털인쇄,명함,프리미엄명함,003-0001,90 x 50 mm | 90 x 55 mm | 86 x 52 mm
디지털인쇄,,코팅명함,003-0002,90 x 50 mm | 86 x 52 mm
디지털인쇄,,스탠다드명함,003-0003,90 x 50 mm | 86 x 52 mm
디지털인쇄,,펄명함,003-0004,90 x 50 mm
디지털인쇄,,모양명함,003-0007,90 x 50 mm
디지털인쇄,,미니모양명함,003-0008,50 x 50 mm
디지털인쇄,,오리지널박명함,003-0009,90 x 50 mm
디지털인쇄,,형압명함,,90 x 50 mm
디지털인쇄,,투명명함,003-0005,90 x 50 mm
디지털인쇄,,화이트인쇄명함,003-0006,90 x 50 mm
디지털인쇄,상품권,스탠다드 쿠폰/상품권,003-0013,148 x 68 mm | 148 x 75 mm
디지털인쇄,,프리미엄 쿠폰/상품권,003-0014,148 x 68 mm | 148 x 75 mm
디지털인쇄,배경지,인쇄배경지(OPP봉투타입),012-0001,76 x 100 mm | 76 x 120 mm | 86 x 120 mm | 94 x 94 mm | 62 x 180 mm | 105 x 160 mm
디지털인쇄,,인쇄배경지(투명케이스타입),012-0002,74 x 74 mm | 74 x 109 mm
디지털인쇄,,인쇄헤더택,012-0003,80 x 80mm | 110 x 80mm | 140 x 80mm | 160 x 80mm
디지털인쇄,,라벨/택,012-0010,40 x 80 mm | 50 x 50 mm | 25 x 110 mm
디지털인쇄,인쇄홍보물,소량전단지,003-0010,A5 (148 x 210mm) | A4 (210 x 297mm) | A3 (297 x 420mm) | A3+ (300 x 440mm)
디지털인쇄,,접지리플렛,003-0011,A5 (반접지) | A4 (반접지) | A4 (3단접지) | A4 (4단병풍접지) | A3 (반접지) | A3 (3단접지) | A3 (4단병풍접지) | A3 (4단대문접지)
디지털인쇄,,와이드 접지리플렛,003-0012,3절 (3단접지) | 3절 (4단대문접지) | 3절 (4단병풍접지)
디지털인쇄,,봉투제작,003-0015,티켓봉투 | 소봉투 | 자켓봉투 | 대봉투
디지털인쇄,,썬캡,003-0016,313 x 400 mm
스티커,,반칼 자유형 스티커,002-0001,A6 (105 x 148 mm) | A5 (148 x 210 mm) | A4 (210 x 297 mm)
스티커,,반칼 자유형 투명스티커,002-0002,A6 (105 x 148 mm) | A5 (148 x 210 mm) | A4 (210 x 297 mm)
스티커,,반칼 자유형 홀로그램스티커,002-0015,A6 (105 x 148 mm) | A5 (148 x 210 mm) | A4 (210 x 297 mm)
스티커,,낱장 자유형 스티커,002-0003,A4 (210 x 297 mm) | A3 (297 x 420 mm) | A2 (420 x 594 mm)
스티커,,낱장 자유형 투명스티커,002-0004,A4 (210 x 297 mm) | A3 (297 x 420 mm) | A2 (420 x 594 mm)
스티커,,대형 자유형 스티커,002-0005,400 x 600 mm
스티커,,반칼원형스티커,002-0008,A5 (148 x 210 mm) | A4 (210 x 297 mm)
스티커,,반칼정사각스티커,002-0009,A5 (148 x 210 mm) | A4 (210 x 297 mm)
스티커,,반칼직사각스티커,002-0010,A5 (148 x 210 mm) | A4 (210 x 297 mm)
스티커,,반칼띠지스티커,002-0011,A5 (148 x 210 mm) | A4 (210 x 297 mm)
스티커,,반칼팬시스티커,002-0012,100 x 140 mm | 124 x186 mm | 90 x 190 mm
스티커,,반칼팬시투명스티커,,100 x 140 mm | 124 x186 mm | 90 x 190 mm
스티커,,소량자유형스티커,002-0006,50 x 70 mm | 70 x 50 mm | 50 x 94 mm | 94 x 50 mm | 65 x 65 mm | 80 x 80 mm | 94 x 94 mm
스티커,,스티커팩,002-0016,75 x 110 mm
스티커,,합판도무송스티커,002-0013,원형 10mm (8EA) | 원형 15mm (8EA) | 원형 20mm (6EA) | 원형 25mm (3EA) | 원형 30mm (2EA) | 원형 35mm (2EA) | 원형 40mm (2EA) | 원형 45mm (1EA) | 원형 50mm (1EA) | 원형 55mm (1EA) | 원형 60mm (1EA) | 정사각 10 x 10mm (8EA) | 정사각 15 x 15mm (8EA) | 정사각 20 x 20mm (6EA) | 정사각 25 x 25mm (3EA) | 정사각 30 x 30mm (2EA) | 정사각 35 x 35mm (2EA) | 정사각 40 x 40mm (2EA) | 정사각 45 x 45mm (1EA) | 정사각 50 x 50mm (1EA) | 정사각 55 x 55mm (1EA) | 정사각 60 x 60mm (1EA) | 정사각 90 x 90mm (1EA) | 직사각 35 x 25mm (2EA) | 직사각 40 x 30mm (2EA) | 직사각 42 x 20mm (2EA) | 직사각 50 x 20mm (2EA) | 직사각 50 x 30mm (2EA) | 직사각 55 x 15mm (2EA) | 직사각 55 x 20mm (2EA) | 직사각 55 x 24mm (2EA) | 직사각 55 x 33mm (2EA) | 직사각 90 x 40mm (2EA) | 직사각 90 x 50mm (1EA) | 직사각 90 x 60mm (1EA) | 직사각 90 x 70mm (1EA) | 직사각 90 x 80mm (1EA)
스티커,,타투스티커,002-0014,90 x 190 mm
책자,책자,중철책자,006-0001,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,무선책자,006-0002,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,PUR책자,006-0003,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,트윈링책자,006-0004,A5 (148 x 210 mm) | A5 (210 x 148 mm) | A4 (210 x 297 mm) | A4 (297 x 210 mm)
책자,하드커버책자,하드커버책자,006-0005,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,레더 하드커버책자,006-0006,A5 (148 x 210 mm) | A4 (210 x 297 mm)
책자,,하드커버 링책자,006-0007,A5 (148 x 210 mm) | A5 (210 x 148 mm) | A4 (210 x 297 mm) | A4 (297 x 210 mm)
책자,,링바인더 (보류중),,A4 (두께A) 31mm | A4 (두께B) 42mm | A4 (두께B) 56mm
책자,,레더 링바인더,,A4
책자,엽서북,엽서북,,100 x 150 mm | 150 x 100 mm | 135 x 135 mm
책자,떡메모지,떡메모지,008-0008,90 x 90 mm | 70 x 120 mm
책자,레드프린팅 책자 가이드,https://www.redprinting.co.kr/ko/guide2/view/4/116,,
포토북(가격포함),포토북,포토북 [디자인명],,8 x 8 (200 x 200 mm) | 10 x 10 (250 x 250 mm) | A5 (148 x 210 mm) | A4 (210 x 297 mm)
캘린더,탁상형캘린더,탁상형캘린더,007-0001,220 x 145 mm | 130 x 220 mm
캘린더,,미니탁상형캘린더,007-0002,90 x 100 mm | 148 x 60 mm
캘린더,엽서캘린더,엽서캘린더,007-0003,145 x 145 mm | 220 x 130 mm | 220 x 145 mm | 130  x 220 mm | 148 x 210 mm | 145 x 300 mm
캘린더,벽걸이캘린더,벽걸이캘린더,007-0004,210 x 297 mm | 210 x 420 mm | 300 x 420 mm
캘린더,,와이드벽걸이캘린더,007-0005,300 x 625 mm
디자인캘린더(가격포함),탁상형캘린더,탁상형캘린더,007-0001,220 x 145 mm | 130 x 220 mm
디자인캘린더(가격포함),,미니탁상형캘린더,007-0002,90 x 100 mm | 148 x 60 mm
디자인캘린더(가격포함),엽서캘린더,엽서캘린더,007-0003,145 x 145 mm
디자인캘린더(가격포함),벽걸이캘린더,벽걸이캘린더,007-0004,210 x 297 mm
디자인캘린더(가격포함),,와이드벽걸이캘린더,007-0005,300 x 625 mm
실사,,아트프린트포스터,004-0001,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,아트페이퍼포스터,004-0002,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~900 | 200~3000
실사,,방수포스터,004-0003,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,투명포스터★,,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 20~120 | 20~3000
실사,,접착방수포스터,004-0004,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,접착투명포스터,004-0005,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
실사,,아트패브릭포스터,004-0006,A3 (297 x 420 mm) | A2 (420 x 594 mm) | A1 (594 x 841 mm) | 사용자입력 | 200~1200 | 200~3000
