prd_cd,prd_nm,sheet,jeonji_value,target_siz,jeonji_canonical,current_plate_siz,status,multi_jeonji
PRD_000016,프리미엄엽서,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000017,코팅엽서,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000018,스탠다드엽서,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000019,투명엽서,디지털인쇄,315x467,SIZ_PROPOSE_315x467,315x467,SIZ_000113;SIZ_000114;SIZ_000115;SIZ_000118,교정,
PRD_000020,화이트인쇄엽서,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000021,핑크별색엽서,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000022,금은별색엽서,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000023,모양엽서,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000024,포토카드,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000025,투명포토카드,디지털인쇄,315x467,SIZ_PROPOSE_315x467,315x467,SIZ_000120,교정,
PRD_000026,종이슬로건,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000027,2단접지카드,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000028,미니접지카드,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000029,3단접지카드,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000030,지그재그엽서,디지털인쇄,330x660,SIZ_000475,330x660,SIZ_000142;SIZ_000143,교정,
PRD_000031,프리미엄명함,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000032,코팅명함,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000033,스탠다드명함,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000034,펄명함,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000035,모양명함,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000036,미니모양명함,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000038,형압명함,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000039,투명명함,디지털인쇄,315x467,SIZ_PROPOSE_315x467,315x467,SIZ_000144,교정,
PRD_000040,화이트인쇄명함,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000041,스탠다드 쿠폰/상품권,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000042,프리미엄 쿠폰/상품권,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000043,인쇄배경지(OPP봉투타입),디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000044,인쇄배경지(투명케이스타입),디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000045,인쇄헤더택,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000046,라벨/택,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000047,소량전단지,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000048,접지리플렛,디지털인쇄,316x467,SIZ_000499,316x467,SIZ_000499,OK_이미정답,
PRD_000049,와이드 접지리플렛,디지털인쇄,330x660,SIZ_000475,330x660,SIZ_000186;SIZ_000188;SIZ_000190,교정,
PRD_000052,반칼 자유형 스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000007;SIZ_000050;SIZ_000057,교정,
PRD_000053,반칼 자유형 투명스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000007;SIZ_000050;SIZ_000057,교정,
PRD_000054,반칼 자유형 홀로그램스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000007;SIZ_000050;SIZ_000057,교정,
PRD_000055,낱장 자유형 스티커,스티커,210 x 297 | 297 x 420 | 420 x 594,SIZ_000172,210x297,SIZ_000050;SIZ_000052;SIZ_000198,교정,다중전지
PRD_000056,낱장 자유형 투명스티커,스티커,210 x 297 | 297 x 420 | 420 x 594,SIZ_000172,210x297,SIZ_000050;SIZ_000052;SIZ_000198,교정,다중전지
PRD_000057,대형 자유형 스티커,스티커,400 x 600,RECLASSIFY_AREA_NA,400x600(면적),SIZ_000199,교정,
PRD_000058,반칼원형스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000007;SIZ_000050,교정,
PRD_000059,반칼정사각스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000007;SIZ_000050,교정,
PRD_000060,반칼직사각스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000007;SIZ_000050,교정,
PRD_000061,반칼띠지스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000007;SIZ_000050,교정,
PRD_000062,반칼팬시스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000200;SIZ_000201;SIZ_000202,교정,
PRD_000063,반칼팬시투명스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000200;SIZ_000201;SIZ_000202,교정,
PRD_000064,소량자유형스티커,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000036;SIZ_000043;SIZ_000061;SIZ_000062;SIZ_000063;SIZ_000064;SIZ_000065,교정,
PRD_000065,스티커팩,스티커,330x470,SIZ_PROPOSE_330x470,330x470,SIZ_000068,교정,
PRD_000067,타투스티커,스티커,210x297,SIZ_000172,210x297,SIZ_000060,교정,
PRD_000068,중철책자,책자,316x467,SIZ_000499,316x467,SIZ_000181;SIZ_000250;SIZ_000251;SIZ_000252,교정,
PRD_000069,무선책자,책자,316x467,SIZ_000499,316x467,SIZ_000250;SIZ_000252,교정,
PRD_000070,PUR책자,책자,316x467,SIZ_000499,316x467,SIZ_000250;SIZ_000252,교정,
PRD_000071,트윈링책자,책자,316x467,SIZ_000499,316x467,SIZ_000173;SIZ_000250;SIZ_000252;SIZ_000254;SIZ_000256,교정,
PRD_000072,하드커버책자,책자,316x467,SIZ_000499,316x467,SIZ_000250;SIZ_000252,교정,
PRD_000077,레더 하드커버책자,책자,316x467,SIZ_000499,316x467,SIZ_000250;SIZ_000252,교정,
PRD_000082,하드커버 링책자,책자,316x467,SIZ_000499,316x467,SIZ_000173;SIZ_000179;SIZ_000250;SIZ_000254,교정,
