prd_nm,분류,엑셀값(전지),DB값(작업사이즈),비고
2단접지카드,의미불일치(전지vs작업사이즈),316x467,139x274|152x202|174x224,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
3단접지카드,의미불일치(전지vs작업사이즈),316x467|316x467|316x467,139x407|152x300|300x152,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
금은별색엽서,의미불일치(전지vs작업사이즈),316x467,100x100|102x152|137x137,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
낱장 자유형 스티커,MATCH(A규격 일치),210 x 297|297 x 420|420 x 594,210x297|297x420|420x594,스티커 A규격이 전지=작업 일치
낱장 자유형 투명스티커,MATCH(A규격 일치),210 x 297|297 x 420|420 x 594,210x297|297x420|420x594,스티커 A규격이 전지=작업 일치
대형 자유형 스티커,MATCH(A규격 일치),400 x 600,400x600,스티커 A규격이 전지=작업 일치
라벨/택,의미불일치(전지vs작업사이즈),316x467|316x467|316x467,35x120|50x90|60x60,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
린넨패브릭포스터,의미불일치(전지vs작업사이즈),*후가공에따라 파일크기가 다름,297x420|420x297|420x594,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
모양명함,의미불일치(전지vs작업사이즈),316x467,100x60,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
모양엽서,의미불일치(전지vs작업사이즈),316x467,100x100,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
미니모양명함,의미불일치(전지vs작업사이즈),316x467,60x60,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
미니접지카드,의미불일치(전지vs작업사이즈),316x467|316x467,88x106|92x104,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
미니탁상형캘린더,의미불일치(전지vs작업사이즈),316x467|316x467,152x64|94x104,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
반칼 자유형 스티커,의미불일치(전지vs작업사이즈),330x470,105x148|148x210|210x297,"엑셀=전지(출력용지규격), DB=작업/출력사이즈 → 축 상이"
