prd_nm,분류,엑셀값,DB값,비고
포토카드,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
투명명함,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
반칼팬시투명스티커,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
투명엽서,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
투명포토카드,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
낱장 자유형 투명스티커,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
반칼 자유형 홀로그램스티커,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
반칼 자유형 투명스티커,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
화이트인쇄명함,MISSING(별색공정),화이트/클리어 별색,(DB t_prd_product_processes 미적재),별색=공정(PROC_000008~012)이나 해당상품 공정 미연결
PUR책자,MISSING(형압),형압(음각/양각),(DB 양각/음각 미적재),형압공정(PROC_000050~052) 해당상품 미연결
무선책자,MISSING(형압),형압(음각/양각),(DB 양각/음각 미적재),형압공정(PROC_000050~052) 해당상품 미연결
형압명함,MISSING(형압),형압(음각/양각),(DB 양각/음각 미적재),형압공정(PROC_000050~052) 해당상품 미연결
스프링노트,MISMATCH/확인필요,트윈링제본(좌철+실버링),수축포장,"엑셀=트윈링제본, DB=수축포장만. 제본공정 누락 확인필요"
