prd_cd,prd_nm,key,src_token,rule_id
PRD_000016,프리미엄엽서,단면,단면,R-CLR-1
PRD_000016,프리미엄엽서,양면,양면,R-CLR-1
PRD_000017,코팅엽서,단면,단면,R-CLR-1
PRD_000017,코팅엽서,양면,양면,R-CLR-1
PRD_000018,스탠다드엽서,단면,단면,R-CLR-1
PRD_000018,스탠다드엽서,양면,양면,R-CLR-1
PRD_000019,투명엽서,단면,단면,R-CLR-1
PRD_000021,핑크별색엽서,단면,단면,R-CLR-1
PRD_000021,핑크별색엽서,양면,양면,R-CLR-1
PRD_000022,금은별색엽서,단면,단면,R-CLR-1
PRD_000022,금은별색엽서,양면,양면,R-CLR-1
PRD_000023,모양엽서,단면,단면,R-CLR-1
PRD_000023,모양엽서,양면,양면,R-CLR-1
PRD_000024,포토카드,단면,단면,R-CLR-1
PRD_000024,포토카드,양면,양면,R-CLR-1
PRD_000025,투명포토카드,단면,단면,R-CLR-1
PRD_000026,종이슬로건,단면,단면,R-CLR-1
PRD_000026,종이슬로건,양면,양면,R-CLR-1
PRD_000027,2단접지카드,양면,양면,R-CLR-1
PRD_000028,미니접지카드,양면,양면,R-CLR-1
PRD_000029,3단접지카드,양면,양면,R-CLR-1
PRD_000030,지그재그엽서,양면,양면,R-CLR-1
PRD_000031,프리미엄명함,단면,단면,R-CLR-1
PRD_000031,프리미엄명함,양면,양면,R-CLR-1
PRD_000032,코팅명함,단면,단면,R-CLR-1
PRD_000032,코팅명함,양면,양면,R-CLR-1
PRD_000033,스탠다드명함,단면,단면,R-CLR-1
PRD_000033,스탠다드명함,양면,양면,R-CLR-1
PRD_000034,펄명함,단면,단면,R-CLR-1
PRD_000034,펄명함,양면,양면,R-CLR-1
PRD_000035,모양명함,단면,단면,R-CLR-1
PRD_000035,모양명함,양면,양면,R-CLR-1
PRD_000036,미니모양명함,단면,단면,R-CLR-1
PRD_000036,미니모양명함,양면,양면,R-CLR-1
PRD_000038,형압명함,단면,단면,R-CLR-1
PRD_000038,형압명함,양면,양면,R-CLR-1
PRD_000039,투명명함,단면,단면,R-CLR-1
PRD_000041,스탠다드 쿠폰/상품권,단면,단면,R-CLR-1
PRD_000041,스탠다드 쿠폰/상품권,양면,양면,R-CLR-1
PRD_000042,프리미엄 쿠폰/상품권,단면,단면,R-CLR-1
PRD_000042,프리미엄 쿠폰/상품권,양면,양면,R-CLR-1
PRD_000043,인쇄배경지(OPP봉투타입),단면,단면,R-CLR-1
PRD_000043,인쇄배경지(OPP봉투타입),양면,양면,R-CLR-1
PRD_000044,인쇄배경지(투명케이스타입),단면,단면,R-CLR-1
PRD_000044,인쇄배경지(투명케이스타입),양면,양면,R-CLR-1
PRD_000045,인쇄헤더택,단면,단면,R-CLR-1
PRD_000046,라벨/택,단면,단면,R-CLR-1
PRD_000046,라벨/택,양면,양면,R-CLR-1
PRD_000047,소량전단지,단면,단면,R-CLR-1
PRD_000047,소량전단지,양면,양면,R-CLR-1
PRD_000048,접지리플렛,양면,양면,R-CLR-1
PRD_000049,와이드 접지리플렛,양면,양면,R-CLR-1
PRD_000051,썬캡,단면,단면,R-CLR-1
PRD_000052,반칼 자유형 스티커,단면,단면,R-CLR-1
PRD_000053,반칼 자유형 투명스티커,단면,단면,R-CLR-1
PRD_000054,반칼 자유형 홀로그램스티커,단면,단면,R-CLR-1
PRD_000055,낱장 자유형 스티커,단면,단면,R-CLR-1
PRD_000056,낱장 자유형 투명스티커,단면,단면,R-CLR-1
PRD_000057,대형 자유형 스티커,단면,단면,R-CLR-1
PRD_000058,반칼원형스티커,단면,단면,R-CLR-1
PRD_000059,반칼정사각스티커,단면,단면,R-CLR-1
PRD_000060,반칼직사각스티커,단면,단면,R-CLR-1
PRD_000061,반칼띠지스티커,단면,단면,R-CLR-1
PRD_000062,반칼팬시스티커,단면,단면,R-CLR-1
PRD_000063,반칼팬시투명스티커,단면,단면,R-CLR-1
PRD_000064,소량자유형스티커,단면,단면,R-CLR-1
PRD_000065,스티커팩,단면,단면,R-CLR-1
PRD_000066,합판도무송스티커,단면,단면,R-CLR-1
PRD_000067,타투스티커,단면,단면,R-CLR-1
PRD_000068,중철책자,양면,양면,R-CLR-1
PRD_000068,중철책자,단면,단면,R-CLR-1
PRD_000068,중철책자,양면,양면,R-CLR-1
PRD_000069,무선책자,양면,양면,R-CLR-1
PRD_000069,무선책자,단면,단면,R-CLR-1
PRD_000069,무선책자,양면,양면,R-CLR-1
PRD_000070,PUR책자,단면,단면,R-CLR-1
PRD_000070,PUR책자,양면,양면,R-CLR-1
PRD_000070,PUR책자,단면,단면,R-CLR-1
PRD_000070,PUR책자,양면,양면,R-CLR-1
PRD_000071,트윈링책자,단면,단면,R-CLR-1
PRD_000071,트윈링책자,양면,양면,R-CLR-1
PRD_000071,트윈링책자,단면,단면,R-CLR-1
PRD_000071,트윈링책자,양면,양면,R-CLR-1
PRD_000072,하드커버책자,단면,단면,R-CLR-1
PRD_000072,하드커버책자,양면,양면,R-CLR-1
PRD_000072,하드커버책자,단면,단면,R-CLR-1
PRD_000077,레더 하드커버책자,단면,단면,R-CLR-1
PRD_000077,레더 하드커버책자,양면,양면,R-CLR-1
PRD_000077,레더 하드커버책자,단면,단면,R-CLR-1
PRD_000082,하드커버 링책자,단면,단면,R-CLR-1
PRD_000082,하드커버 링책자,양면,양면,R-CLR-1
PRD_000082,하드커버 링책자,단면,단면,R-CLR-1
PRD_000088,레더 링바인더,단면,단면,R-CLR-1
PRD_000094,엽서북,단면,단면,R-CLR-1
PRD_000094,엽서북,양면,양면,R-CLR-1
PRD_000094,엽서북,단면,단면,R-CLR-1
PRD_000097,떡메모지,단면,단면,R-CLR-1
PRD_000182,떡메모지,단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],양면,양면,R-CLR-1
PRD_000100,포토북 [디자인명],양면,양면,R-CLR-1
PRD_000100,포토북 [디자인명],양면,양면,R-CLR-1
PRD_000100,포토북 [디자인명],양면,양면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000100,포토북 [디자인명],단면,단면,R-CLR-1
PRD_000108,탁상형캘린더,양면,양면,R-CLR-1
PRD_000113,탁상형캘린더,양면,양면,R-CLR-1
PRD_000109,미니탁상형캘린더,양면,양면,R-CLR-1
PRD_000114,미니탁상형캘린더,양면,양면,R-CLR-1
PRD_000110,엽서캘린더,단면,단면,R-CLR-1
PRD_000115,엽서캘린더,단면,단면,R-CLR-1
PRD_000111,벽걸이캘린더,단면,단면,R-CLR-1
PRD_000111,벽걸이캘린더,양면,양면,R-CLR-1
PRD_000116,벽걸이캘린더,단면,단면,R-CLR-1
PRD_000116,벽걸이캘린더,양면,양면,R-CLR-1
PRD_000112,와이드벽걸이캘린더,단면,단면,R-CLR-1
PRD_000112,와이드벽걸이캘린더,양면,양면,R-CLR-1
PRD_000117,와이드벽걸이캘린더,단면,단면,R-CLR-1
PRD_000117,와이드벽걸이캘린더,양면,양면,R-CLR-1
PRD_000108,탁상형캘린더,양면,양면,R-CLR-1
PRD_000113,탁상형캘린더,양면,양면,R-CLR-1
