prd_cd,prd_nm,attr,분류,expected_key,actual_key,note
PRD_000152,아크릴명찰,print_option,EXTRA,,배면양면,
PRD_000152,아크릴명찰,print_option,EXTRA,,풀빼다,
PRD_000152,아크릴명찰,print_option,EXTRA,,투명테두리,
PRD_000171,지비츠★,print_option,EXTRA,,배면양면,
PRD_000171,지비츠★,print_option,EXTRA,,풀빼다,
PRD_000171,지비츠★,print_option,EXTRA,,투명테두리,
PRD_000155,아크릴볼펜,print_option,EXTRA,,배면양면,
PRD_000155,아크릴볼펜,print_option,EXTRA,,풀빼다,
PRD_000155,아크릴볼펜,print_option,EXTRA,,투명테두리,
PRD_000163,아크릴미니파츠,print_option,EXTRA,,배면양면,
PRD_000163,아크릴미니파츠,print_option,EXTRA,,풀빼다,
PRD_000163,아크릴미니파츠,print_option,EXTRA,,투명테두리,
PRD_000153,아크릴명찰(골드실버),print_option,EXTRA,,배면양면,
PRD_000153,아크릴명찰(골드실버),print_option,EXTRA,,풀빼다,
PRD_000153,아크릴명찰(골드실버),print_option,EXTRA,,투명테두리,
PRD_000161,판아크릴,print_option,EXTRA,,배면양면,
PRD_000161,판아크릴,print_option,EXTRA,,풀빼다,
PRD_000161,판아크릴,print_option,EXTRA,,투명테두리,
PRD_000122,접착투명포스터,print_option,MISSING,단면,,
PRD_000159,아크릴 코스터,print_option,EXTRA,,배면양면,
PRD_000159,아크릴 코스터,print_option,EXTRA,,풀빼다,
PRD_000159,아크릴 코스터,print_option,EXTRA,,투명테두리,
PRD_000148,아크릴뱃지,print_option,EXTRA,,배면양면,
PRD_000148,아크릴뱃지,print_option,EXTRA,,풀빼다,
PRD_000148,아크릴뱃지,print_option,EXTRA,,투명테두리,
PRD_000146,아크릴키링,print_option,EXTRA,,배면양면,
PRD_000146,아크릴키링,print_option,EXTRA,,풀빼다,
PRD_000146,아크릴키링,print_option,EXTRA,,투명테두리,
PRD_000158,아크릴 포카키링,print_option,EXTRA,,배면양면,
PRD_000158,아크릴 포카키링,print_option,EXTRA,,풀빼다,
PRD_000158,아크릴 포카키링,print_option,EXTRA,,투명테두리,
PRD_000151,맥세이프 스마트톡,print_option,EXTRA,,배면양면,
PRD_000151,맥세이프 스마트톡,print_option,EXTRA,,풀빼다,
PRD_000151,맥세이프 스마트톡,print_option,EXTRA,,투명테두리,
PRD_000162,아크릴포카스탠드,print_option,EXTRA,,배면양면,
PRD_000162,아크릴포카스탠드,print_option,EXTRA,,풀빼다,
PRD_000162,아크릴포카스탠드,print_option,EXTRA,,투명테두리,
PRD_000117,와이드벽걸이캘린더,print_option,MISSING,양면,,
PRD_000147,아크릴마그넷,print_option,EXTRA,,배면양면,
PRD_000147,아크릴마그넷,print_option,EXTRA,,풀빼다,
PRD_000147,아크릴마그넷,print_option,EXTRA,,투명테두리,
PRD_000156,아크릴지비츠,print_option,EXTRA,,배면양면,
PRD_000156,아크릴지비츠,print_option,EXTRA,,풀빼다,
PRD_000156,아크릴지비츠,print_option,EXTRA,,투명테두리,
PRD_000149,아크릴집게,print_option,EXTRA,,배면양면,
PRD_000149,아크릴집게,print_option,EXTRA,,풀빼다,
PRD_000149,아크릴집게,print_option,EXTRA,,투명테두리,
PRD_000157,아크릴네임택,print_option,EXTRA,,배면양면,
PRD_000157,아크릴네임택,print_option,EXTRA,,풀빼다,
PRD_000157,아크릴네임택,print_option,EXTRA,,투명테두리,
PRD_000116,벽걸이캘린더,print_option,MISSING,양면,,
PRD_000166,아크릴카라비너,print_option,EXTRA,,배면양면,
PRD_000166,아크릴카라비너,print_option,EXTRA,,풀빼다,
PRD_000166,아크릴카라비너,print_option,EXTRA,,투명테두리,
PRD_000150,아크릴스마트톡,print_option,EXTRA,,배면양면,
PRD_000150,아크릴스마트톡,print_option,EXTRA,,풀빼다,
PRD_000150,아크릴스마트톡,print_option,EXTRA,,투명테두리,
PRD_000160,아크릴자유형스탠드,print_option,EXTRA,,배면양면,
PRD_000160,아크릴자유형스탠드,print_option,EXTRA,,풀빼다,
PRD_000160,아크릴자유형스탠드,print_option,EXTRA,,투명테두리,
PRD_000164,아크릴코롯토,print_option,EXTRA,,배면양면,
PRD_000164,아크릴코롯토,print_option,EXTRA,,풀빼다,
PRD_000164,아크릴코롯토,print_option,EXTRA,,투명테두리,
PRD_000165,포카코롯토,print_option,EXTRA,,배면양면,
PRD_000165,포카코롯토,print_option,EXTRA,,풀빼다,
PRD_000165,포카코롯토,print_option,EXTRA,,투명테두리,
