prd_cd,prd_nm,attr,분류,expected_key,actual_key,note
PRD_000227,미니우치와키링,process,MISSING,PROC_000083,,
PRD_000042,프리미엄 쿠폰/상품권,process,MISSING,PROC_000029,,
PRD_000042,프리미엄 쿠폰/상품권,process,MISSING,PROC_000032,,
PRD_000042,프리미엄 쿠폰/상품권,process,MISSING,PROC_000031,,
PRD_000042,프리미엄 쿠폰/상품권,process,MISSING,PROC_000030,,
PRD_000042,프리미엄 쿠폰/상품권,process,EXTRA,,PROC_000044,
PRD_000059,반칼정사각스티커,process,EXTRA,,PROC_000055,
PRD_000016,프리미엄엽서,process,MISSING,PROC_000029,,
PRD_000016,프리미엄엽서,process,MISSING,PROC_000032,,
PRD_000016,프리미엄엽서,process,MISSING,PROC_000031,,
PRD_000016,프리미엄엽서,process,MISSING,PROC_000030,,
PRD_000047,소량전단지,process,MISSING,PROC_000031,,
PRD_000047,소량전단지,process,MISSING,PROC_000032,,
PRD_000138,일반현수막,process,EXTRA,,PROC_000081,
PRD_000138,일반현수막,process,EXTRA,,PROC_000080,
PRD_000239,캔버스 플랫 파우치,process,EXTRA,,PROC_000081,
PRD_000071,트윈링책자,process,EXTRA,,PROC_000076,
PRD_000179,메모패드,process,MISSING,PROC_000022,,
PRD_000082,하드커버 링책자,process,EXTRA,,PROC_000076,
PRD_000268,캔버스심플백,process,EXTRA,,PROC_000081,
PRD_000029,3단접지카드,process,MISSING,PROC_000032,,
PRD_000029,3단접지카드,process,MISSING,PROC_000031,,
PRD_000270,캔버스에코백,process,EXTRA,,PROC_000081,
PRD_000100,포토북 [디자인명],process,EXTRA,,PROC_000020,
PRD_000028,미니접지카드,process,MISSING,PROC_000031,,
PRD_000028,미니접지카드,process,MISSING,PROC_000032,,
PRD_000151,맥세이프 스마트톡,process,EXTRA,,PROC_000081,
PRD_000125,캔버스패브릭포스터,process,EXTRA,,PROC_000080,
PRD_000133,캔버스 행잉포스터,process,EXTRA,,PROC_000080,
PRD_000134,린넨 우드봉 족자,process,EXTRA,,PROC_000080,
PRD_000111,벽걸이캘린더,process,EXTRA,,PROC_000079,
PRD_000111,벽걸이캘린더,process,EXTRA,,PROC_000021,
PRD_000117,와이드벽걸이캘린더,process,EXTRA,,PROC_000021,
PRD_000066,합판도무송스티커,process,EXTRA,,PROC_000055,
PRD_000018,스탠다드엽서,process,MISSING,PROC_000029,,
PRD_000018,스탠다드엽서,process,MISSING,PROC_000032,,
PRD_000018,스탠다드엽서,process,MISSING,PROC_000031,,
PRD_000018,스탠다드엽서,process,MISSING,PROC_000030,,
PRD_000177,스프링노트,process,MISSING,PROC_000021,,
PRD_000031,프리미엄명함,process,MISSING,PROC_000032,,
PRD_000031,프리미엄명함,process,MISSING,PROC_000031,,
PRD_000181,중철노트,process,MISSING,PROC_000018,,
PRD_000058,반칼원형스티커,process,EXTRA,,PROC_000055,
PRD_000033,스탠다드명함,process,MISSING,PROC_000031,,
PRD_000033,스탠다드명함,process,MISSING,PROC_000032,,
PRD_000060,반칼직사각스티커,process,EXTRA,,PROC_000055,
PRD_000135,족자포스터,process,EXTRA,,PROC_000082,
PRD_000240,캔버스 삼각 파우치,process,EXTRA,,PROC_000081,
PRD_000077,레더 하드커버책자,process,EXTRA,,PROC_000076,
PRD_000130,포맥스보드,process,MISSING,PROC_000008,,
PRD_000037,오리지널박명함,process,EXTRA,,PROC_000044,
PRD_000062,반칼팬시스티커,process,EXTRA,,PROC_000055,
PRD_000116,벽걸이캘린더,process,EXTRA,,PROC_000021,
PRD_000070,PUR책자,process,MISSING,PROC_000052,,
PRD_000070,PUR책자,process,MISSING,PROC_000051,,
PRD_000070,PUR책자,process,EXTRA,,PROC_000076,
PRD_000069,무선책자,process,MISSING,PROC_000052,,
PRD_000069,무선책자,process,MISSING,PROC_000051,,
PRD_000069,무선책자,process,EXTRA,,PROC_000076,
PRD_000038,형압명함,process,MISSING,PROC_000052,,
PRD_000038,형압명함,process,MISSING,PROC_000051,,
PRD_000094,엽서북,process,EXTRA,,PROC_000076,
PRD_000110,엽서캘린더,process,EXTRA,,PROC_000079,
PRD_000113,탁상형캘린더,process,MISSING,PROC_000076,,
PRD_000112,와이드벽걸이캘린더,process,EXTRA,,PROC_000021,
PRD_000041,스탠다드 쿠폰/상품권,process,MISSING,PROC_000029,,
PRD_000041,스탠다드 쿠폰/상품권,process,MISSING,PROC_000032,,
PRD_000041,스탠다드 쿠폰/상품권,process,MISSING,PROC_000031,,
PRD_000041,스탠다드 쿠폰/상품권,process,MISSING,PROC_000030,,
PRD_000182,떡메모지,process,MISSING,PROC_000022,,
PRD_000136,PET배너,process,EXTRA,,PROC_000079,
PRD_000072,하드커버책자,process,EXTRA,,PROC_000076,
PRD_000027,2단접지카드,process,MISSING,PROC_000032,,
PRD_000027,2단접지카드,process,MISSING,PROC_000031,,
PRD_000262,캔버스 삼각 필통,process,EXTRA,,PROC_000081,
PRD_000061,반칼띠지스티커,process,EXTRA,,PROC_000055,
PRD_000063,반칼팬시투명스티커,process,EXTRA,,PROC_000055,
PRD_000049,와이드 접지리플렛,process,MISSING,PROC_000032,,
PRD_000049,와이드 접지리플렛,process,MISSING,PROC_000031,,
PRD_000049,와이드 접지리플렛,process,EXTRA,,PROC_000071,
PRD_000129,폼보드,process,MISSING,PROC_000008,,
PRD_000124,린넨패브릭포스터,process,EXTRA,,PROC_000080,
PRD_000114,미니탁상형캘린더,process,MISSING,PROC_000076,,
PRD_000137,메쉬배너,process,EXTRA,,PROC_000079,
PRD_000261,캔버스 플랫 필통,process,EXTRA,,PROC_000081,
PRD_000048,접지리플렛,process,MISSING,PROC_000031,,
PRD_000048,접지리플렛,process,MISSING,PROC_000032,,
PRD_000178,스프링수첩,process,MISSING,PROC_000021,,
