dsc_tbl_cd,적용일자,최소수량,최대수량,할인유형,할인율(%)
DSC_ACR_QTY,2026-06-01,1,49,DSC_TYPE.01,0
DSC_ACR_QTY,2026-06-01,50,99,DSC_TYPE.01,10
DSC_ACR_QTY,2026-06-01,100,299,DSC_TYPE.01,20
DSC_ACR_QTY,2026-06-01,300,499,DSC_TYPE.01,30
DSC_ACR_QTY,2026-06-01,500,999,DSC_TYPE.01,40
DSC_ACR_QTY,2026-06-01,1000,무제한,DSC_TYPE.01,50
DSC_ACRCARA_QTY,2026-06-01,1,49,DSC_TYPE.01,0
DSC_ACRCARA_QTY,2026-06-01,50,99,DSC_TYPE.01,10
DSC_ACRCARA_QTY,2026-06-01,100,무제한,DSC_TYPE.01,20
DSC_FABRIC_QTY,2026-06-01,1,49,DSC_TYPE.01,0
DSC_FABRIC_QTY,2026-06-01,50,99,DSC_TYPE.01,5
DSC_FABRIC_QTY,2026-06-01,100,499,DSC_TYPE.01,10
DSC_FABRIC_QTY,2026-06-01,500,999,DSC_TYPE.01,15
DSC_FABRIC_QTY,2026-06-01,1000,무제한,DSC_TYPE.01,20
DSC_STAT_QTY,2026-06-01,1,49,DSC_TYPE.01,0
DSC_STAT_QTY,2026-06-01,50,99,DSC_TYPE.01,5
DSC_STAT_QTY,2026-06-01,100,499,DSC_TYPE.01,10
DSC_STAT_QTY,2026-06-01,500,999,DSC_TYPE.01,15
DSC_STAT_QTY,2026-06-01,1000,무제한,DSC_TYPE.01,20
DSC_GOODSA_QTY,2026-06-01,1,49,DSC_TYPE.01,0
DSC_GOODSA_QTY,2026-06-01,50,99,DSC_TYPE.01,5
DSC_GOODSA_QTY,2026-06-01,100,499,DSC_TYPE.01,10
DSC_GOODSA_QTY,2026-06-01,500,999,DSC_TYPE.01,15
DSC_GOODSA_QTY,2026-06-01,1000,무제한,DSC_TYPE.01,20
DSC_GOODSB_QTY,2026-06-01,1,99,DSC_TYPE.01,0
DSC_GOODSB_QTY,2026-06-01,100,499,DSC_TYPE.01,5
DSC_GOODSB_QTY,2026-06-01,500,무제한,DSC_TYPE.01,10
DSC_SQUISHY_QTY,2026-06-01,1,1,DSC_TYPE.01,0
DSC_SQUISHY_QTY,2026-06-01,2,9,DSC_TYPE.01,10
DSC_SQUISHY_QTY,2026-06-01,10,29,DSC_TYPE.01,15
DSC_SQUISHY_QTY,2026-06-01,30,49,DSC_TYPE.01,20
DSC_SQUISHY_QTY,2026-06-01,50,99,DSC_TYPE.01,25
DSC_SQUISHY_QTY,2026-06-01,100,499,DSC_TYPE.01,30
DSC_SQUISHY_QTY,2026-06-01,500,999,DSC_TYPE.01,40
DSC_SQUISHY_QTY,2026-06-01,1000,무제한,DSC_TYPE.01,50
