sheet,merge_range,header_row,col_start,col_end,is_vertical,group_name
디지털인쇄,G1:M1,1,G,M,False,파일사양
디지털인쇄,N1:O1,1,N,O,False,주문방법(필수)
디지털인쇄,R1:V1,1,R,V,False,별색인쇄(옵션)
디지털인쇄,Z1:AC1,1,Z,AC,False,제작수량(필수)
디지털인쇄,AD1:AH1,1,AD,AH,False,후가공(옵션)
디지털인쇄,AI1:AK1,1,AI,AK,False,박(앞면) / 박(뒷면) / 형압 (옵션)
디지털인쇄,AL1:AM1,1,AL,AM,False,추가상품(옵션)
스티커,G1:M1,1,G,M,False,파일사양
스티커,N1:O1,1,N,O,False,주문방법(필수)
스티커,R1:V1,1,R,V,False,별색인쇄(옵션)
스티커,Z1:AB1,1,Z,AB,False,제작수량(필수)
스티커,AC1:AD1,1,AC,AD,False,후가공(옵션)
스티커,AE1:AF1,1,AE,AF,False,추가상품(옵션)
책자,F1:L1,1,F,L,False,내지파일사양
책자,O1:Q1,1,O,Q,False,내지페이지(필수)
책자,R1:W1,1,R,W,False,표지파일사양
책자,Z1:AA1,1,Z,AA,False,표지옵션(옵션)
책자,AB1:AD1,1,AB,AD,False,박(표지) / 형압 (옵션)
책자,AF1:AJ1,1,AF,AJ,False,제본(옵션)
책자,AK1:AM1,1,AK,AM,False,제작수량(필수)
책자,AN1:AO1,1,AN,AO,False,주문방법(필수)
포토북(가격포함),F1:L1,1,F,L,False,내지파일사양
포토북(가격포함),O1:Q1,1,O,Q,False,내지페이지(편집기)
포토북(가격포함),S1:Y1,1,S,Y,False,표지사양
포토북(가격포함),AB1:AD1,1,AB,AD,False,제본사양
포토북(가격포함),AE1:AG1,1,AE,AG,False,제작수량
포토북(가격포함),AH1:AI1,1,AH,AI,False,주문방법(필수)
포토북(가격포함),AK1:AL1,1,AK,AL,False,가격
캘린더,F1:L1,1,F,L,False,파일사양
캘린더,M1:N1,1,M,N,False,주문방법(필수)
캘린더,R1:U1,1,R,U,False,캘린더가공(필수)
캘린더,V1:X1,1,V,X,False,제작수량(필수)
캘린더,Z1:AA1,1,Z,AA,False,추가상품(옵션)
디자인캘린더(가격포함),F1:L1,1,F,L,False,파일사양
디자인캘린더(가격포함),M1:N1,1,M,N,False,주문방법(필수)
디자인캘린더(가격포함),R1:S1,1,R,S,False,캘린더사양
디자인캘린더(가격포함),U1:W1,1,U,W,False,제작수량(필수)
디자인캘린더(가격포함),Y1:Z1,1,Y,Z,False,추가상품(옵션)
실사,F1:G1,1,F,G,False,비규격(최소/최대)
실사,H1:N1,1,H,N,False,파일사양
실사,O1:P1,1,O,P,False,주문방법(필수)
실사,W1:X1,1,W,X,False,가공(옵션)
실사,Y1:Z1,1,Y,Z,False,추가(옵션)
실사,AA1:AC1,1,AA,AC,False,제작수량(필수)
아크릴,F1:G1,1,F,G,False,비규격(최소/최대)
아크릴,I1:O1,1,I,O,False,파일사양
아크릴,P1:Q1,1,P,Q,False,주문방법(필수)
아크릴,U1:V1,1,U,V,False,가공(옵션)
아크릴,W1:X1,1,W,X,False,추가상품(옵션)
아크릴,Y1:AA1,1,Y,AA,False,제작수량(필수)
문구(가격포함),F1:L1,1,F,L,False,내지파일사양
문구(가격포함),P1:R1,1,P,R,False,페이지사양
문구(가격포함),S1:X1,1,S,X,False,표지파일사양
문구(가격포함),AD1:AF1,1,AD,AF,False,제작수량(필수)
문구(가격포함),AG1:AH1,1,AG,AH,False,주문방법(필수)
굿즈파우치(가격포함),F1:L1,1,F,L,False,파일사양
굿즈파우치(가격포함),M1:N1,1,M,N,False,주문방법(필수)
굿즈파우치(가격포함),O1:P1,1,O,P,False,선택(옵션)
굿즈파우치(가격포함),R1:S1,1,R,S,False,가공(옵션)
굿즈파우치(가격포함),T1:V1,1,T,V,False,제작수량(필수)
굿즈파우치(가격포함),W1:X1,1,W,X,False,추가상품(옵션)
상품악세사리(가격포함),F1:H1,1,F,H,False,수량(필수)
