sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
MAP,column_comment,,L1,12 포장,,,,,좀더정리,,,,,,
MAP,cell,3,A3,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,B3,02 스티커,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,C3,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,D3,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,E3,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,F3,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,G3,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,H3,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,I3,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,J3,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,K3,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,L3,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,M3,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,N3,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,O3,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,P3,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,Q3,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,R3,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,S3,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,T3,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,U3,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,V3,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,W3,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,X3,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,Y3,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,3,Z3,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,A4,01 엽서,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,C4,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,D4,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,E4,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,F4,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,G4,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,H4,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,I4,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,J4,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,K4,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,L4,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,M4,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,N4,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,O4,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,P4,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,Q4,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,R4,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,S4,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,T4,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,U4,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,V4,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,W4,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,X4,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,Y4,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,4,Z4,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,C5,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,D5,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,E5,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,F5,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,G5,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,H5,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,I5,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,J5,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,K5,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,L5,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,M5,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,N5,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,O5,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,P5,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,Q5,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,R5,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,S5,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,T5,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,U5,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,V5,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,W5,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,X5,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,Y5,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,5,Z5,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,C6,03 인쇄홍보물,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,D6,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,E6,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,F6,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,G6,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,H6,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,I6,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,J6,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,K6,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,L6,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,M6,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,N6,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,O6,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,P6,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,Q6,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,R6,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,S6,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,T6,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,U6,U,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,V6,V,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,W6,W,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,X6,X,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,Y6,Y,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,6,Z6,Z,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,D7,04 포스터,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,E7,05 사인,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,F7,06 책자,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,G7,07 캘린더,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,H7,08 문구,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,I7,09 아크릴,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,J7,10 라이프,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,K7,11 에코백,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,L7,12 포장,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,M7,M,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,N7,N,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,O7,O,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,P7,P,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,Q7,Q,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,R7,R,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,S7,S,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,T7,T,,,Values must be of type <class 'str'>,,,,,,,,
MAP,cell,7,U7,U,,,Values must be of type <class 'str'>,,,,,,,,
