sheet,row_seq,ref,col,axis,meta_json
판걸이수,2,A2,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,B2,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,E2,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,F2,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,G2,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,H2,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,I2,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,J2,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,K2,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,2,L2,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,A3,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,B3,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,E3,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,F3,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,G3,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,H3,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,I3,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,J3,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,K3,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,3,L3,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,A4,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,B4,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,E4,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,F4,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,G4,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,H4,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,I4,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,J4,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,K4,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,4,L4,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,A5,사이즈옵션명,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,B5,재단사이즈,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,E5,상품,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,F5,판걸이,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,G5,디지털인쇄(국4절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,H5,디지털인쇄(3절),price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,I5,col_I,price,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,J5,인쇄가능영역,product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,K5,원형아이마크영역(완칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
판걸이수,5,L5,격자아이마크영역(반칼),product,"{""font_rgb"": ""Values must be of type <class 'str'>""}"
