sheet,type,row_seq,col,ref,block_id,meta_json
봉투제작,block,,,,B01,"{""title"": ""봉투제작"", ""r_title"": 1, ""row_range"": [1, 8], ""col_range"": [""A"", ""I""], ""header_rows"": [2, 3], ""data_start_row"": 4}"
봉투제작,cell,1,A,A1,B01,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:I1""}"
봉투제작,cell,1,B,B1,B01,"{""merged_range"": ""A1:I1""}"
봉투제작,cell,1,C,C1,B01,"{""merged_range"": ""A1:I1""}"
봉투제작,cell,1,D,D1,B01,"{""merged_range"": ""A1:I1""}"
봉투제작,cell,1,E,E1,B01,"{""merged_range"": ""A1:I1""}"
봉투제작,cell,1,F,F1,B01,"{""merged_range"": ""A1:I1""}"
봉투제작,cell,1,G,G1,B01,"{""merged_range"": ""A1:I1""}"
봉투제작,cell,1,H,H1,B01,"{""merged_range"": ""A1:I1""}"
봉투제작,cell,1,I,I1,B01,"{""merged_range"": ""A1:I1""}"
봉투제작,cell,2,B,B2,B01,"{""merged_range"": ""B2:C2""}"
봉투제작,cell,2,C,C2,B01,"{""merged_range"": ""B2:C2""}"
봉투제작,cell,2,D,D2,B01,"{""merged_range"": ""D2:E2""}"
봉투제작,cell,2,E,E2,B01,"{""merged_range"": ""D2:E2""}"
봉투제작,cell,2,F,F2,B01,"{""merged_range"": ""F2:G2""}"
봉투제작,cell,2,G,G2,B01,"{""merged_range"": ""F2:G2""}"
봉투제작,cell,2,H,H2,B01,"{""merged_range"": ""H2:I2""}"
봉투제작,cell,2,I,I2,B01,"{""merged_range"": ""H2:I2""}"
