sheet,type,row_seq,col,ref,block_id,meta_json
후가공_박(대형),block,,,,B01,"{""title"": ""동판비"", ""r_title"": 1, ""row_range"": [1, 10], ""col_range"": [""A"", ""P""], ""header_rows"": [2, 3, 4, 5, 6, 7, 8, 9, 10], ""data_start_row"": null}"
후가공_박(대형),block,,,,B02,"{""title"": ""*아연판"", ""r_title"": 11, ""row_range"": [11, 13], ""col_range"": [""A"", ""P""], ""header_rows"": [], ""data_start_row"": null}"
후가공_박(대형),block,,,,B03,"{""title"": ""대형박 가공비 일반박 면적당가격 정의 (금유광, 금무광, 은유광, 은무광,동박,청박)"", ""r_title"": 14, ""row_range"": [14, 33], ""col_range"": [""A"", ""P""], ""header_rows"": [15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28], ""data_start_row"": null}"
후가공_박(대형),block,,,,B04,"{""title"": ""대형박 가공비 특수박 면적당가격 정의 (먹유광, 백박, 홀로그램, 트윙클, 적박, 녹박)"", ""r_title"": 34, ""row_range"": [34, 48], ""col_range"": [""A"", ""J""], ""header_rows"": [35, 36, 37, 38, 39, 40, 41, 42, 43], ""data_start_row"": null}"
후가공_박(대형),block,,,,B05,"{""title"": ""대형박 가공비 특수박 수량별 가격 (먹유광, 백박, 홀로그램, 트윙클, 적박, 녹박)"", ""r_title"": 34, ""row_range"": [34, 48], ""col_range"": [""K"", ""P""], ""header_rows"": [35], ""data_start_row"": 36}"
후가공_박(대형),cell,1,A,A1,B01,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,1,B,B1,B01,"{""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,1,C,C1,B01,"{""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,1,D,D1,B01,"{""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,1,E,E1,B01,"{""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,1,F,F1,B01,"{""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,1,G,G1,B01,"{""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,1,H,H1,B01,"{""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,1,I,I1,B01,"{""merged_range"": ""A1:I1""}"
후가공_박(대형),cell,14,A,A14,B03,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A14:I14""}"
후가공_박(대형),cell,14,B,B14,B03,"{""merged_range"": ""A14:I14""}"
후가공_박(대형),cell,14,C,C14,B03,"{""merged_range"": ""A14:I14""}"
후가공_박(대형),cell,14,D,D14,B03,"{""merged_range"": ""A14:I14""}"
