sheet,block_id,block_title,row_seq,col,cell_ref,row_key,band_header_path,value,cell_meta_json
인쇄후가공,B01,"모서리 (귀돌이, 합가)",1,A,A1,"모서리 (귀돌이, 합가)",,"모서리 (귀돌이, 합가)","{""fill_rgb"": ""FFFF00FF"", ""merged_range"": ""A1:C1""}"
인쇄후가공,B01,"모서리 (귀돌이, 합가)",2,A,A2,제작수량,,제작수량,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",2,B,B2,제작수량,직각모서리,직각모서리,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",2,C,C2,제작수량,둥근모서리,둥근모서리,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",3,A,A3,1,,1,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",3,B,B3,1,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",3,C,C3,1,둥근모서리,2000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",4,A,A4,100,,100,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",4,B,B4,100,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",4,C,C4,100,둥근모서리,2000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",5,A,A5,300,,300,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",5,B,B5,300,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",5,C,C5,300,둥근모서리,4000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",6,A,A6,500,,500,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",6,B,B6,500,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",6,C,C6,500,둥근모서리,6000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",7,A,A7,1000,,1000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",7,B,B7,1000,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",7,C,C7,1000,둥근모서리,11000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",8,A,A8,2000,,2000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",8,B,B8,2000,직각모서리,0,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",8,C,C8,2000,둥근모서리,21000,
인쇄후가공,B01,"모서리 (귀돌이, 합가)",9,A,A9,3000,,3000,
