sheet,block_id,block_title,row_seq,col,cell_ref,row_key,band_header_path,value,cell_meta_json
엽서북떡메,B01,엽서북,1,A,A1,엽서북,,엽서북,"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:M1""}"
엽서북떡메,B01,엽서북,2,A,A2,사이즈,,사이즈,
엽서북떡메,B01,엽서북,2,B,B2,사이즈,100*150 > 단면 > 20P,100*150,"{""merged_range"": ""B2:E2""}"
엽서북떡메,B01,엽서북,2,F,F2,사이즈,150*100 > 단면 > 20P,150*100,"{""merged_range"": ""F2:I2""}"
엽서북떡메,B01,엽서북,2,J,J2,사이즈,135*135 > 단면 > 20P,135*135,"{""merged_range"": ""J2:M2""}"
엽서북떡메,B01,엽서북,3,A,A3,인쇄,,인쇄,
엽서북떡메,B01,엽서북,3,B,B3,인쇄,100*150 > 단면 > 20P,단면,"{""merged_range"": ""B3:C3""}"
엽서북떡메,B01,엽서북,3,D,D3,인쇄,100*150 > 양면 > 20P,양면,"{""merged_range"": ""D3:E3""}"
엽서북떡메,B01,엽서북,3,F,F3,인쇄,150*100 > 단면 > 20P,단면,"{""merged_range"": ""F3:G3""}"
엽서북떡메,B01,엽서북,3,H,H3,인쇄,150*100 > 양면 > 20P,양면,"{""merged_range"": ""H3:I3""}"
엽서북떡메,B01,엽서북,3,J,J3,인쇄,135*135 > 단면 > 20P,단면,"{""merged_range"": ""J3:K3""}"
엽서북떡메,B01,엽서북,3,L,L3,인쇄,135*135 > 양면 > 20P,양면,"{""merged_range"": ""L3:M3""}"
엽서북떡메,B01,엽서북,4,A,A4,페이지 / 수량,,페이지 / 수량,
엽서북떡메,B01,엽서북,4,B,B4,페이지 / 수량,100*150 > 단면 > 20P,20P,
엽서북떡메,B01,엽서북,4,C,C4,페이지 / 수량,100*150 > 단면 > 30P,30P,
엽서북떡메,B01,엽서북,4,D,D4,페이지 / 수량,100*150 > 양면 > 20P,20P,
엽서북떡메,B01,엽서북,4,E,E4,페이지 / 수량,100*150 > 양면 > 30P,30P,
엽서북떡메,B01,엽서북,4,F,F4,페이지 / 수량,150*100 > 단면 > 20P,20P,
엽서북떡메,B01,엽서북,4,G,G4,페이지 / 수량,150*100 > 단면 > 30P,30P,
엽서북떡메,B01,엽서북,4,H,H4,페이지 / 수량,150*100 > 양면 > 20P,20P,
엽서북떡메,B01,엽서북,4,I,I4,페이지 / 수량,150*100 > 양면 > 30P,30P,
엽서북떡메,B01,엽서북,4,J,J4,페이지 / 수량,135*135 > 단면 > 20P,20P,
엽서북떡메,B01,엽서북,4,K,K4,페이지 / 수량,135*135 > 단면 > 30P,30P,
엽서북떡메,B01,엽서북,4,L,L4,페이지 / 수량,135*135 > 양면 > 20P,20P,
엽서북떡메,B01,엽서북,4,M,M4,페이지 / 수량,135*135 > 양면 > 30P,30P,
엽서북떡메,B01,엽서북,5,A,A5,2,,2,
엽서북떡메,B01,엽서북,5,B,B5,2,100*150 > 단면 > 20P,11000,
엽서북떡메,B01,엽서북,5,C,C5,2,100*150 > 단면 > 30P,11500,
엽서북떡메,B01,엽서북,5,D,D5,2,100*150 > 양면 > 20P,11500,
엽서북떡메,B01,엽서북,5,E,E5,2,100*150 > 양면 > 30P,12500,
엽서북떡메,B01,엽서북,5,F,F5,2,150*100 > 단면 > 20P,11000,
엽서북떡메,B01,엽서북,5,G,G5,2,150*100 > 단면 > 30P,11500,
엽서북떡메,B01,엽서북,5,H,H5,2,150*100 > 양면 > 20P,11500,
엽서북떡메,B01,엽서북,5,I,I5,2,150*100 > 양면 > 30P,12500,
엽서북떡메,B01,엽서북,5,J,J5,2,135*135 > 단면 > 20P,12000,
엽서북떡메,B01,엽서북,5,K,K5,2,135*135 > 단면 > 30P,12500,
엽서북떡메,B01,엽서북,5,L,L5,2,135*135 > 양면 > 20P,12500,
엽서북떡메,B01,엽서북,5,M,M5,2,135*135 > 양면 > 30P,13500,
엽서북떡메,B01,엽서북,6,A,A6,4,,4,
엽서북떡메,B01,엽서북,6,B,B6,4,100*150 > 단면 > 20P,9100,
엽서북떡메,B01,엽서북,6,C,C6,4,100*150 > 단면 > 30P,9900,
엽서북떡메,B01,엽서북,6,D,D6,4,100*150 > 양면 > 20P,9200,
엽서북떡메,B01,엽서북,6,E,E6,4,100*150 > 양면 > 30P,10000,
엽서북떡메,B01,엽서북,6,F,F6,4,150*100 > 단면 > 20P,9100,
엽서북떡메,B01,엽서북,6,G,G6,4,150*100 > 단면 > 30P,9900,
엽서북떡메,B01,엽서북,6,H,H6,4,150*100 > 양면 > 20P,9200,
엽서북떡메,B01,엽서북,6,I,I6,4,150*100 > 양면 > 30P,10000,
엽서북떡메,B01,엽서북,6,J,J6,4,135*135 > 단면 > 20P,9800,
엽서북떡메,B01,엽서북,6,K,K6,4,135*135 > 단면 > 30P,10500,
엽서북떡메,B01,엽서북,6,L,L6,4,135*135 > 양면 > 20P,10100,
엽서북떡메,B01,엽서북,6,M,M6,4,135*135 > 양면 > 30P,10800,
엽서북떡메,B01,엽서북,7,A,A7,6,,6,
엽서북떡메,B01,엽서북,7,B,B7,6,100*150 > 단면 > 20P,7300,
엽서북떡메,B01,엽서북,7,C,C7,6,100*150 > 단면 > 30P,8100,
엽서북떡메,B01,엽서북,7,D,D7,6,100*150 > 양면 > 20P,7500,
엽서북떡메,B01,엽서북,7,E,E7,6,100*150 > 양면 > 30P,8300,
엽서북떡메,B01,엽서북,7,F,F7,6,150*100 > 단면 > 20P,7300,
엽서북떡메,B01,엽서북,7,G,G7,6,150*100 > 단면 > 30P,8100,
엽서북떡메,B01,엽서북,7,H,H7,6,150*100 > 양면 > 20P,7500,
엽서북떡메,B01,엽서북,7,I,I7,6,150*100 > 양면 > 30P,8300,
엽서북떡메,B01,엽서북,7,J,J7,6,135*135 > 단면 > 20P,8000,
엽서북떡메,B01,엽서북,7,K,K7,6,135*135 > 단면 > 30P,8600,
엽서북떡메,B01,엽서북,7,L,L7,6,135*135 > 양면 > 20P,8300,
엽서북떡메,B01,엽서북,7,M,M7,6,135*135 > 양면 > 30P,8900,
엽서북떡메,B01,엽서북,8,A,A8,8,,8,
엽서북떡메,B01,엽서북,8,B,B8,8,100*150 > 단면 > 20P,7100,
엽서북떡메,B01,엽서북,8,C,C8,8,100*150 > 단면 > 30P,7900,
엽서북떡메,B01,엽서북,8,D,D8,8,100*150 > 양면 > 20P,7300,
엽서북떡메,B01,엽서북,8,E,E8,8,100*150 > 양면 > 30P,8100,
엽서북떡메,B01,엽서북,8,F,F8,8,150*100 > 단면 > 20P,7100,
엽서북떡메,B01,엽서북,8,G,G8,8,150*100 > 단면 > 30P,7900,
엽서북떡메,B01,엽서북,8,H,H8,8,150*100 > 양면 > 20P,7300,
엽서북떡메,B01,엽서북,8,I,I8,8,150*100 > 양면 > 30P,8100,
엽서북떡메,B01,엽서북,8,J,J8,8,135*135 > 단면 > 20P,7800,
엽서북떡메,B01,엽서북,8,K,K8,8,135*135 > 단면 > 30P,8400,
엽서북떡메,B01,엽서북,8,L,L8,8,135*135 > 양면 > 20P,8100,
엽서북떡메,B01,엽서북,8,M,M8,8,135*135 > 양면 > 30P,8700,
엽서북떡메,B01,엽서북,9,A,A9,10,,10,
엽서북떡메,B01,엽서북,9,B,B9,10,100*150 > 단면 > 20P,6900,
엽서북떡메,B01,엽서북,9,C,C9,10,100*150 > 단면 > 30P,7700,
엽서북떡메,B01,엽서북,9,D,D9,10,100*150 > 양면 > 20P,7100,
엽서북떡메,B01,엽서북,9,E,E9,10,100*150 > 양면 > 30P,7900,
엽서북떡메,B01,엽서북,9,F,F9,10,150*100 > 단면 > 20P,6900,
엽서북떡메,B01,엽서북,9,G,G9,10,150*100 > 단면 > 30P,7700,
엽서북떡메,B01,엽서북,9,H,H9,10,150*100 > 양면 > 20P,7100,
엽서북떡메,B01,엽서북,9,I,I9,10,150*100 > 양면 > 30P,7900,
엽서북떡메,B01,엽서북,9,J,J9,10,135*135 > 단면 > 20P,7600,
엽서북떡메,B01,엽서북,9,K,K9,10,135*135 > 단면 > 30P,8200,
엽서북떡메,B01,엽서북,9,L,L9,10,135*135 > 양면 > 20P,7900,
엽서북떡메,B01,엽서북,9,M,M9,10,135*135 > 양면 > 30P,8500,
엽서북떡메,B01,엽서북,10,A,A10,20,,20,
엽서북떡메,B01,엽서북,10,B,B10,20,100*150 > 단면 > 20P,5200,
엽서북떡메,B01,엽서북,10,C,C10,20,100*150 > 단면 > 30P,6000,
엽서북떡메,B01,엽서북,10,D,D10,20,100*150 > 양면 > 20P,5400,
엽서북떡메,B01,엽서북,10,E,E10,20,100*150 > 양면 > 30P,6200,
엽서북떡메,B01,엽서북,10,F,F10,20,150*100 > 단면 > 20P,5200,
엽서북떡메,B01,엽서북,10,G,G10,20,150*100 > 단면 > 30P,6000,
엽서북떡메,B01,엽서북,10,H,H10,20,150*100 > 양면 > 20P,5400,
엽서북떡메,B01,엽서북,10,I,I10,20,150*100 > 양면 > 30P,6200,
엽서북떡메,B01,엽서북,10,J,J10,20,135*135 > 단면 > 20P,5900,
엽서북떡메,B01,엽서북,10,K,K10,20,135*135 > 단면 > 30P,6500,
엽서북떡메,B01,엽서북,10,L,L10,20,135*135 > 양면 > 20P,6200,
엽서북떡메,B01,엽서북,10,M,M10,20,135*135 > 양면 > 30P,6800,
엽서북떡메,B01,엽서북,11,A,A11,30,,30,
엽서북떡메,B01,엽서북,11,B,B11,30,100*150 > 단면 > 20P,5030,
엽서북떡메,B01,엽서북,11,C,C11,30,100*150 > 단면 > 30P,5800,
엽서북떡메,B01,엽서북,11,D,D11,30,100*150 > 양면 > 20P,5230,
엽서북떡메,B01,엽서북,11,E,E11,30,100*150 > 양면 > 30P,6000,
엽서북떡메,B01,엽서북,11,F,F11,30,150*100 > 단면 > 20P,5030,
엽서북떡메,B01,엽서북,11,G,G11,30,150*100 > 단면 > 30P,5800,
엽서북떡메,B01,엽서북,11,H,H11,30,150*100 > 양면 > 20P,5230,
엽서북떡메,B01,엽서북,11,I,I11,30,150*100 > 양면 > 30P,6000,
엽서북떡메,B01,엽서북,11,J,J11,30,135*135 > 단면 > 20P,5750,
엽서북떡메,B01,엽서북,11,K,K11,30,135*135 > 단면 > 30P,6350,
엽서북떡메,B01,엽서북,11,L,L11,30,135*135 > 양면 > 20P,6050,
엽서북떡메,B01,엽서북,11,M,M11,30,135*135 > 양면 > 30P,6650,
엽서북떡메,B01,엽서북,12,A,A12,40,,40,
엽서북떡메,B01,엽서북,12,B,B12,40,100*150 > 단면 > 20P,4870,
엽서북떡메,B01,엽서북,12,C,C12,40,100*150 > 단면 > 30P,5600,
엽서북떡메,B01,엽서북,12,D,D12,40,100*150 > 양면 > 20P,5070,
엽서북떡메,B01,엽서북,12,E,E12,40,100*150 > 양면 > 30P,5800,
엽서북떡메,B01,엽서북,12,F,F12,40,150*100 > 단면 > 20P,4870,
엽서북떡메,B01,엽서북,12,G,G12,40,150*100 > 단면 > 30P,5600,
엽서북떡메,B01,엽서북,12,H,H12,40,150*100 > 양면 > 20P,5070,
엽서북떡메,B01,엽서북,12,I,I12,40,150*100 > 양면 > 30P,5800,
엽서북떡메,B01,엽서북,12,J,J12,40,135*135 > 단면 > 20P,5600,
엽서북떡메,B01,엽서북,12,K,K12,40,135*135 > 단면 > 30P,6200,
엽서북떡메,B01,엽서북,12,L,L12,40,135*135 > 양면 > 20P,5900,
엽서북떡메,B01,엽서북,12,M,M12,40,135*135 > 양면 > 30P,6500,
엽서북떡메,B01,엽서북,13,A,A13,50,,50,
엽서북떡메,B01,엽서북,13,B,B13,50,100*150 > 단면 > 20P,4700,
엽서북떡메,B01,엽서북,13,C,C13,50,100*150 > 단면 > 30P,5400,
엽서북떡메,B01,엽서북,13,D,D13,50,100*150 > 양면 > 20P,4900,
엽서북떡메,B01,엽서북,13,E,E13,50,100*150 > 양면 > 30P,5600,
엽서북떡메,B01,엽서북,13,F,F13,50,150*100 > 단면 > 20P,4700,
엽서북떡메,B01,엽서북,13,G,G13,50,150*100 > 단면 > 30P,5400,
엽서북떡메,B01,엽서북,13,H,H13,50,150*100 > 양면 > 20P,4900,
엽서북떡메,B01,엽서북,13,I,I13,50,150*100 > 양면 > 30P,5600,
엽서북떡메,B01,엽서북,13,J,J13,50,135*135 > 단면 > 20P,5450,
엽서북떡메,B01,엽서북,13,K,K13,50,135*135 > 단면 > 30P,6050,
엽서북떡메,B01,엽서북,13,L,L13,50,135*135 > 양면 > 20P,5750,
엽서북떡메,B01,엽서북,13,M,M13,50,135*135 > 양면 > 30P,6350,
엽서북떡메,B01,엽서북,14,A,A14,60,,60,
엽서북떡메,B01,엽서북,14,B,B14,60,100*150 > 단면 > 20P,4660,
엽서북떡메,B01,엽서북,14,C,C14,60,100*150 > 단면 > 30P,5340,
엽서북떡메,B01,엽서북,14,D,D14,60,100*150 > 양면 > 20P,4820,
엽서북떡메,B01,엽서북,14,E,E14,60,100*150 > 양면 > 30P,5540,
엽서북떡메,B01,엽서북,14,F,F14,60,150*100 > 단면 > 20P,4660,
엽서북떡메,B01,엽서북,14,G,G14,60,150*100 > 단면 > 30P,5340,
엽서북떡메,B01,엽서북,14,H,H14,60,150*100 > 양면 > 20P,4820,
엽서북떡메,B01,엽서북,14,I,I14,60,150*100 > 양면 > 30P,5540,
엽서북떡메,B01,엽서북,14,J,J14,60,135*135 > 단면 > 20P,5380,
엽서북떡메,B01,엽서북,14,K,K14,60,135*135 > 단면 > 30P,5980,
엽서북떡메,B01,엽서북,14,L,L14,60,135*135 > 양면 > 20P,5680,
엽서북떡메,B01,엽서북,14,M,M14,60,135*135 > 양면 > 30P,6280,
엽서북떡메,B01,엽서북,15,A,A15,70,,70,
엽서북떡메,B01,엽서북,15,B,B15,70,100*150 > 단면 > 20P,4620,
엽서북떡메,B01,엽서북,15,C,C15,70,100*150 > 단면 > 30P,5280,
엽서북떡메,B01,엽서북,15,D,D15,70,100*150 > 양면 > 20P,4740,
엽서북떡메,B01,엽서북,15,E,E15,70,100*150 > 양면 > 30P,5480,
