sheet,block_id,block_title,row_seq,col,cell_ref,row_key,band_header_path,value,cell_meta_json
포스터사인,B01,아트프린트포스터 (인화지),1,A,A1,아트프린트포스터 (인화지),,아트프린트포스터 (인화지),"{""fill_rgb"": ""FFFFFF00"", ""merged_range"": ""A1:E1""}"
포스터사인,B01,아트프린트포스터 (인화지),1,F,F1,아트프린트포스터 (인화지),1000x1000 : 20000,코팅포함가,"{""font_rgb"": ""FFFF9900""}"
포스터사인,B01,아트프린트포스터 (인화지),2,A,A2,가로 / 세로,,가로 / 세로,
포스터사인,B01,아트프린트포스터 (인화지),2,B,B2,가로 / 세로,600mm > 12000.0 > 20000.0 > 21600.0 > 24000.0 > 26400.0 > 28800.0 > 31200.0 > 33600.0 > 36000.0,600mm,
포스터사인,B01,아트프린트포스터 (인화지),2,C,C2,가로 / 세로,800mm > 12000.0 > 20000.0 > 22400.0 > 25600.0 > 28800.0 > 32000.0 > 35200.0 > 38400.0 > 41600.0 > 44800.0 > 48000.0,800mm,
포스터사인,B01,아트프린트포스터 (인화지),2,D,D2,가로 / 세로,1000mm > 20000.0 > 24000.0 > 28000.0 > 32000.0 > 36000.0 > 40000.0 > 44000.0 > 48000.0 > 52000.0 > 56000.0 > 60000.0,1000mm,
포스터사인,B01,아트프린트포스터 (인화지),2,E,E2,가로 / 세로,1200mm > 20000.0 > 24000.0 > 28800.0 > 33600.0 > 38400.0 > 43200.0 > 48000.0 > 52800.0 > 57600.0 > 62400.0 > 67200.0 > 72000.0,1200mm,
포스터사인,B01,아트프린트포스터 (인화지),3,A,A3,600mm,,600mm,
포스터사인,B01,아트프린트포스터 (인화지),3,B,B3,600mm,600mm > 12000.0 > 20000.0 > 21600.0 > 24000.0 > 26400.0 > 28800.0 > 31200.0 > 33600.0 > 36000.0,12000,
포스터사인,B01,아트프린트포스터 (인화지),3,C,C3,600mm,800mm > 12000.0 > 20000.0 > 22400.0 > 25600.0 > 28800.0 > 32000.0 > 35200.0 > 38400.0 > 41600.0 > 44800.0 > 48000.0,12000,
포스터사인,B01,아트프린트포스터 (인화지),3,D,D3,600mm,1000mm > 20000.0 > 24000.0 > 28000.0 > 32000.0 > 36000.0 > 40000.0 > 44000.0 > 48000.0 > 52000.0 > 56000.0 > 60000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),3,E,E3,600mm,1200mm > 20000.0 > 24000.0 > 28800.0 > 33600.0 > 38400.0 > 43200.0 > 48000.0 > 52800.0 > 57600.0 > 62400.0 > 67200.0 > 72000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),4,A,A4,800mm,,800mm,
포스터사인,B01,아트프린트포스터 (인화지),4,B,B4,800mm,600mm > 12000.0 > 20000.0 > 21600.0 > 24000.0 > 26400.0 > 28800.0 > 31200.0 > 33600.0 > 36000.0,12000,
포스터사인,B01,아트프린트포스터 (인화지),4,C,C4,800mm,800mm > 12000.0 > 20000.0 > 22400.0 > 25600.0 > 28800.0 > 32000.0 > 35200.0 > 38400.0 > 41600.0 > 44800.0 > 48000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),4,D,D4,800mm,1000mm > 20000.0 > 24000.0 > 28000.0 > 32000.0 > 36000.0 > 40000.0 > 44000.0 > 48000.0 > 52000.0 > 56000.0 > 60000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),4,E,E4,800mm,1200mm > 20000.0 > 24000.0 > 28800.0 > 33600.0 > 38400.0 > 43200.0 > 48000.0 > 52800.0 > 57600.0 > 62400.0 > 67200.0 > 72000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),5,A,A5,1000mm,,1000mm,
포스터사인,B01,아트프린트포스터 (인화지),5,B,B5,1000mm,600mm > 12000.0 > 20000.0 > 21600.0 > 24000.0 > 26400.0 > 28800.0 > 31200.0 > 33600.0 > 36000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),5,C,C5,1000mm,800mm > 12000.0 > 20000.0 > 22400.0 > 25600.0 > 28800.0 > 32000.0 > 35200.0 > 38400.0 > 41600.0 > 44800.0 > 48000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),5,D,D5,1000mm,1000mm > 20000.0 > 24000.0 > 28000.0 > 32000.0 > 36000.0 > 40000.0 > 44000.0 > 48000.0 > 52000.0 > 56000.0 > 60000.0,20000,"{""fill_rgb"": ""FFFFE599""}"
포스터사인,B01,아트프린트포스터 (인화지),5,E,E5,1000mm,1200mm > 20000.0 > 24000.0 > 28800.0 > 33600.0 > 38400.0 > 43200.0 > 48000.0 > 52800.0 > 57600.0 > 62400.0 > 67200.0 > 72000.0,24000,
포스터사인,B01,아트프린트포스터 (인화지),5,F,F5,1000mm,1000x1000 : 20000,1000x1000 : 20000,"{""font_rgb"": ""FFFF9900""}"
포스터사인,B01,아트프린트포스터 (인화지),6,A,A6,1200mm,,1200mm,
포스터사인,B01,아트프린트포스터 (인화지),6,B,B6,1200mm,600mm > 12000.0 > 20000.0 > 21600.0 > 24000.0 > 26400.0 > 28800.0 > 31200.0 > 33600.0 > 36000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),6,C,C6,1200mm,800mm > 12000.0 > 20000.0 > 22400.0 > 25600.0 > 28800.0 > 32000.0 > 35200.0 > 38400.0 > 41600.0 > 44800.0 > 48000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),6,D,D6,1200mm,1000mm > 20000.0 > 24000.0 > 28000.0 > 32000.0 > 36000.0 > 40000.0 > 44000.0 > 48000.0 > 52000.0 > 56000.0 > 60000.0,24000,
포스터사인,B01,아트프린트포스터 (인화지),6,E,E6,1200mm,1200mm > 20000.0 > 24000.0 > 28800.0 > 33600.0 > 38400.0 > 43200.0 > 48000.0 > 52800.0 > 57600.0 > 62400.0 > 67200.0 > 72000.0,28800,
포스터사인,B01,아트프린트포스터 (인화지),7,A,A7,1400mm,,1400mm,
포스터사인,B01,아트프린트포스터 (인화지),7,B,B7,1400mm,600mm > 12000.0 > 20000.0 > 21600.0 > 24000.0 > 26400.0 > 28800.0 > 31200.0 > 33600.0 > 36000.0,20000,
포스터사인,B01,아트프린트포스터 (인화지),7,C,C7,1400mm,800mm > 12000.0 > 20000.0 > 22400.0 > 25600.0 > 28800.0 > 32000.0 > 35200.0 > 38400.0 > 41600.0 > 44800.0 > 48000.0,22400,
포스터사인,B01,아트프린트포스터 (인화지),7,D,D7,1400mm,1000mm > 20000.0 > 24000.0 > 28000.0 > 32000.0 > 36000.0 > 40000.0 > 44000.0 > 48000.0 > 52000.0 > 56000.0 > 60000.0,28000,
