sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
상품악세사리(가격포함),cell,3,B3,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,3,C3,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,3,G3,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,3,H3,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,3,I3,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,4,B4,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,4,C4,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,4,D4,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,4,G4,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,4,H4,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,4,I4,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,5,B5,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,5,C5,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,5,D5,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,5,G5,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,5,H5,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,5,I5,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,6,B6,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,6,C6,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,6,D6,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,6,G6,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,6,H6,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,6,I6,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,7,B7,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,7,C7,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,7,D7,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,7,G7,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,7,H7,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,7,I7,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,8,B8,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,8,C8,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,8,D8,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,8,G8,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,8,H8,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,8,I8,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,9,B9,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,9,C9,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,9,D9,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,9,G9,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,9,H9,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,9,I9,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,10,B10,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,10,C10,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,10,D10,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,10,G10,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,10,H10,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,10,I10,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,11,B11,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,11,C11,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,11,D11,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,11,G11,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,11,H11,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,11,I11,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,12,B12,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,12,C12,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,12,D12,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,12,G12,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,12,H12,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,12,I12,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,13,B13,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,13,C13,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,13,D13,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,13,G13,수량(필수)_최대,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,13,H13,수량(필수)_증가,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,13,I13,가격,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,14,B14,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,14,C14,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,14,E14,사이즈(필수),FFFFFF00,신규,,,,,,,,,
상품악세사리(가격포함),cell,14,F14,수량(필수)_최소,FFFFFF00,신규,,,,,,,,,
상품악세사리(가격포함),cell,14,G14,수량(필수)_최대,FFFFFF00,신규,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,14,H14,수량(필수)_증가,FFFFFF00,신규,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,14,I14,가격,FFFFFF00,신규,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,15,B15,ID,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,15,C15,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,15,D15,상품명,,,Values must be of type <class 'str'>,,,,,,,,
상품악세사리(가격포함),cell,15,E15,사이즈(필수),FFFFFF00,신규,,,,,,,,,
상품악세사리(가격포함),cell,15,F15,수량(필수)_최소,FFFFFF00,신규,,,,,,,,,
상품악세사리(가격포함),cell,15,G15,수량(필수)_최대,FFFFFF00,신규,Values must be of type <class 'str'>,,,,,,,,
