sheet_slug,row_seq,prd_nm,slot,axis,import_col,matched_paper_count,prd_cd
booklet,3,중철책자,내지종이(필수),내지(inner),중철내지,13,(확인 필요)
booklet,3,중철책자,표지종이(필수),표지(cover),중철표지,13,(확인 필요)
booklet,7,무선책자,내지종이(필수),내지(inner),무선내지,7,(확인 필요)
booklet,7,무선책자,표지종이(필수),표지(cover),무선표지 :: 코팅/오시,6,(확인 필요)
booklet,21,PUR책자,내지종이(필수),내지(inner),(확인 필요),0,(확인 필요)
booklet,21,PUR책자,표지종이(필수),표지(cover),(확인 필요),0,(확인 필요)
booklet,33,트윈링책자,내지종이(필수),내지(inner),트윈링내지,16,(확인 필요)
booklet,33,트윈링책자,표지종이(필수),표지(cover),트윈링표지 :: 코팅/오시,28,(확인 필요)
booklet,38,하드커버책자,내지종이(필수),내지(inner),(확인 필요),0,(확인 필요)
booklet,42,레더 하드커버책자,내지종이(필수),내지(inner),(확인 필요),0,(확인 필요)
booklet,46,하드커버 링책자,내지종이(필수),내지(inner),(확인 필요),0,(확인 필요)
calendar,3,탁상형캘린더,종이사양,종이/사양(single),탁상형캘린더,8,(확인 필요)
calendar,8,미니탁상형캘린더,종이사양,종이/사양(single),미니탁상형캘린더,7,(확인 필요)
calendar,11,엽서캘린더,종이사양,종이/사양(single),엽서캘린더,10,(확인 필요)
calendar,21,벽걸이캘린더,종이사양,종이/사양(single),벽걸이캘린더,22,(확인 필요)
digital-print,3,프리미엄엽서,종이(필수),종이/사양(single),프리미엄엽서,21,(확인 필요)
digital-print,19,스탠다드엽서,종이(필수),종이/사양(single),스탠다드엽서,7,(확인 필요)
digital-print,65,2단접지카드,종이(필수),종이/사양(single),2단접지카드 / 3단접지카드 / 미니접지카드,14,(확인 필요)
digital-print,75,미니접지카드,종이(필수),종이/사양(single),2단접지카드 / 3단접지카드 / 미니접지카드,14,(확인 필요)
digital-print,85,3단접지카드,종이(필수),종이/사양(single),2단접지카드 / 3단접지카드 / 미니접지카드,14,(확인 필요)
digital-print,97,프리미엄명함,종이(필수),종이/사양(single),프리미엄명함,16,(확인 필요)
digital-print,146,형압명함,종이(필수),종이/사양(single),(확인 필요),0,(확인 필요)
digital-print,222,소량전단지,종이(필수),종이/사양(single),소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,47,(확인 필요)
digital-print,229,접지리플렛,종이(필수),종이/사양(single),소량전단지/접지리플렛 :: 소량전단지포스터/리플렛팜플렛 :: 코팅/오시/접지,47,(확인 필요)
