sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,text
실사,footnote,,C147,,FFB6D7A8,범례마커,,,,,"제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요"
실사,cell,3,U3,코팅(옵션),,,,,레이어창,,
실사,cell,13,U13,코팅(옵션),,,,,레이어창,,
실사,cell,18,A18,구분,FFB7B7B7,,,,,,
실사,cell,18,B18,ID,FFB7B7B7,,,,,,
실사,cell,18,C18,MES ITEM_CD,FFB7B7B7,,,,,,
실사,cell,18,D18,상품명,FFB7B7B7,,,,,true,
실사,cell,18,E18,사이즈(필수),FFB7B7B7,,,,,,
실사,cell,18,F18,비규격(최소/최대)_가로,FFB7B7B7,,,,,,
실사,cell,18,G18,비규격(최소/최대)_세로,FFB7B7B7,,,,,,
실사,cell,18,H18,파일사양_블리드,FFB7B7B7,,,,,,
실사,cell,18,I18,파일사양_작업사이즈,FFB7B7B7,,,,,,
실사,cell,18,J18,파일사양_재단사이즈,FFB7B7B7,,,,,,
실사,cell,18,K18,파일사양_출력용지규격,FFB7B7B7,,,,,,
실사,cell,18,L18,파일사양_파일명약어,FFB7B7B7,,,,,,
실사,cell,18,M18,파일사양_출력파일,FFB7B7B7,,,,,,
실사,cell,18,N18,파일사양_폴더,FFB7B7B7,,,,,,
실사,cell,18,O18,주문방법(필수)_업로드,FFB7B7B7,,,,,,
실사,cell,18,P18,주문방법(필수)_편집기,FFB7B7B7,,,,,,
실사,cell,18,Q18,소재(필수),FFB7B7B7,,,,,,
실사,cell,18,R18,price,FFB7B7B7,,,,,,
실사,cell,18,S18,"price
(vat포함)",FFB7B7B7,,,,,,
실사,cell,18,T18,화이트별색(옵션),FFB7B7B7,,,,,,
실사,cell,18,U18,코팅(옵션),FFB7B7B7,,,,,,
실사,cell,18,V18,price(V),FFB7B7B7,,,,,,
실사,cell,18,W18,가공(옵션)_가공,FFB7B7B7,,,,,,
실사,cell,18,X18,가공(옵션)_가격,FFB7B7B7,,,,,,
실사,cell,18,Y18,추가(옵션)_추가,FFB7B7B7,,,,,,
실사,cell,18,Z18,추가(옵션)_추가옵션가격,FFB7B7B7,,,,,,
실사,cell,18,AA18,제작수량(필수)_최소,FFB7B7B7,,,,,,
실사,cell,18,AB18,제작수량(필수)_최대,FFB7B7B7,,,,,,
실사,cell,18,AC18,제작수량(필수)_증가,FFB7B7B7,,,,,,
실사,cell,18,AD18,COMMENT,FFB7B7B7,,,,,,
실사,cell,18,AE18,AE,FFB7B7B7,,,,,,
실사,cell,18,AF18,AF,FFB7B7B7,,,,,,
실사,cell,18,AG18,AG,FFB7B7B7,,,,,,
실사,cell,18,AH18,AH,FFB7B7B7,,,,,,
실사,cell,18,AI18,AI,FFB7B7B7,,,,,,
실사,cell,18,AJ18,AJ,FFB7B7B7,,,,,,
실사,cell,18,AK18,AK,FFB7B7B7,,,,,,
실사,cell,18,AL18,AL,FFB7B7B7,,,,,,
실사,cell,18,AM18,AM,FFB7B7B7,,,,,,
실사,cell,18,AN18,AN,FFB7B7B7,,,,,,
실사,cell,18,AO18,AO,FFB7B7B7,,,,,,
실사,cell,19,A19,구분,FFB7B7B7,,,,,,
실사,cell,19,B19,ID,FFB7B7B7,,,,,,
실사,cell,19,C19,MES ITEM_CD,FFB7B7B7,,,,,,
실사,cell,19,D19,상품명,FFB7B7B7,,,,,,
실사,cell,19,E19,사이즈(필수),FFB7B7B7,,,,,,
실사,cell,19,F19,비규격(최소/최대)_가로,FFB7B7B7,,,,,,
실사,cell,19,G19,비규격(최소/최대)_세로,FFB7B7B7,,,,,,
실사,cell,19,H19,파일사양_블리드,FFB7B7B7,,,,,,
실사,cell,19,I19,파일사양_작업사이즈,FFB7B7B7,,,,,,
실사,cell,19,J19,파일사양_재단사이즈,FFB7B7B7,,,,,,
실사,cell,19,K19,파일사양_출력용지규격,FFB7B7B7,,,,,,
실사,cell,19,L19,파일사양_파일명약어,FFB7B7B7,,,,,,
실사,cell,19,M19,파일사양_출력파일,FFB7B7B7,,,,,,
실사,cell,19,N19,파일사양_폴더,FFB7B7B7,,,,,,
실사,cell,19,O19,주문방법(필수)_업로드,FFB7B7B7,,,,,,
실사,cell,19,P19,주문방법(필수)_편집기,FFB7B7B7,,,,,,
실사,cell,19,Q19,소재(필수),FFB7B7B7,,,,,,
실사,cell,19,R19,price,FFB7B7B7,,,,,,
실사,cell,19,S19,"price
(vat포함)",FFB7B7B7,,,,,,
실사,cell,19,T19,화이트별색(옵션),FFB7B7B7,,,,,,
실사,cell,19,U19,코팅(옵션),FFB7B7B7,,,,,,
실사,cell,19,V19,price(V),FFB7B7B7,,,,,,
실사,cell,19,W19,가공(옵션)_가공,FFB7B7B7,,,,,,
실사,cell,19,X19,가공(옵션)_가격,FFB7B7B7,,,,,,
실사,cell,19,Y19,추가(옵션)_추가,FFB7B7B7,,,,,,
실사,cell,19,Z19,추가(옵션)_추가옵션가격,FFB7B7B7,,,,,,
실사,cell,19,AA19,제작수량(필수)_최소,FFB7B7B7,,,,,,
실사,cell,19,AB19,제작수량(필수)_최대,FFB7B7B7,,,,,,
실사,cell,19,AC19,제작수량(필수)_증가,FFB7B7B7,,,,,,
실사,cell,19,AD19,COMMENT,FFB7B7B7,,,,,,
실사,cell,19,AE19,AE,FFB7B7B7,,,,,,
실사,cell,19,AF19,AF,FFB7B7B7,,,,,,
실사,cell,19,AG19,AG,FFB7B7B7,,,,,,
실사,cell,19,AH19,AH,FFB7B7B7,,,,,,
실사,cell,19,AI19,AI,FFB7B7B7,,,,,,
실사,cell,19,AJ19,AJ,FFB7B7B7,,,,,,
실사,cell,19,AK19,AK,FFB7B7B7,,,,,,
실사,cell,19,AL19,AL,FFB7B7B7,,,,,,
실사,cell,19,AM19,AM,FFB7B7B7,,,,,,
실사,cell,19,AN19,AN,FFB7B7B7,,,,,,
실사,cell,19,AO19,AO,FFB7B7B7,,,,,,
실사,cell,20,A20,구분,FFB7B7B7,,,,,,
실사,cell,20,B20,ID,FFB7B7B7,,,,,,
실사,cell,20,C20,MES ITEM_CD,FFB7B7B7,,,,,,
실사,cell,20,D20,상품명,FFB7B7B7,,,,,,
실사,cell,20,E20,사이즈(필수),FFB7B7B7,,,,,,
