sheet,type,row_seq,ref,col,fill_rgb,fill_meaning,font_rgb,comment_author,comment_text,has_constraint_star,is_formula,formula,hyperlink,col_hidden,text
문구(가격포함),footnote,,D29,,FFB6D7A8,범례마커,,,,,,,,,"노랑색배경은 신규상품으로 MES에도 없어 등록해야하는 상품입니다
그레이배경의 상품은 품절이거나 준비중인 상품입니다.
그레이칼라의 글씨는 사용자에는 보여지지 않은(파일사양의 구분을 위한) 글씨입니다
*오렌지글씨는 저만의 commemt이니 개발시 무시해주세요
제목부분 (필수/빨강)는 모든 상품에 반드시 설정해야하는 부분 (옵션/오렌지)은 상품에 따라 있을수도 없을 수도 있습니다
모든 항목은 Figma를 참고해주세요"
문구(가격포함),cell,3,A3,구분,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,B3,ID,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,C3,MES ITEM_CD,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,D3,상품명,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,E3,사이즈(필수),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,I3,내지파일사양_재단사이즈,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,J3,내지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,K3,내지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,L3,내지파일사양_폴더,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,M3,내지(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,N3,종이(옵션),,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,P3,페이지사양_최소,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,Q3,페이지사양_최대,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,R3,페이지사양_증가,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,V3,표지파일사양_파일명약어,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,W3,표지파일사양_출력파일,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,Y3,표지사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,Z3,표지인쇄사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,AB3,제본사양,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,AC3,가격,,,Values must be of type <class 'str'>,,,,,,,,
문구(가격포함),cell,3,AD3,제작수량(필수)_최소,,,Values must be of type <class 'str'>,,,,,,,,
