prd_cd,prd_nm,siz_cd,siz_nm,current_output_paper_typ_cd,prd_c03_count,prd_total,proposed_action
PRD_000017,코팅엽서,SIZ_000112,75x100,OUTPUT_PAPER_TYPE.03,1,7,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000017,코팅엽서,SIZ_000116,97x212,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000017,코팅엽서,SIZ_000113,100x100,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000017,코팅엽서,SIZ_000114,102x152,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000017,코팅엽서,SIZ_000117,112x172,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000017,코팅엽서,SIZ_000115,137x137,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000017,코팅엽서,SIZ_000118,150x212,,1,7,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000018,스탠다드엽서,SIZ_000112,75x100,OUTPUT_PAPER_TYPE.03,1,5,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000018,스탠다드엽서,SIZ_000113,100x100,,1,5,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000018,스탠다드엽서,SIZ_000114,102x152,,1,5,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000018,스탠다드엽서,SIZ_000115,137x137,,1,5,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000018,스탠다드엽서,SIZ_000118,150x212,,1,5,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000019,투명엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,1,4,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000019,투명엽서,SIZ_000114,102x152,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000019,투명엽서,SIZ_000115,137x137,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000019,투명엽서,SIZ_000118,150x212,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000020,화이트인쇄엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,1,4,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000020,화이트인쇄엽서,SIZ_000114,102x152,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000020,화이트인쇄엽서,SIZ_000115,137x137,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000020,화이트인쇄엽서,SIZ_000118,150x212,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000021,핑크별색엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,1,4,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000021,핑크별색엽서,SIZ_000114,102x152,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000021,핑크별색엽서,SIZ_000115,137x137,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000021,핑크별색엽서,SIZ_000118,150x212,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000022,금은별색엽서,SIZ_000113,100x100,OUTPUT_PAPER_TYPE.03,1,4,BACKFILL: 형제와 일관되게 전지계열 통일 검토
PRD_000022,금은별색엽서,SIZ_000114,102x152,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000022,금은별색엽서,SIZ_000115,137x137,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000022,금은별색엽서,SIZ_000118,150x212,,1,4,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000027,2단접지카드,SIZ_000024,139x274,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
PRD_000027,2단접지카드,SIZ_000125,152x202,,1,6,NULL화(형제행과 일관) — 작업사이즈 행은 전지 분류축 부적합
